"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.002253,0.002273,0.002294,0.002346,0.002364,0.002385,0.002403,0.002151,0.002172,0.002198,0.002242
"Brodsko-posavska","Slavonski Brod-Posavina",0.001429,0.001432,0.000765,0.000823,0.000828,0.000827,0.00084,0.000866,0.000872,0.000883,0.000914
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.003331,0.003311,0.00334,0.003242,0.003295,0.003222,0.00325,0.003155,0.003159,0.003089,0.003091
"Grad Zagreb","City of Zagreb",8.9e-05,8.7e-05,3.1e-05,3.6e-05,3.6e-05,3.6e-05,3.5e-05,3.5e-05,3.5e-05,3.1e-05,3.1e-05
"Istarska","Istria",0.0019,0.00211,0.001492,0.001584,0.001588,0.001582,0.001596,0.001593,0.001704,0.0017,0.00171
"Karlovačka","Karlovac",0.002992,0.003396,0.002806,0.002661,0.002685,0.002732,0.002747,0.002772,0.003039,0.003077,0.003143
"Koprivničko-križevačka","Koprivnica-Križevci",0.001782,0.001791,0.0018,0.001808,0.001815,0.001825,0.001837,0.001846,0.001889,0.0019,0.001922
"Krapinsko-zagorska","Krapina-Zagorje",0.001673,0.001678,0.001539,0.001675,0.00168,0.001793,0.001801,0.001776,0.002101,0.002131,0.00218
"Ličko-senjska","Lika-Senj",0.010488,0.012851,0.010966,0.010482,0.010653,0.010862,0.010987,0.010532,0.010656,0.010807,0.011336
"Međimurska","Međimurje",0.000815,0.000798,0.000677,0.000791,0.000782,0.000791,0.000782,0.000793,0.00097,0.000963,0.000968
"Osječko-baranjska","Osijek-Baranja",0.001491,0.001501,0.001595,0.001556,0.001579,0.001573,0.001583,0.001543,0.001552,0.001562,0.001584
"Požeško-slavonska","Požega-Slavonia",0.00277,0.002789,0.00281,0.002716,0.002752,0.002783,0.002816,0.002857,0.002889,0.00292,0.002981
"Primorsko-goranska","Primorje-Gorski kotar",0.001951,0.002123,0.001748,0.00175,0.001739,0.001756,0.001757,0.001727,0.001734,0.001726,0.001766
"Republika Hrvatska","Republic of Croatia",0.001723,0.001825,0.001615,0.00158,0.001583,0.001586,0.001599,0.001542,0.001577,0.001586,0.001607
"Sisačko-moslavačka","Sisak-Moslavina",0.002572,0.002601,0.002276,0.002149,0.002177,0.002208,0.002248,0.002273,0.002305,0.002348,0.002402
"Splitsko-dalmatinska","Split-Dalmatia",0.001696,0.00177,0.0017,0.001667,0.001647,0.001634,0.001639,0.001643,0.001663,0.001702,0.001712
"Šibensko-kninska","Šibenik-Knin",0.003157,0.003533,0.003244,0.003292,0.003259,0.003319,0.003328,0.003021,0.00305,0.00308,0.003116
"Varaždinska","Varaždin",0.001252,0.001376,0.001301,0.001179,0.001189,0.001173,0.001195,0.001148,0.001135,0.001159,0.001169
"Virovitičko-podravska","Virovitica-Podravina",0.002068,0.002086,0.00222,0.002076,0.002092,0.002118,0.002245,0.002052,0.002072,0.002081,0.002121
"Vukovarsko-srijemska","Vukovar-Sirmium",0.00164,0.001648,0.001427,0.001392,0.001382,0.001419,0.001442,0.001442,0.001455,0.001476,0.001513
"Zadarska","Zadar",0.003632,0.004028,0.003673,0.003524,0.003514,0.003459,0.003513,0.002983,0.002978,0.00298,0.002991
"Zagrebačka","Zagreb",0.001231,0.001223,0.000887,0.000754,0.000758,0.000754,0.000765,0.000754,0.000768,0.000794,0.000806
