"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.269231,0.262742,0.267112,0.28281,0.277447,0.283286,0.290399,0.296951,0.286538,0.265367,0.264852,0.262917,0.26045,0.250857
"Brodsko-posavska","Slavonski Brod-Posavina",0.218528,0.219631,0.21696,0.233485,0.227712,0.236595,0.247534,0.256347,0.246571,0.224136,0.219521,0.215844,0.209405,0.205345
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.289725,0.28847,0.284005,0.305965,0.310067,0.320007,0.329515,0.338924,0.332644,0.322294,0.314088,0.312751,0.308134,0.30794
"Grad Zagreb","City of Zagreb",0.428034,0.431724,0.451592,0.47838,0.478156,0.499232,0.520952,0.53833,0.540114,0.518496,0.502707,0.502978,0.490844,0.480906
"Istarska","Istria",0.369396,0.375563,0.377735,0.393689,0.397463,0.409601,0.420782,0.429766,0.40563,0.389459,0.376065,0.377823,0.365975,0.361915
"Karlovačka","Karlovac",0.239602,0.250226,0.246381,0.271161,0.277261,0.287321,0.300138,0.310214,0.296004,0.280405,0.278657,0.274755,0.275436,0.277571
"Koprivničko-križevačka","Koprivnica-Križevci",0.317218,0.315042,0.302314,0.322018,0.316353,0.324585,0.328196,0.330275,0.317577,0.291235,0.289697,0.282935,0.26823,0.262288
"Krapinsko-zagorska","Krapina-Zagorje",0.263849,0.266934,0.269767,0.275852,0.270264,0.275612,0.28343,0.28949,0.278119,0.261417,0.257764,0.254376,0.251178,0.252441
"Ličko-senjska","Lika-Senj",0.197208,0.198414,0.237707,0.274121,0.250183,0.249898,0.252667,0.26661,0.269173,0.260337,0.256583,0.263025,0.262864,0.264989
"Međimurska","Međimurje",0.297043,0.309375,0.316843,0.326225,0.317821,0.329284,0.343236,0.353764,0.343692,0.318873,0.320293,0.312,0.315914,0.311067
"Osječko-baranjska","Osijek-Baranja",0.25146,0.253988,0.258134,0.278399,0.27981,0.292882,0.304115,0.314415,0.305875,0.283073,0.285791,0.284544,0.269015,0.258462
"Požeško-slavonska","Požega-Slavonia",0.233021,0.233301,0.237157,0.263086,0.264815,0.255938,0.257462,0.261225,0.251319,0.238984,0.232787,0.230238,0.222754,0.223413
"Primorsko-goranska","Primorje-Gorski kotar",0.341417,0.347232,0.355284,0.372531,0.375238,0.383233,0.394461,0.39677,0.389508,0.371928,0.361431,0.35807,0.349845,0.340212
"Republika Hrvatska","Republic of Croatia",0.293334,0.296498,0.303771,0.324397,0.324964,0.335502,0.346859,0.356443,0.349581,0.332319,0.326012,0.324111,0.316667,0.312044
"Sisačko-moslavačka","Sisak-Moslavina",0.218082,0.219971,0.221754,0.241837,0.243908,0.251328,0.263122,0.267516,0.255098,0.246067,0.247326,0.242202,0.238523,0.23431
"Splitsko-dalmatinska","Split-Dalmatia",0.265961,0.266484,0.27903,0.301473,0.300774,0.307306,0.313244,0.322625,0.31863,0.304691,0.299167,0.293766,0.284005,0.281978
"Šibensko-kninska","Šibenik-Knin",0.20599,0.214142,0.218786,0.239363,0.247675,0.26715,0.267506,0.280819,0.271416,0.255537,0.253301,0.258655,0.261001,0.261077
"Varaždinska","Varaždin",0.31916,0.327721,0.334605,0.342677,0.343023,0.351595,0.363861,0.372961,0.358636,0.342435,0.338492,0.339286,0.332905,0.335403
"Virovitičko-podravska","Virovitica-Podravina",0.267394,0.25939,0.25047,0.265587,0.26297,0.263433,0.271547,0.277994,0.26688,0.253128,0.245684,0.23622,0.235038,0.229267
"Vukovarsko-srijemska","Vukovar-Sirmium",0.182313,0.190261,0.195105,0.220076,0.224312,0.234225,0.24734,0.253897,0.24789,0.236481,0.236546,0.234882,0.228833,0.219677
"Zadarska","Zadar",0.227824,0.228092,0.235768,0.262032,0.269768,0.269999,0.280098,0.287166,0.280214,0.265839,0.262772,0.260864,0.253173,0.254132
"Zagrebačka","Zagreb",0.224465,0.226503,0.231481,0.251195,0.25467,0.262978,0.26709,0.273483,0.270201,0.251555,0.241248,0.237548,0.233194,0.229557
