"Županija","County.of","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.088893,0.16439,0.199135,0.29016,0.132796,0.245898,0.129258,0.245852
"Brodsko-posavska","Slavonski Brod-Posavina",0.054008,0.038443,0.038375,0.038869,0.03796,0.048533,0.071319,0.10921
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.307158,0.284127,0.298109,0.32557,0.329295,0.33446,0.330693,0.336226
"Grad Zagreb","City of Zagreb",0.671723,0.7386,0.711285,1.070292,1.583058,0.664765,1.762967,2.992971
"Istarska","Istria",0.569304,0.642743,0.648945,0.8362,0.837439,1.061619,0.942897,0.621961
"Karlovačka","Karlovac",0.123492,0.250051,0.215724,0.214024,0.267306,0.232019,0.424807,0.377458
"Koprivničko-križevačka","Koprivnica-Križevci",0.306385,0.291726,0.346857,0.371214,0.321552,0.256406,0.296223,0.318467
"Krapinsko-zagorska","Krapina-Zagorje",0.104152,0.110425,0.107371,0.41329,0.112568,0.079827,0.382443,0.376254
"Ličko-senjska","Lika-Senj",0.038999,0.02341,0.015409,0.032448,0.079012,0.042501,2.929217,0.438812
"Međimurska","Međimurje",0.228778,0.177923,0.233656,0.251851,0.258099,0.239259,0.267676,0.18664
"Osječko-baranjska","Osijek-Baranja",0.169041,0.21334,0.186542,0.193324,0.185727,0.170337,0.274679,0.263918
"Požeško-slavonska","Požega-Slavonia",0.164532,0.130598,0.111193,0.39901,0.164955,0.178335,0.140404,0.185147
"Primorsko-goranska","Primorje-Gorski kotar",0.711891,0.786969,0.70564,0.74073,0.831219,0.791449,0.679934,1.116171
"Republika Hrvatska","Republic of Croatia",0.316332,0.345955,0.336948,0.448845,0.535241,0.374104,0.64089,0.93247
"Sisačko-moslavačka","Sisak-Moslavina",0.339733,0.516664,0.395867,0.512791,0.499064,0.509956,0.680116,1.221418
"Splitsko-dalmatinska","Split-Dalmatia",0.194348,0.139774,0.196577,0.194692,0.198266,0.184082,0.183495,0.284149
"Šibensko-kninska","Šibenik-Knin",0.142894,0.09908,0.110437,0.136598,0.148046,0.199878,0.139711,0.256376
"Varaždinska","Varaždin",0.232473,0.270565,0.257526,0.249176,0.332098,0.384598,0.734379,0.272011
"Virovitičko-podravska","Virovitica-Podravina",0.144296,0.11352,0.109629,0.141679,0.138034,0.15992,0.132032,0.603895
"Vukovarsko-srijemska","Vukovar-Sirmium",0.118548,0.065007,0.053365,0.082823,0.060163,0.070834,0.07425,0.726887
"Zadarska","Zadar",0.045864,0.08475,0.081305,0.298986,0.171911,0.087346,0.135511,0.327747
"Zagrebačka","Zagreb",0.133581,0.162527,0.158314,0.13562,0.185724,0.223525,0.190989,0.306874
