"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.000357,0.000532,0.000426,0.000531,0.000432,0.000557,0.000497,0.000821,0.000704,0.00026,0.000178,0.000188,0.000268,7.9e-05
"Brodsko-posavska","Slavonski Brod-Posavina",0.000511,0.000829,0.000434,0.000521,0.000725,0.000228,0.000353,0.000647,0.000608,0.000303,0.000255,0.000372,0.000175,7.9e-05
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.001256,0.001709,0.001798,0.001301,0.001218,0.001558,0.002049,0.000703,0.000718,0.000964,0.00094,0.000769,0.000597,0.000262
"Grad Zagreb","City of Zagreb",0.001287,0.002147,0.001543,0.001973,0.002275,0.00424,0.003634,0.002363,0.001825,0.001212,0.001345,0.000532,0.000212,7e-04
"Istarska","Istria",0.001579,0.002219,0.002128,0.002638,0.002584,0.00312,0.002668,0.00189,0.001385,0.000865,0.000732,0.001198,0.001047,0.000576
"Karlovačka","Karlovac",0.001121,0.000478,0.000387,0.000691,0.000823,0.000479,0.000716,0.000373,0.000139,0.000171,0.000339,0.000597,0.000209,0.000164
"Koprivničko-križevačka","Koprivnica-Križevci",9.1e-05,0.000108,0.000703,0.000235,0.000279,0.000492,0.000367,0.000283,6.9e-05,0.000329,0.000253,0.000219,0.00022,0.000134
"Krapinsko-zagorska","Krapina-Zagorje",0.000354,0.000254,0.000263,0.000213,0.000169,0.000215,0.000298,0.000328,0.000233,0.000437,0.000288,3.8e-05,7.7e-05,9.3e-05
"Ličko-senjska","Lika-Senj",0.001466,0.002121,0.00226,0.002544,0.002737,0.002559,0.005439,0.002754,0.001321,0.002821,0.001562,0.001459,0.002014,0.002036
"Međimurska","Međimurje",0.000166,0.000298,0.000105,0.000202,0.001044,0.000378,0.00036,0.000369,0.000413,0.000229,0.000141,0.00022,0.000371,5.3e-05
"Osječko-baranjska","Osijek-Baranja",0.000613,0.000451,0.000516,0.000511,0.001207,0.001589,0.001714,0.000624,0.000937,0.000663,0.000251,0.000382,0.000473,0.000258
"Požeško-slavonska","Požega-Slavonia",0.00166,0.000857,0.001191,0.001989,0.000516,0.00021,0.000847,0.000276,7.6e-05,0.000424,0.00013,2.6e-05,0.000107,6.8e-05
"Primorsko-goranska","Primorje-Gorski kotar",0.001541,0.001991,0.001636,0.002301,0.002365,0.002905,0.003201,0.002799,0.001517,0.001405,0.002079,0.002145,0.001137,0.000871
"Republika Hrvatska","Republic of Croatia",0.000986,0.001118,0.001099,0.001415,0.001509,0.001879,0.001886,0.001374,0.000989,0.000839,0.000836,0.000683,0.000521,0.000565
"Sisačko-moslavačka","Sisak-Moslavina",0.000897,0.000727,0.000382,0.001007,0.000383,0.000387,0.000452,0.000611,0.000528,0.000314,0.000449,0.000383,0.000152,0.000131
"Splitsko-dalmatinska","Split-Dalmatia",0.000987,0.000865,0.001942,0.001854,0.001976,0.002414,0.002381,0.002379,0.000873,0.001144,0.001,0.000937,0.000761,0.000936
"Šibensko-kninska","Šibenik-Knin",0.00138,0.000978,0.001736,0.002147,0.004585,0.003235,0.001937,0.000709,0.000934,0.000752,0.000902,0.00077,0.000929,0.000987
"Varaždinska","Varaždin",0.000344,0.000312,0.000386,0.000185,0.000146,0.000146,0.000158,0.000141,0.00013,0.000114,0.000108,6.9e-05,2.9e-05,6.4e-05
"Virovitičko-podravska","Virovitica-Podravina",0.000514,0.000319,0.000378,0.000481,0.000474,0.000421,0.000539,0.000462,0.000246,0.000343,0.000477,1.2e-05,3.7e-05,6.2e-05
"Vukovarsko-srijemska","Vukovar-Sirmium",0.001224,0.000733,0.000551,0.000909,0.000848,0.000391,0.000555,0.001568,0.000778,0.000576,0.000394,0.000398,0.000306,0.000981
"Zadarska","Zadar",0.001842,0.001433,0.001689,0.003478,0.002651,0.002469,0.003172,0.001855,0.002485,0.002673,0.002626,0.002249,0.002485,0.002315
"Zagrebačka","Zagreb",0.000551,0.000519,0.000354,0.001104,0.000642,0.00024,0.000694,0.000263,0.000429,0.000179,0.000198,0.000216,0.000163,0.000101
