"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.294892,0.266495,0.29333,0.334301,0.28315,0.362866,0.483378,0.415556,0.255777,0.26203,0.153079,0.181294,0.108996,0.09312
"Brodsko-posavska","Slavonski Brod-Posavina",0.343399,0.413654,0.439288,0.576607,0.521572,0.53579,0.559976,0.37907,0.302748,0.289215,0.19066,0.108691,0.170039,0.106952
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.613353,0.874193,0.762529,0.786089,0.757396,0.951942,0.643827,0.543456,0.6749,0.539083,0.599148,0.413955,0.274464,0.444513
"Grad Zagreb","City of Zagreb",0.850273,0.687942,0.607441,0.986718,1.391007,1.240253,1.203259,0.426309,0.379619,0.308271,0.205643,0.159073,0.190895,0.140892
"Istarska","Istria",1.091574,1.419061,1.205394,0.945734,1.062368,0.931327,0.82393,1.009024,0.778645,0.797239,0.567199,0.501754,0.399825,0.375353
"Karlovačka","Karlovac",0.161592,0.14714,0.211633,0.276732,0.398093,0.281971,0.401468,0.33791,0.24716,0.151827,0.163957,0.202676,0.122052,0.091866
"Koprivničko-križevačka","Koprivnica-Križevci",0.292932,0.3081,0.41058,0.385178,0.578004,0.436432,0.29345,0.26631,0.25973,0.238087,0.151533,0.109003,0.092209,0.099148
"Krapinsko-zagorska","Krapina-Zagorje",0.248248,0.269898,0.21811,0.259406,0.232714,0.358544,0.345046,0.466737,0.18588,0.166704,0.169607,0.1061,0.095317,0.068089
"Ličko-senjska","Lika-Senj",0.505259,0.810814,1.444979,1.120845,0.947931,0.742457,1.219396,1.139272,0.695127,0.660789,0.523868,0.472146,0.697576,0.546206
"Međimurska","Međimurje",0.372585,0.376352,0.324839,0.646055,0.66733,0.499688,0.63013,0.578851,0.343458,0.33253,0.228159,0.277366,0.229067,0.257968
"Osječko-baranjska","Osijek-Baranja",0.388027,0.329476,0.314019,0.468382,0.719585,0.56006,0.489677,0.454962,0.301148,0.226334,0.26751,0.120552,0.095104,0.070702
"Požeško-slavonska","Požega-Slavonia",0.336609,0.322344,0.25724,0.363248,0.427165,0.323421,0.275977,0.278509,0.278904,0.249759,0.12326,0.150552,0.132856,0.169886
"Primorsko-goranska","Primorje-Gorski kotar",0.842708,1.122622,1.050629,1.099283,1.023208,1.109286,1.070993,0.923052,0.645829,0.683095,0.504314,0.414842,0.369231,0.451665
"Republika Hrvatska","Republic of Croatia",0.556296,0.570565,0.565555,0.658965,0.734835,0.698272,0.708686,0.537249,0.429607,0.398648,0.285004,0.234962,0.227377,0.210502
"Sisačko-moslavačka","Sisak-Moslavina",0.202271,0.204555,0.174985,0.178019,0.151722,0.213895,0.326513,0.341231,0.234465,0.194386,0.154647,0.225035,0.055204,0.055561
"Splitsko-dalmatinska","Split-Dalmatia",0.632205,0.590366,0.723324,0.557468,0.545515,0.687814,0.607362,0.388849,0.334672,0.398273,0.230214,0.250821,0.292959,0.246384
"Šibensko-kninska","Šibenik-Knin",0.386815,0.509559,0.822845,0.876676,0.820905,0.842479,0.24417,0.410631,0.589097,0.610202,0.526056,0.456692,0.376691,0.34022
"Varaždinska","Varaždin",0.349612,0.339062,0.41132,0.394741,0.613452,0.338202,0.656971,0.406699,0.391209,0.322937,0.143728,0.149346,0.1876,0.193514
"Virovitičko-podravska","Virovitica-Podravina",0.195292,0.230587,0.22864,0.282536,0.314911,0.322129,0.333605,0.335418,0.280234,0.276314,0.198723,0.080454,0.07725,0.084369
"Vukovarsko-srijemska","Vukovar-Sirmium",0.227428,0.314586,0.359191,0.36168,0.346075,0.300673,0.534378,0.47193,0.325066,0.394923,0.164306,0.094633,0.156324,0.09114
"Zadarska","Zadar",1.02015,0.962689,0.698178,0.828482,0.37864,0.427636,0.592022,1.016642,1.122064,0.985747,0.686871,0.566564,0.689249,0.634285
"Zagrebačka","Zagreb",0.491853,0.461743,0.481036,0.704243,0.589549,0.573993,0.781469,0.785899,0.485347,0.388061,0.270608,0.178609,0.140683,0.133726
