"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.896669,1.175958,0.512454,0.485729,0.692168,0.732089,1.033081,0.6544,0.37918,0.538737,0.662864,0.554476,0.417394,0.438178
"Brodsko-posavska","Slavonski Brod-Posavina",0.221218,0.545425,0.414843,0.373644,0.581123,1.098223,1.030166,0.795077,0.892263,0.697281,0.948506,0.610717,0.733765,0.522965
"Dubrovačko-neretvanska","Dubrovnik-Neretva",1.161121,1.39602,1.983748,1.649411,2.914514,3.835247,5.238516,4.051313,2.580166,1.728351,3.114806,2.744765,2.993396,3.552184
"Grad Zagreb","City of Zagreb",1.113662,1.44074,1.694424,2.013161,2.127105,2.44591,2.832209,2.540827,2.431248,2.030657,1.750498,1.345166,1.109954,0.925526
"Istarska","Istria",1.354487,1.326616,1.303989,2.363652,3.441727,2.534889,2.646468,1.503644,1.50661,2.086272,2.355851,1.925873,2.124663,1.930992
"Karlovačka","Karlovac",0.423751,0.627795,0.517484,0.45102,0.420264,0.963785,0.87075,0.65554,1.159638,0.784739,0.893053,0.738551,0.580937,0.684422
"Koprivničko-križevačka","Koprivnica-Križevci",0.389048,0.657089,0.782895,0.874202,1.076268,1.124852,1.024641,1.293044,0.627587,0.372063,0.842284,0.557265,0.557781,0.745232
"Krapinsko-zagorska","Krapina-Zagorje",0.50372,0.401591,0.378559,0.557843,0.741606,0.788169,0.986325,0.828939,0.442683,0.802113,0.614466,0.434501,0.501581,0.541624
"Ličko-senjska","Lika-Senj",0.409934,0.846787,1.083196,0.930462,2.476591,1.588933,1.281416,1.086734,1.154283,2.154625,1.184274,1.218904,0.703883,0.822774
"Međimurska","Međimurje",0.687988,0.600596,0.924376,0.949641,1.088136,1.238188,1.570375,1.348235,0.754416,0.854096,0.89757,0.89357,0.929657,0.706492
"Osječko-baranjska","Osijek-Baranja",0.602186,0.80002,1.093734,0.955014,1.308424,1.72386,2.503618,2.275152,2.029161,1.678339,0.829774,1.151567,0.956868,1.025235
"Požeško-slavonska","Požega-Slavonia",0.494071,0.63144,0.615033,0.67191,0.967573,0.684663,0.892355,1.168819,0.631509,0.820765,0.553248,0.568818,0.567601,0.383692
"Primorsko-goranska","Primorje-Gorski kotar",0.803171,1.119804,1.16663,1.317149,1.447796,1.735151,2.111917,1.950111,1.09668,1.154836,1.300985,0.761395,1.45918,1.262235
"Republika Hrvatska","Republic of Croatia",0.691298,0.879796,0.976323,1.09486,1.413243,1.69466,2.052701,1.882967,1.533146,1.291537,1.173116,1.023226,1.090374,1.18536
"Sisačko-moslavačka","Sisak-Moslavina",0.24594,0.303964,0.425276,0.33861,0.842452,0.705785,0.903375,1.091781,0.778216,0.40895,0.236912,0.450687,0.439652,0.657132
"Splitsko-dalmatinska","Split-Dalmatia",0.651413,0.825032,0.735694,0.745994,1.562869,1.683688,1.845217,1.718225,2.170123,1.20202,0.818557,0.823376,0.994954,2.022363
"Šibensko-kninska","Šibenik-Knin",0.585488,0.823352,0.666453,0.724382,0.598218,0.884019,1.555827,1.876489,0.962798,1.188884,1.14312,1.059602,0.904247,1.157494
"Varaždinska","Varaždin",0.638421,0.588839,1.007897,0.919202,0.866704,1.911671,2.066921,1.563819,1.135479,0.808774,1.233617,1.08879,0.790244,0.742522
"Virovitičko-podravska","Virovitica-Podravina",0.181021,0.442534,0.290434,0.346489,0.454753,0.63373,0.644181,0.638104,0.847817,0.731213,0.392663,0.642691,0.488389,0.294591
"Vukovarsko-srijemska","Vukovar-Sirmium",0.338149,0.586877,0.462634,0.698334,0.937303,1.249679,1.629932,1.693107,2.006117,1.908845,0.985432,0.743247,0.519093,0.971493
"Zadarska","Zadar",0.651119,0.765293,1.224307,1.25382,1.064283,2.279098,2.866738,1.931003,1.245881,0.906211,0.891609,1.258173,1.217483,1.056321
"Zagrebačka","Zagreb",0.381145,0.458051,0.548233,0.658851,0.875206,1.428944,2.17683,3.207857,1.100169,0.892341,0.875633,0.775471,1.79813,1.851153
