"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.471988,0.525348,1.167629,0.983056,0.826288,0.896975,1.383857,1.480742,0.926604,1.21313,1.240018,0.884489,0.89566,0.954398
"Brodsko-posavska","Slavonski Brod-Posavina",0.887275,0.865657,1.017133,0.94746,1.270081,1.578677,1.930528,1.004755,0.787459,1.011027,1.148632,1.045712,1.029796,1.248139
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.709467,1.159171,1.114886,1.439906,1.286585,2.729417,5.512715,5.78196,3.766387,2.929289,2.65761,3.701744,1.837947,2.277372
"Grad Zagreb","City of Zagreb",0.664118,0.734281,0.868727,1.105822,1.504163,1.021716,1.12632,1.259565,0.704748,0.639553,0.655679,0.979152,1.015205,0.892744
"Istarska","Istria",0.849261,1.877838,3.303726,2.799233,3.056527,1.44261,1.736258,3.413297,2.507065,1.922169,1.348427,1.494728,1.577548,1.530844
"Karlovačka","Karlovac",10.925174,3.164819,1.177606,1.015164,1.65267,1.756407,1.731317,1.270666,1.018323,1.154302,1.073742,1.116264,1.606218,1.308987
"Koprivničko-križevačka","Koprivnica-Križevci",0.424906,0.655543,0.80363,0.8583,1.084546,0.916295,1.430937,1.318545,0.725177,1.402369,1.937081,1.795769,1.199581,1.646324
"Krapinsko-zagorska","Krapina-Zagorje",0.386093,0.486958,1.001622,4.271526,3.300785,1.686675,1.930069,2.050685,0.838849,0.730365,0.999066,1.700814,1.901406,2.091509
"Ličko-senjska","Lika-Senj",6.211773,12.833025,30.142565,7.016437,3.377427,3.991425,7.136922,4.629614,3.578929,2.874845,2.397902,2.565594,3.081056,1.997985
"Međimurska","Međimurje",0.279378,0.494274,0.899463,0.8696,0.837209,0.624753,1.4784,0.98586,0.720494,0.537628,0.530341,0.483684,0.555122,0.651844
"Osječko-baranjska","Osijek-Baranja",0.593617,0.427908,0.618361,1.02805,2.114301,3.790111,4.032683,1.887601,0.892405,1.225566,2.200762,1.538754,1.510859,1.222569
"Požeško-slavonska","Požega-Slavonia",0.442862,0.689817,0.680464,0.484306,0.288021,0.530733,1.17886,1.006848,0.911379,1.025201,1.050345,0.991939,1.148845,0.956406
"Primorsko-goranska","Primorje-Gorski kotar",1.987506,2.676631,2.457705,2.841358,3.706778,4.522443,4.39586,3.134577,2.7038,1.885086,1.861964,1.594873,1.633669,1.436089
"Republika Hrvatska","Republic of Croatia",1.273865,1.930906,1.864626,1.780672,1.96327,2.053014,2.263445,2.01933,1.367009,1.349763,1.39241,1.421705,1.24931,1.180232
"Sisačko-moslavačka","Sisak-Moslavina",0.777097,0.705883,0.901449,0.794369,1.424292,1.371773,1.466119,1.337342,1.301424,1.261336,1.306933,1.192438,1.037695,1.011092
"Splitsko-dalmatinska","Split-Dalmatia",0.709493,1.543359,1.736915,1.633758,2.958776,3.175968,2.612376,1.978587,1.797693,1.776004,1.532707,1.855579,1.158941,0.885309
"Šibensko-kninska","Šibenik-Knin",0.896392,2.107586,4.491513,6.580855,1.077915,1.693061,1.221566,0.932391,0.790635,1.467865,1.33259,1.411789,0.995622,1.137229
"Varaždinska","Varaždin",1.569212,3.314486,1.189939,0.736417,1.34085,1.552912,1.208955,0.914006,0.72321,0.697123,0.941422,0.664756,0.91366,0.446558
"Virovitičko-podravska","Virovitica-Podravina",0.312631,0.410749,0.687954,1.70682,1.241624,0.911514,1.214115,1.311551,1.239926,1.909561,1.294011,1.059413,0.797875,0.983861
"Vukovarsko-srijemska","Vukovar-Sirmium",0.551727,0.612529,0.987318,1.953635,2.212946,1.493661,1.689567,2.379243,1.097307,1.144111,0.907345,0.897199,0.818665,1.236349
"Zadarska","Zadar",2.638061,4.440968,2.317889,1.478897,1.496359,2.357811,1.830999,2.428626,0.973491,1.415276,2.253277,1.490355,1.124442,0.670473
"Zagrebačka","Zagreb",0.464661,0.893965,0.960879,1.31576,1.47543,1.922815,2.501528,2.895949,1.781799,1.75168,1.768728,1.943303,1.503208,1.726432
