"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.000977,0.012263,0.019077,0.033119,0.007331,0.011333,0.012224,0.008545,0.007048,0.004605,0.04358,0.065313,0.012706,0.119195
"Brodsko-posavska","Slavonski Brod-Posavina",0.005594,0.000774,0.000851,0.001497,0.000664,0.035679,0.145051,0.001998,0.002626,5.1e-05,0.018137,0.029784,0.021774,0.05881
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.014607,0.005373,0.023622,0.042477,0.022596,0.012275,0.007308,0.006443,0.03399,0.309785,0.34248,0.0241,0.061411,0.018384
"Grad Zagreb","City of Zagreb",0.029722,0.016047,0.013547,0.032065,0.032986,0.071498,0.068586,0.025628,0.050174,0.051536,0.066323,0.033433,0.032846,0.037048
"Istarska","Istria",0.037953,0.036613,0.052192,0.04082,0.086436,0.191521,0.061474,0.045125,0.100182,0.072,0.035322,0.051773,0.082079,0.055558
"Karlovačka","Karlovac",0.007598,0.00442,0.002036,0.019655,0.144613,0.337581,0.598351,0.242604,0.119067,0.074812,0.096735,0.056815,0.153778,0.061351
"Koprivničko-križevačka","Koprivnica-Križevci",0.049588,0.080338,0.099875,0.139498,0.071411,0.122602,0.114031,0.083721,0.05731,0.032142,0.069746,0.068092,0.034278,0.008509
"Krapinsko-zagorska","Krapina-Zagorje",0.002998,0.000247,0.005413,0.032891,0.012973,0.033424,0.010548,0.061367,0.037198,0.010922,0.015516,0.011605,0.078589,0.06089
"Ličko-senjska","Lika-Senj",0.033995,0.141264,0.044201,0.019366,0.032876,0.063498,0.370803,0.747485,0.030079,0.063238,0.048576,0.053987,0.01691,0.064975
"Međimurska","Međimurje",NA,0.001026,0.000158,0.026183,0.037762,0.007469,0.010189,NA,0.003715,0.015385,0.011412,0.067671,0.049833,0.011415
"Osječko-baranjska","Osijek-Baranja",0.004844,0.039331,0.006948,0.035951,0.02631,0.016462,0.03887,0.039256,0.009253,0.051573,0.035088,0.046293,0.0944,0.062451
"Požeško-slavonska","Požega-Slavonia",0.008815,0.00093,0.002601,0.005687,0.011366,0.01857,0.010715,0.023722,0.008744,0.013115,0.010554,0.035013,0.048179,0.027452
"Primorsko-goranska","Primorje-Gorski kotar",0.126692,0.252111,0.2273,0.277821,0.280635,0.304809,0.269615,0.565063,0.494551,0.179248,0.162052,0.25647,0.141581,0.185243
"Republika Hrvatska","Republic of Croatia",0.036827,0.0476,0.036103,0.056742,0.060127,0.09938,0.108728,0.104886,0.104891,0.10011,0.100429,0.099096,0.075257,0.07079
"Sisačko-moslavačka","Sisak-Moslavina",0.171586,0.198107,0.139247,0.266647,0.289231,0.427547,0.650073,0.482872,0.486037,0.856847,0.548657,0.416264,0.475676,0.27546
"Splitsko-dalmatinska","Split-Dalmatia",0.056346,0.025999,0.016484,0.017357,0.028902,0.063538,0.041789,0.083696,0.026703,0.071181,0.157855,0.112502,0.061578,0.097404
"Šibensko-kninska","Šibenik-Knin",0.003268,0.028853,0.004196,0.035456,0.030287,0.042499,0.021644,0.008251,0.205166,0.085411,0.018728,0.298498,0.04104,0.052562
"Varaždinska","Varaždin",0.005387,0.003698,0.017754,0.006264,0.012941,0.012371,0.014701,0.003039,0.055795,0.047932,0.042466,0.04639,0.030965,0.025082
"Virovitičko-podravska","Virovitica-Podravina",0.008755,0.006397,0.001378,0.00417,0.02005,0.040168,0.029405,0.008206,0.009375,0.006476,0.040193,0.036818,0.029576,0.059955
"Vukovarsko-srijemska","Vukovar-Sirmium",0.000786,0.044074,0.007549,0.010704,0.008049,0.035262,0.044239,0.009729,0.005741,0.008354,0.016308,0.033007,0.095756,0.058071
"Zadarska","Zadar",0.01481,0.013266,0.008746,0.016472,0.00772,0.122925,0.013261,0.027197,0.332771,0.176668,0.090778,0.260773,0.018226,0.018858
"Zagrebačka","Zagreb",0.011171,0.023304,0.013253,0.041285,0.019176,0.048651,0.047141,0.053678,0.055997,0.048647,0.117693,0.112879,0.039036,0.06259
