"Županija","County.of","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",17.6492,16.5441,18.4971,21.5794,24.6046,22.174,21.1977,22.7598,22.6379,19.8985,18.9359
"Brodsko-posavska","Slavonski Brod-Posavina",11.3637,10.7965,13.1991,15.718,17.7553,15.4238,17.1524,19.1986,20.856,18.5831,15.5808
"Dubrovačko-neretvanska","Dubrovnik-Neretva",5.0239,5.7887,5.7504,6.6618,6.9574,6.3389,4.9426,4.6503,4.3916,4.3763,4.9306
"Grad Zagreb","City of Zagreb",32.4116,33.06,35.5954,39.203,37.4102,33.8575,32.5938,33.3833,33.9127,31.6783,31.4554
"Istarska","Istria",37.6371,36.1839,40.3899,44.7321,44.7672,39.0144,48.1537,50.6259,40.7759,35.815,34.539
"Karlovačka","Karlovac",17.9988,18.1888,20.9478,24.2842,25.1234,22.736,23.0255,26.6372,27.1824,27.9738,28.0151
"Koprivničko-križevačka","Koprivnica-Križevci",34.7225,35.3974,35.833,37.0932,41.596,39.4886,41.776,44.4763,48.6451,44.7791,42.2604
"Krapinsko-zagorska","Krapina-Zagorje",18.3201,18.8893,22.1513,25.6791,29.9367,26.7597,26.2012,27.1908,26.2925,28.0443,31.7405
"Ličko-senjska","Lika-Senj",5.6863,5.0763,6.0335,6.944,7.5071,7.2334,6.1516,8.0884,8.5594,11.5847,12.3383
"Međimurska","Međimurje",24.8023,25.3626,28.7055,33.8864,37.2431,34.0458,35.6769,39.9425,41.8774,42.4986,45.3067
"Osječko-baranjska","Osijek-Baranja",17.7175,16.7634,18.5619,21.508,23.678,20.6304,20.5668,24.0487,23.8472,24.0993,24.5841
"Požeško-slavonska","Požega-Slavonia",14.9978,13.9874,15.6417,17.5386,17.8755,16.1727,15.9241,16.5721,17.9003,16.813,15.3653
"Primorsko-goranska","Primorje-Gorski kotar",41.4974,45.564,48.9137,57.378,53.1957,46.5857,46.0222,53.4377,61.2537,57.883,54.4112
"Republika Hrvatska","Republic of Croatia",23.2626,23.9702,26.5879,30.1316,31.1853,27.1625,28.3123,30.3264,30.5649,28.9128,28.6295
"Sisačko-moslavačka","Sisak-Moslavina",42.4949,41.0012,54.7819,57.5621,68.2775,49.4592,60.4884,60.0515,59.1556,47.9914,41.4291
"Splitsko-dalmatinska","Split-Dalmatia",15.1325,13.4824,15.366,17.9042,18.8122,14.7329,14.0751,13.5805,10.4179,8.6736,9.6696
"Šibensko-kninska","Šibenik-Knin",13.0511,16.4052,18.0836,21.9771,24.2588,17.7613,19.7135,21.338,19.9382,20.0091,19.6593
"Varaždinska","Varaždin",29.5449,32.9556,32.1655,34.7259,38.1624,36.8323,36.1618,39.4802,40.2805,40.9242,43.4528
"Virovitičko-podravska","Virovitica-Podravina",16.0968,16.4386,17.8771,21.0521,19.6041,16.7581,16.9938,18.8471,19.5631,15.1453,14.7431
"Vukovarsko-srijemska","Vukovar-Sirmium",7.1075,8.3583,8.5124,9.9109,10.9756,9.1637,10.1639,12.0666,12.7255,12.4499,12.7593
"Zadarska","Zadar",7.0175,7.7994,8.5158,9.3321,9.7916,8.666,8.2733,8.7373,8.9227,9.0687,9.9059
"Zagrebačka","Zagreb",19.8711,21.2828,21.8521,25.4249,28.2603,25.7065,25.9244,28.3805,30.0609,31.1725,31.6295
