"Županija","County.of","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.813064,0.825916,0.864359,0.899881,0.943582,1.02842
"Brodsko-posavska","Slavonski Brod-Posavina",0.800909,0.773692,1.164473,1.223583,1.112683,1.634347
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.253573,0.270415,0.192063,0.242007,0.236836,0.265461
"Grad Zagreb","City of Zagreb",3.965538,4.029188,4.427651,4.575889,4.643478,4.780493
"Istarska","Istria",4.453097,4.609298,3.351575,3.252838,2.90841,3.498841
"Karlovačka","Karlovac",1.440674,1.570123,1.755012,1.9664,2.075989,2.26352
"Koprivničko-križevačka","Koprivnica-Križevci",1.799148,2.154015,2.159157,2.311979,2.385436,2.555153
"Krapinsko-zagorska","Krapina-Zagorje",2.216476,2.320701,2.451608,2.778541,2.933415,3.167544
"Ličko-senjska","Lika-Senj",0.114702,0.203326,0.267415,0.381785,0.524653,0.62381
"Međimurska","Međimurje",2.795549,3.464799,3.581884,3.696265,3.947164,4.415414
"Osječko-baranjska","Osijek-Baranja",1.182909,1.528221,1.42232,1.30898,1.494561,1.694251
"Požeško-slavonska","Požega-Slavonia",1.058907,1.175738,1.323044,1.356997,1.33465,1.490625
"Primorsko-goranska","Primorje-Gorski kotar",1.503205,1.977129,1.816524,1.569394,1.698215,1.935758
"Republika Hrvatska","Republic of Croatia",2.073191,2.238497,2.256201,2.253325,2.446397,2.742373
"Sisačko-moslavačka","Sisak-Moslavina",2.463653,3.140428,2.863073,2.699348,2.941067,3.299392
"Splitsko-dalmatinska","Split-Dalmatia",1.429115,1.318033,1.051474,0.665171,0.780871,1.045643
"Šibensko-kninska","Šibenik-Knin",1.783915,1.920557,2.377901,1.474012,1.28277,0.683885
"Varaždinska","Varaždin",3.489521,4.131495,4.292248,4.554118,4.549845,5.256613
"Virovitičko-podravska","Virovitica-Podravina",1.180471,1.157443,1.57398,1.18325,1.518644,1.546317
"Vukovarsko-srijemska","Vukovar-Sirmium",1.140239,0.86545,0.896768,0.93082,1.061665,1.1069
"Zadarska","Zadar",0.856875,1.028047,0.982529,0.997516,1.061623,1.380133
"Zagrebačka","Zagreb",0.804089,0.929574,1.168704,1.321836,1.474586,1.92798
