"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.252218,0.220105,0.195511,0.135621,0.119046,0.107493,0.134464,0.08149,0.067526,0.072576,0.086674,0.088099,0.084765,0.297094,0.472386
"Brodsko-posavska","Slavonski Brod-Posavina",0.110469,0.194062,0.127444,0.111486,0.044853,0.039203,0.023539,NA,NA,NA,NA,NA,0.664694,0.663523,0.650101
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.594483,0.504685,0.521877,0.496851,0.31151,0.4769,0.466717,0.459593,0.479069,0.558101,0.476008,0.806878,1.094569,1.057039,1.096181
"Grad Zagreb","City of Zagreb",1.812265,1.682891,1.450697,2.21977,1.82559,2.174805,2.058687,2.438288,2.558106,2.508952,2.444353,2.661017,2.645609,2.541242,2.698436
"Istarska","Istria",0.592398,0.530091,0.397399,0.418344,0.174791,0.223103,0.220258,0.260881,0.479143,0.433381,0.439066,0.458543,0.496292,0.503336,0.541166
"Karlovačka","Karlovac",0.348549,0.278384,0.215312,0.197225,0.048668,0.052713,0.027266,0.006897,0.008048,0.007088,0.003175,0.001504,NA,NA,0
"Koprivničko-križevačka","Koprivnica-Križevci",0.335333,0.326647,0.299071,0.279904,0.190916,0.246611,0.210451,0.167951,0.22627,0.17212,0.195895,0.224875,0.211577,0.22735,0.252908
"Krapinsko-zagorska","Krapina-Zagorje",0.078122,0.094477,0.082046,0.070987,0.008944,0.024128,0.012172,NA,NA,0.013858,0.020426,0.017642,0.031697,0.035571,0.045623
"Ličko-senjska","Lika-Senj",0.186943,0.150535,0.09889,0.118594,0.031868,0.043582,0.055185,0.050614,0.038404,0.040689,0.037103,0.033399,0.027976,0.041319,0.095793
"Međimurska","Međimurje",0.537454,0.528215,0.477545,0.491482,0.248676,0.334371,0.278134,0.214694,0.312134,0.285487,0.328926,0.18332,0.154554,0.167561,0.158062
"Osječko-baranjska","Osijek-Baranja",0.515698,0.485554,0.389532,0.433345,0.272651,0.311904,0.29659,0.310579,0.400607,0.346572,0.957812,1.094299,0.957159,0.921132,0.950648
"Požeško-slavonska","Požega-Slavonia",0.078161,0.07988,0.037087,0.027478,0.005406,NA,NA,NA,NA,NA,NA,NA,0.054999,0.051793,0.048058
"Primorsko-goranska","Primorje-Gorski kotar",1.008549,0.904912,0.852891,0.89121,0.615685,0.769649,0.609318,1.742912,1.63378,1.559562,1.363752,1.440809,1.41604,1.324188,1.436092
"Republika Hrvatska","Republic of Croatia",0.682684,0.643005,0.544451,0.691253,0.504306,0.61902,0.576026,0.761746,0.818519,0.781136,0.831199,0.952383,0.976733,0.962517,1.034341
"Sisačko-moslavačka","Sisak-Moslavina",0.189702,0.219366,0.116591,0.11741,0.04943,0.072473,0.065812,0.057725,0.070388,0.069294,0.061104,0.069855,0.107917,0.1527,0.171836
"Splitsko-dalmatinska","Split-Dalmatia",0.80415,0.672087,0.619238,0.633551,0.389343,0.522987,0.523435,0.788345,0.802972,0.412571,0.823057,0.968428,1.000174,0.977557,1.087209
"Šibensko-kninska","Šibenik-Knin",0.15057,0.331993,0.260761,0.249428,0.049887,0.087291,0.162907,0.167955,0.180373,1.17726,0.929056,0.902412,0.886559,0.790433,0.844979
"Varaždinska","Varaždin",0.38683,0.381281,0.326127,0.241757,0.16406,0.179982,0.144945,0.12612,0.135738,0.095926,0.186077,1.144413,1.042079,0.993929,1.109711
"Virovitičko-podravska","Virovitica-Podravina",0.109086,0.117668,0.072276,0.065261,0.067308,0.051771,0.044892,0.034979,0.030975,0.03002,0.058567,0.077678,0.070277,0.086269,0.138258
"Vukovarsko-srijemska","Vukovar-Sirmium",0.114508,0.1108,0.036493,0.027165,0.01036,0.015445,0.01066,0.001719,0.015197,NA,0.005962,0.006645,0.02447,0.309016,0.266546
"Zadarska","Zadar",0.537002,0.731711,0.505759,0.757037,0.415872,0.598779,0.502941,0.933775,1.336065,1.2497,0.938159,0.965008,0.946799,0.883426,0.884532
"Zagrebačka","Zagreb",0.237947,0.215676,0.14035,0.114442,0.118562,0.1612,0.105326,0.068237,0.067202,0.070068,0.066321,0.061583,0.072708,0.073069,0.085847
