"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.270772,0.273578,0.275106,0.278508,0.27878,0.280989,0.284446,0.286518,0.284863,0.287936,0.286418,0.293472,0.296232,0.297673,0.295298
"Brodsko-posavska","Slavonski Brod-Posavina",0.252089,0.254146,0.25256,0.256431,0.259307,0.259218,0.25994,0.259175,0.256211,0.261966,0.262213,0.269814,0.272923,0.273763,0.27568
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.200598,0.204935,0.211726,0.237665,0.24949,0.258276,0.262468,0.26262,0.272141,0.277986,0.289386,0.296329,0.30423,0.310539,0.318638
"Grad Zagreb","City of Zagreb",0.278867,0.282345,0.282883,0.283044,0.284982,0.287675,0.285363,0.282453,0.276529,0.276004,0.277138,0.277883,0.275997,0.276235,0.278637
"Istarska","Istria",0.297908,0.298063,0.298797,0.304401,0.379244,0.402758,0.417976,0.432564,0.438335,0.446554,0.454521,0.47208,0.486446,0.495536,0.504808
"Karlovačka","Karlovac",0.242053,0.250456,0.254757,0.258643,0.263038,0.263586,0.273426,0.277931,0.280091,0.282391,0.28328,0.289078,0.291205,0.295496,0.300419
"Koprivničko-križevačka","Koprivnica-Križevci",0.253819,0.25523,0.254226,0.258951,0.26027,0.262212,0.264785,0.262201,0.258604,0.264655,0.261835,0.264807,0.266183,0.267627,0.266597
"Krapinsko-zagorska","Krapina-Zagorje",0.213686,0.217384,0.219574,0.221587,0.227197,0.232221,0.238936,0.24073,0.242968,0.244379,0.245462,0.248789,0.251071,0.252141,0.252007
"Ličko-senjska","Lika-Senj",0.220017,0.22754,0.228006,0.236138,0.2446,0.259199,0.282445,0.29813,0.310313,0.321234,0.340415,0.360718,0.373936,0.388104,0.405026
"Međimurska","Međimurje",0.238499,0.239988,0.238246,0.239627,0.241471,0.243577,0.247801,0.25036,0.249712,0.251126,0.249442,0.253318,0.252758,0.254589,0.256742
"Osječko-baranjska","Osijek-Baranja",0.292436,0.294567,0.293854,0.29616,0.300529,0.302508,0.303706,0.304388,0.302632,0.305224,0.306494,0.308022,0.310646,0.311045,0.309554
"Požeško-slavonska","Požega-Slavonia",0.255696,0.258328,0.259679,0.26345,0.265206,0.265719,0.271278,0.269224,0.26984,0.276591,0.278444,0.287067,0.289482,0.290328,0.289712
"Primorsko-goranska","Primorje-Gorski kotar",0.307632,0.308606,0.30881,0.321976,0.332709,0.347772,0.358465,0.359444,0.356953,0.366748,0.377272,0.385239,0.392033,0.398229,0.402779
"Republika Hrvatska","Republic of Croatia",0.251195,0.253797,0.254375,0.258799,0.266356,0.272174,0.276902,0.277704,0.277242,0.281803,0.284847,0.290233,0.294195,0.297451,0.301277
"Sisačko-moslavačka","Sisak-Moslavina",0.231132,0.239031,0.240849,0.24794,0.255754,0.259274,0.267956,0.271747,0.273529,0.27772,0.279453,0.286494,0.286603,0.289678,0.289996
"Splitsko-dalmatinska","Split-Dalmatia",0.194853,0.194956,0.195188,0.198483,0.202547,0.209486,0.214649,0.214206,0.21608,0.222611,0.228108,0.235375,0.246207,0.252317,0.26088
"Šibensko-kninska","Šibenik-Knin",0.205245,0.208404,0.212139,0.215353,0.218326,0.237385,0.242519,0.248332,0.260543,0.270465,0.28042,0.291175,0.298433,0.310948,0.323194
"Varaždinska","Varaždin",0.241234,0.242885,0.243318,0.245246,0.246733,0.250191,0.255904,0.256707,0.255374,0.257736,0.25688,0.260725,0.2607,0.262548,0.262865
"Virovitičko-podravska","Virovitica-Podravina",0.274309,0.276648,0.274705,0.279188,0.281261,0.280687,0.28368,0.281481,0.275803,0.287455,0.289514,0.292639,0.297294,0.298313,0.298226
"Vukovarsko-srijemska","Vukovar-Sirmium",0.247747,0.253857,0.256237,0.2652,0.271612,0.273671,0.277395,0.276468,0.275226,0.279799,0.279645,0.286857,0.290521,0.280262,0.28961
"Zadarska","Zadar",0.184743,0.181948,0.18228,0.188371,0.201791,0.216215,0.229756,0.231321,0.232534,0.249553,0.258002,0.266632,0.277038,0.294526,0.303147
"Zagrebačka","Zagreb",0.237014,0.239641,0.238678,0.240228,0.240115,0.242299,0.245683,0.24373,0.242905,0.243831,0.24298,0.243666,0.246374,0.248413,0.249844
