"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.018642,0.017679,0.01946,0.019921,0.020974,0.020995,0.02144,0.022425,0.022521,0.023404,0.023807
"Brodsko-posavska","Slavonski Brod-Posavina",0.01446,0.014232,0.013905,0.01336,0.013518,0.013907,0.014092,0.014928,0.014696,0.015777,0.015787
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.02655,0.026099,0.027236,0.027116,0.031265,0.032211,0.032126,0.033808,0.035148,0.035781,0.037807
"Grad Zagreb","City of Zagreb",0.038614,0.04018,0.041205,0.04199,0.044192,0.046709,0.047097,0.048137,0.049292,0.049799,0.049463
"Istarska","Istria",0.027162,0.02863,0.030002,0.031076,0.032158,0.032437,0.03351,0.034181,0.034308,0.034179,0.035268
"Karlovačka","Karlovac",0.013966,0.015942,0.017232,0.018753,0.021231,0.022617,0.023363,0.020843,0.024529,0.024668,0.025484
"Koprivničko-križevačka","Koprivnica-Križevci",0.019053,0.020019,0.020735,0.021239,0.023608,0.02602,0.025437,0.024929,0.023954,0.025781,0.024476
"Krapinsko-zagorska","Krapina-Zagorje",0.019252,0.020015,0.019853,0.020576,0.021401,0.02118,0.021082,0.021338,0.021399,0.02913,0.024662
"Ličko-senjska","Lika-Senj",0.016218,0.016882,0.017953,0.01728,0.018035,0.017624,0.019331,0.018882,0.019204,0.018738,0.019608
"Međimurska","Međimurje",0.022546,0.024946,0.027696,0.030154,0.026742,0.027343,0.026331,0.02743,0.029616,0.029763,0.030673
"Osječko-baranjska","Osijek-Baranja",0.018809,0.018734,0.019185,0.020262,0.02038,0.018593,0.01895,0.019372,0.019631,0.020676,0.022295
"Požeško-slavonska","Požega-Slavonia",0.015511,0.01563,0.015264,0.01743,0.015806,0.016992,0.018939,0.017951,0.018364,0.019082,0.02243
"Primorsko-goranska","Primorje-Gorski kotar",0.023367,0.024412,0.025151,0.025719,0.027112,0.026819,0.029665,0.028354,0.028958,0.029536,0.029854
"Republika Hrvatska","Republic of Croatia",0.024619,0.025401,0.026359,0.027005,0.028206,0.029139,0.029675,0.030005,0.030791,0.03156,0.032014
"Sisačko-moslavačka","Sisak-Moslavina",0.019166,0.018624,0.01984,0.019696,0.020902,0.021031,0.020183,0.019483,0.021433,0.021253,0.02327
"Splitsko-dalmatinska","Split-Dalmatia",0.029542,0.030103,0.029689,0.029682,0.030134,0.030854,0.031578,0.032482,0.032715,0.033577,0.032859
"Šibensko-kninska","Šibenik-Knin",0.022152,0.022178,0.022818,0.023868,0.024817,0.025838,0.026551,0.02713,0.028628,0.02801,0.029133
"Varaždinska","Varaždin",0.023019,0.024219,0.027202,0.027151,0.02955,0.029283,0.029493,0.02813,0.02926,0.028463,0.028043
"Virovitičko-podravska","Virovitica-Podravina",0.015642,0.016148,0.016129,0.015987,0.017822,0.01848,0.012609,0.019804,0.018957,0.020021,0.028284
"Vukovarsko-srijemska","Vukovar-Sirmium",0.013123,0.01484,0.014154,0.016925,0.016902,0.018228,0.018015,0.016787,0.01799,0.018669,0.019134
"Zadarska","Zadar",0.021948,0.021612,0.022073,0.023272,0.02389,0.025742,0.027948,0.027405,0.02908,0.029552,0.028313
"Zagrebačka","Zagreb",0.024641,0.02525,0.028759,0.028165,0.029863,0.031893,0.0328,0.032696,0.032531,0.032802,0.034173
