"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.093543,0.09215,0.091627,0.089292,0.087703,0.084668,0.08268,0.081282,0.080319,0.079136,0.078737
"Brodsko-posavska","Slavonski Brod-Posavina",0.107595,0.106814,0.105425,0.102348,0.099477,0.096569,0.093448,0.09032,0.08705,0.085182,0.083702
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.096727,0.093543,0.092219,0.08915,0.086012,0.083192,0.080519,0.078439,0.076549,0.07609,0.076832
"Grad Zagreb","City of Zagreb",0.083607,0.082169,0.079077,0.077506,0.075236,0.073343,0.071325,0.070245,0.069306,0.069583,0.071424
"Istarska","Istria",0.077776,0.075169,0.074313,0.072969,0.071344,0.069643,0.068813,0.068891,0.069112,0.069788,0.07016
"Karlovačka","Karlovac",0.072946,0.072466,0.073074,0.072592,0.072759,0.071769,0.070859,0.070159,0.070524,0.07079,0.071085
"Koprivničko-križevačka","Koprivnica-Križevci",0.092853,0.092089,0.090914,0.09026,0.088439,0.087076,0.084913,0.083259,0.080947,0.080202,0.080057
"Krapinsko-zagorska","Krapina-Zagorje",0.091159,0.089425,0.088101,0.086918,0.085374,0.08373,0.081125,0.078955,0.077146,0.075935,0.075366
"Ličko-senjska","Lika-Senj",0.079349,0.079675,0.080125,0.08017,0.078931,0.077472,0.075488,0.073165,0.071044,0.070331,0.070244
"Međimurska","Međimurje",0.097423,0.096171,0.095303,0.094024,0.093224,0.091321,0.089243,0.088041,0.086936,0.086135,0.085684
"Osječko-baranjska","Osijek-Baranja",0.094167,0.093709,0.092576,0.091394,0.088733,0.085794,0.082882,0.080766,0.07892,0.077272,0.075732
"Požeško-slavonska","Požega-Slavonia",0.108147,0.107344,0.104176,0.101926,0.099399,0.096336,0.092022,0.089288,0.086503,0.08417,0.082847
"Primorsko-goranska","Primorje-Gorski kotar",0.073534,0.071564,0.070348,0.069532,0.068256,0.06701,0.065901,0.065588,0.065432,0.06478,0.064669
"Republika Hrvatska","Republic of Croatia",0.090009,0.08871,0.087258,0.085783,0.083865,0.081795,0.079901,0.078281,0.076886,0.076254,0.076129
"Sisačko-moslavačka","Sisak-Moslavina",0.083539,0.083321,0.083243,0.083773,0.082464,0.081281,0.079732,0.078138,0.076337,0.075347,0.07462
"Splitsko-dalmatinska","Split-Dalmatia",0.097616,0.095855,0.094424,0.092253,0.089985,0.087667,0.086933,0.084323,0.08285,0.081977,0.081019
"Šibensko-kninska","Šibenik-Knin",0.090285,0.088199,0.086029,0.083955,0.081607,0.079683,0.076757,0.074418,0.069335,0.071154,0.070632
"Varaždinska","Varaždin",0.091205,0.090277,0.089506,0.088256,0.087041,0.085181,0.08407,0.082392,0.081429,0.080846,0.08012
"Virovitičko-podravska","Virovitica-Podravina",0.099944,0.098704,0.097022,0.094408,0.091907,0.0902,0.087484,0.084467,0.082188,0.080013,0.079469
"Vukovarsko-srijemska","Vukovar-Sirmium",0.101272,0.100517,0.100031,0.09836,0.095795,0.093702,0.092205,0.090183,0.087852,0.086254,0.084716
"Zadarska","Zadar",0.097454,0.096186,0.094036,0.091691,0.089562,0.085951,0.082985,0.081191,0.079706,0.07888,0.07911
"Zagrebačka","Zagreb",0.091149,0.090301,0.089446,0.088951,0.087934,0.086174,0.084577,0.083225,0.082293,0.081576,0.081199
