"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar Bilogora",0.010282,0.010293,0.010277,0.01022,0.009987,0.010372,0.011164,0.009447,0.00903,0.010237,0.012348,0.010611,0.011979,0.01416,0.016414
"Brodsko-posavska","Slavonski Brod Posavina",0.009606,0.012289,0.011422,0.010843,0.010098,0.011299,0.011035,0.009956,0.012727,0.009508,0.009889,0.009893,0.013517,0.016225,0.021012
"Dubrovačko-neretvanska","Dubrovnik Neretva",0.007713,0.008717,0.008538,0.006838,0.007217,0.008249,0.008686,0.006987,0.007179,0.008687,0.010649,0.009237,0.014076,0.011123,0.012169
"Grad Zagreb","City of Zagreb",0.01272,0.016692,0.012962,0.012322,0.011968,0.011887,0.011295,0.01036,0.009638,0.0095,0.011116,0.010587,0.01098,0.01262,0.014398
"Istarska","Istria",0.005764,0.006524,0.005282,0.005556,0.005409,0.005778,0.005868,0.005418,0.005076,0.005843,0.008821,0.008261,0.007599,0.00952,0.011577
"Karlovačka","Karlovac",0.008991,0.011114,0.009383,0.008569,0.009409,0.009854,0.01058,0.009113,0.011623,0.008888,0.009907,0.010197,0.012237,0.013768,0.015061
"Koprivničko-križevačka","Koprivnica Križevci",0.006025,0.006981,0.007,0.006066,0.006203,0.006639,0.006309,0.00521,0.005215,0.005149,0.006056,0.00579,0.006131,0.010019,0.010983
"Krapinsko-zagorska","Krapina Zagorje",0.005075,0.006768,0.005755,0.00515,0.005319,0.006343,0.006038,0.00501,0.004531,0.005102,0.005811,0.005898,0.006647,0.008264,0.009503
"Ličko-senjska","Lika Senj",0.012167,0.014699,0.012311,0.012438,0.015247,0.014755,0.017561,0.016261,0.020694,0.015098,0.017831,0.018121,0.01651,0.021923,0.022421
"Međimurska","Međimurje",0.003788,0.004748,0.004489,0.004412,0.004234,0.004473,0.004596,0.004106,0.00341,0.003636,0.004264,0.004491,0.005273,0.008599,0.008137
"Osječko-baranjska","Osijek Baranja",0.006999,0.007523,0.006872,0.007508,0.007657,0.008655,0.009905,0.007624,0.007165,0.006449,0.007053,0.007574,0.009151,0.012287,0.015151
"Požeško-slavonska","Požega Slavonia",0.009923,0.011978,0.011231,0.011788,0.011288,0.01214,0.0116,0.011213,0.012514,0.011222,0.014118,0.015838,0.011583,0.016215,0.026295
"Primorsko-goranska","Primorje Gorski kotar",0.006866,0.007567,0.007556,0.006897,0.006277,0.00652,0.007295,0.006927,0.006243,0.005712,0.007155,0.007694,0.008788,0.011398,0.015625
"Republika Hrvatska","Republic of Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sisačko-moslavačka","Sisak Moslavina",0.011071,0.012491,0.01192,0.011336,0.012241,0.012924,0.016564,0.014018,0.014931,0.013145,0.015152,0.015185,0.018014,0.017801,0.020949
"Splitsko-dalmatinska","Split Dalmatia",0.00527,0.00612,0.005573,0.005128,0.005091,0.005925,0.006002,0.005697,0.005662,0.006341,0.006763,0.007076,0.007629,0.009412,0.009553
"Šibensko-kninska","Šibenik Knin",0.010308,0.011375,0.011393,0.011675,0.010219,0.010356,0.01192,0.011849,0.014563,0.014901,0.017869,0.01844,0.017411,0.016886,0.018645
"Varaždinska","Varaždin",0.004052,0.004748,0.004724,0.004514,0.004266,0.004561,0.004195,0.003768,0.003815,0.003531,0.004113,0.004282,0.005687,0.008337,0.009687
"Virovitičko-podravska","Virovitica Podravina",0.012438,0.01252,0.010485,0.016412,0.011047,0.011818,0.012851,0.010666,0.014413,0.009445,0.009371,0.011215,0.010852,0.015409,0.021077
"Vukovarsko-srijemska","Vukovar Sirmium",0.013426,0.014515,0.014153,0.012345,0.012075,0.012857,0.012543,0.010856,0.012477,0.012907,0.012718,0.011026,0.015347,0.020883,0.02291
"Zadarska","Zadar",0.008778,0.010289,0.008581,0.00854,0.007511,0.008238,0.00926,0.009081,0.008297,0.006871,0.008601,0.008745,0.010356,0.014598,0.01646
"Zagrebačka","Zagreb",0.011167,0.012129,0.012643,0.012412,0.011427,0.012678,0.012104,0.011181,0.010687,0.01025,0.012182,0.011303,0.01327,0.016015,0.018072
