"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar Bilogora",-0.004968,-0.005468,-0.006484,-0.005603,-0.004894,-0.004922,-0.00559,-0.005066,-0.00559,-0.004671,-0.005492,-0.00542,-0.005412,-0.005262,-0.007402
"Brodsko-posavska","Slavonski Brod Posavina",-0.000686,-0.002171,-0.002273,-0.002344,-0.001417,-0.001641,-0.002209,-0.002092,-0.001382,-0.003059,-0.002167,-0.003005,-0.002597,-0.003537,-0.00537
"Dubrovačko-neretvanska","Dubrovnik Neretva",0.000844,-0.000323,-0.001354,0.000447,-4.2e-05,0.001034,0.00058,0.001144,0.001161,0.001134,-9.8e-05,-0.000384,-0.000507,0.000384,-0.000482
"Grad Zagreb","City of Zagreb",-0.001332,-0.001479,-0.001612,-0.000942,-0.001103,-0.000836,-0.000936,3.3e-05,0.000409,0.000415,1.9e-05,8.2e-05,-0.000133,0.000116,-0.000978
"Istarska","Istria",-0.002791,-0.00258,-0.003383,-0.002084,-0.002156,-0.001763,-0.001565,-0.000718,-0.001396,-0.002042,-0.001899,-0.002263,-0.001761,-0.001984,-0.003425
"Karlovačka","Karlovac",-0.006768,-0.00698,-0.007716,-0.007766,-0.007483,-0.006414,-0.006779,-0.006625,-0.007166,-0.006626,-0.007759,-0.007126,-0.006373,-0.007976,-0.008823
"Koprivničko-križevačka","Koprivnica Križevci",-0.004165,-0.004599,-0.005022,-0.005347,-0.003824,-0.004857,-0.004687,-0.004425,-0.004547,-0.004305,-0.004323,-0.004206,-0.003,-0.004521,-0.005483
"Krapinsko-zagorska","Krapina Zagorje",-0.005915,-0.005367,-0.006612,-0.005472,-0.004967,-0.005239,-0.00535,-0.005352,-0.005263,-0.004884,-0.005186,-0.005374,-0.005577,-0.005501,-0.00626
"Ličko-senjska","Lika Senj",-0.007483,-0.007603,-0.007779,-0.00696,-0.007303,-0.008506,-0.009135,-0.009481,-0.00744,-0.008122,-0.008817,-0.009871,-0.009035,-0.010725,-0.011189
"Međimurska","Međimurje",0.000956,-0.00064,-0.000202,-0.000281,-0.000158,-0.000667,-0.000132,0.000123,0.000395,0.000448,-9e-06,0.000141,-0.000229,5.3e-05,-0.000577
"Osječko-baranjska","Osijek Baranja",-0.001899,-0.002459,-0.003894,-0.00291,-0.002904,-0.00318,-0.004068,-0.003167,-0.002863,-0.003939,-0.003543,-0.003888,-0.003452,-0.004224,-0.005292
"Požeško-slavonska","Požega Slavonia",-0.00169,-0.001804,-0.002222,-0.002771,-0.001879,-0.003035,-0.003392,-0.002255,-0.003455,-0.003825,-0.004564,-0.003627,-0.004024,-0.00392,-0.005989
"Primorsko-goranska","Primorje Gorski kotar",-0.003511,-0.003932,-0.004134,-0.00299,-0.003588,-0.003311,-0.003782,-0.003081,-0.002745,-0.003414,-0.003426,-0.00382,-0.003454,-0.003948,-0.004937
"Republika Hrvatska","Republic of Croatia",-0.001991,-0.002435,-0.002999,-0.002195,-0.002157,-0.002072,-0.002426,-0.001949,-0.00182,-0.002034,-0.002295,-0.002329,-0.002455,-0.00266,-0.003973
"Sisačko-moslavačka","Sisak Moslavina",-0.004612,-0.005512,-0.005898,-0.005453,-0.005522,-0.005612,-0.006608,-0.005683,-0.005478,-0.006051,-0.006295,-0.004971,-0.006681,-0.006538,-0.00841
"Splitsko-dalmatinska","Split Dalmatia",0.000988,0.001246,5.2e-05,0.001679,0.000967,0.001307,0.000872,0.000418,0.000552,0.000809,-0.000169,0.000165,-0.000609,-0.000735,-0.002299
"Šibensko-kninska","Šibenik Knin",-0.002545,-0.003858,-0.004936,-0.004757,-0.00488,-0.005133,-0.004759,-0.004216,-0.004337,-0.004861,-0.004621,-0.004926,-0.005275,-0.005212,-0.007429
"Varaždinska","Varaždin",-0.002635,-0.00356,-0.004512,-0.002912,-0.002049,-0.002028,-0.00335,-0.003537,-0.00283,-0.003179,-0.003374,-0.003471,-0.00364,-0.003661,-0.0053
"Virovitičko-podravska","Virovitica Podravina",-0.003903,-0.00406,-0.004726,-0.004134,-0.004003,-0.004353,-0.004735,-0.004736,-0.004357,-0.004506,-0.005081,-0.004653,-0.004601,-0.004966,-0.005458
"Vukovarsko-srijemska","Vukovar Sirmium",-0.000273,-0.001603,-0.001847,-0.001117,-0.001511,-0.001577,-0.001904,-0.001882,-0.002196,-0.002876,-0.003191,-0.003114,-0.003797,-0.003569,-0.005685
"Zadarska","Zadar",0.000995,-0.000396,-0.001212,-0.000319,0.000475,0.000189,-0.00071,0,-0.000231,0.000148,-0.000165,-0.000719,-0.000577,-0.001738,-0.002962
"Zagrebačka","Zagreb",-0.001648,-0.001884,-0.001788,-0.001343,-0.001283,-0.000745,-0.000839,-0.00028,-0.000295,-0.000498,-0.000211,-0.000779,-0.001342,-0.001514,-0.003096
