"Županija","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska",21,0.000126,0.00023,0.00016,0.000153,0.000147,0.00014,0.000157,0.000134,9.3e-05,0.000111,9.5e-05,0.000123
"Brodsko-posavska",33,0.000128,0.00011,0.000154,0.000142,0.000254,0.000124,0.000107,0.000164,0.000108,8.3e-05,5.8e-05,6e-05
"Dubrovačko-neretvanska",24,0.000152,0.000159,0.000192,0.000141,0.000189,0.000147,0.000114,0.000147,7.4e-05,0.000139,5.7e-05,0.000114
"Istarska",35,0.000169,0.000182,0.000151,0.000174,0.000149,0.000158,0.00012,8.2e-05,0.00012,6.3e-05,9.1e-05,9.6e-05
"Karlovačka",32,0.000182,0.00014,0.000171,0.000187,0.000173,0.000145,0.000108,0.000125,0.000142,8e-05,0.000129,0.000148
"Koprivničko-križevačka",14,0.000176,0.000134,0.000135,8.5e-05,0.000111,0.000137,6.9e-05,7.8e-05,8.7e-05,3.5e-05,6.2e-05,8e-05
"Krapinsko-zagorska",21,0.000124,9.5e-05,0.000132,0.000118,0.000141,0.000142,9.8e-05,7.5e-05,8.4e-05,0.000122,8.5e-05,6.2e-05
"Ličko-senjska",28,0.000271,0.000201,0.000259,0.000336,0.000302,0.000268,0.000253,0.000296,4e-04,0.000223,0.000144,0.000231
"Međimurska",18,0.000123,9.6e-05,0.000149,0.000114,9.7e-05,0.000132,7.9e-05,7.9e-05,5.3e-05,7.9e-05,6.2e-05,5.3e-05
"Osječko-baranjska",65,0.000104,0.000127,0.000131,0.000141,0.000116,0.00012,8.8e-05,7.9e-05,8.9e-05,9e-05,4e-05,0.000112
"Požeško-slavonska",6,9.7e-05,6.1e-05,0.000123,0.000124,0.00015,8.8e-05,0.000114,5.1e-05,0.000117,0.000106,5.3e-05,5.4e-05
"Primorsko-goranska",38,0.000145,0.000118,0.000124,0.000161,0.000118,0.000124,0.000118,0.000111,7.8e-05,8.5e-05,8.5e-05,5.5e-05
"Republika Hrvatska",633,0.000125,0.000123,0.000128,0.000127,0.000136,0.000115,9.4e-05,9e-05,8.3e-05,7.7e-05,6.7e-05,7.5e-05
"Sisačko-moslavačka",34,0.000118,0.000119,0.000126,0.000133,0.000167,0.00013,8e-05,7e-05,7.1e-05,9.6e-05,9.8e-05,8.1e-05
"Splitsko-dalmatinska",55,0.000139,0.000125,8.9e-05,0.000121,0.000121,9.2e-05,5.7e-05,7e-05,5.5e-05,6.6e-05,5.5e-05,6.8e-05
"Šibensko-kninska",21,0.000226,0.000189,0.000171,0.000161,0.000179,0.000153,1e-04,0.000147,0.000186,0.000103,0.000161,0.000134
"Varaždinska",31,0.000101,6.2e-05,0.000146,7.9e-05,0.000147,8.5e-05,8.5e-05,6.3e-05,5.1e-05,8e-05,6.3e-05,5.8e-05
"Virovitičko-podravska",18,0.000111,0.000168,0.00018,0.000102,0.000264,0.000208,0.000176,0.000142,0.000119,0.000108,0.000122,8.7e-05
"Vukovarsko-srijemska",27,0.000118,0.000108,0.00013,0.00013,0.000163,0.000131,8.8e-05,8.4e-05,7.3e-05,0.000108,5.2e-05,0.000106
"Zadarska",21,0.000188,0.000173,0.000195,0.000157,0.000143,0.000119,0.000112,0.000112,0.000111,4.7e-05,9.9e-05,0.000123
"Zagrebačka",91,0.000282,0.000338,0.00031,0.000317,0.000315,0.00026,0.000262,0.000224,0.000192,0.000173,0.000138,0.00013
