"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.004474,0.004506,0.004548,0.004504,0.004539,0.00458,0.00463,0.004268,0.004309,0.004362,0.00393
"Brodsko-posavska","Slavonski Brod-Posavina",0.002791,0.002797,0.002851,0.002828,0.00285,0.00287,0.002894,0.002833,0.002853,0.002888,0.00296
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.004598,0.004571,0.004567,0.004658,0.004726,0.004674,0.004777,0.004545,0.004648,0.004748,0.004743
"Grad Zagreb","City of Zagreb",0.001508,0.001499,0.0015,0.001543,0.001542,0.001537,0.001532,0.000141,0.000141,0.000134,0.000139
"Istarska","Istria",0.003199,0.003258,0.003232,0.003193,0.003186,0.003183,0.003211,0.003019,0.003017,0.003007,0.003002
"Karlovačka","Karlovac",0.0033,0.003426,0.003457,0.00355,0.003583,0.003625,0.003666,0.003252,0.003302,0.003368,0.003423
"Koprivničko-križevačka","Koprivnica-Križevci",0.005648,0.005626,0.005655,0.005491,0.005515,0.005545,0.005579,0.005381,0.00544,0.005471,0.005331
"Krapinsko-zagorska","Krapina-Zagorje",0.005561,0.005578,0.005713,0.005739,0.005763,0.00586,0.005887,0.005807,0.00599,0.006078,0.00616
"Ličko-senjska","Lika-Senj",0.006498,0.006989,0.00708,0.007177,0.007268,0.007384,0.007476,0.006788,0.006827,0.006924,0.007075
"Međimurska","Međimurje",0.006627,0.006614,0.006704,0.007684,0.007672,0.007721,0.007719,0.006825,0.006842,0.007052,0.007062
"Osječko-baranjska","Osijek-Baranja",0.001234,0.001239,0.001277,0.001333,0.001368,0.001371,0.001379,0.001308,0.001316,0.001331,0.001349
"Požeško-slavonska","Požega-Slavonia",0.004845,0.004878,0.004915,0.004996,0.005038,0.005198,0.005259,0.004931,0.004987,0.005054,0.005172
"Primorsko-goranska","Primorje-Gorski kotar",0.001405,0.001453,0.001466,0.001502,0.0015,0.001506,0.00151,0.001446,0.001459,0.001464,0.001474
"Republika Hrvatska","Republic of Croatia",0.000116,0.000118,0.000119,0.00012,0.00012,0.000121,0.000121,0.000111,0.000111,0.000112,0.000112
"Sisačko-moslavačka","Sisak-Moslavina",0.002507,0.002519,0.002547,0.002401,0.002431,0.002466,0.002504,0.002367,0.002401,0.002397,0.00247
"Splitsko-dalmatinska","Split-Dalmatia",0.001217,0.001223,0.001241,0.001295,0.001289,0.001284,0.001291,0.00126,0.001269,0.001276,0.001278
"Šibensko-kninska","Šibenik-Knin",0.003635,0.003767,0.003791,0.003893,0.003879,0.003927,0.003961,0.00355,0.003595,0.00362,0.003662
"Varaždinska","Varaždin",0.005102,0.00519,0.005344,0.005348,0.005365,0.005367,0.005445,0.005173,0.005326,0.005408,0.005457
"Virovitičko-podravska","Virovitica-Podravina",0.005042,0.005074,0.005179,0.004989,0.005028,0.004869,0.004975,0.005047,0.005095,0.005148,0.005247
"Vukovarsko-srijemska","Vukovar-Sirmium",0.00222,0.002226,0.002251,0.002246,0.002251,0.002285,0.002319,0.002174,0.002194,0.002231,0.002287
"Zadarska","Zadar",0.002855,0.002937,0.002938,0.003023,0.003005,0.003022,0.003032,0.002878,0.002867,0.002858,0.00288
"Zagrebačka","Zagreb",0.002303,0.001987,0.001985,0.001973,0.002009,0.001991,0.001996,0.001634,0.00165,0.001576,0.00169
