"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brodsko-posavska","Slavonski Brod-Posavina",NA,NA,0.000759,0.000761,0.000772,0.000777,0.000784,0.000789,0.000795,0.000805,0.000821
"Dubrovačko-neretvanska","Dubrovnik-Neretva",NA,NA,NA,NA,NA,NA,NA,NA,0.000155,0.000155,0.000155
"Grad Zagreb","City of Zagreb",NA,NA,5.9e-05,5.9e-05,5.6e-05,5.6e-05,5.6e-05,5.5e-05,5.5e-05,5.5e-05,5.8e-05
"Istarska","Istria",NA,NA,0.000611,0.000607,0.000604,0.000604,0.000606,0.000607,0.000606,0.000605,0.000605
"Karlovačka","Karlovac",NA,NA,0.000621,0.000626,0.000631,0.000639,0.000646,0.000654,0.00066,0.000669,0.000681
"Koprivničko-križevačka","Koprivnica-Križevci",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Krapinsko-zagorska","Krapina-Zagorje",NA,NA,0.000274,0.000275,0.000284,0.000293,0.000294,0.000296,0.000298,3e-04,0.000303
"Ličko-senjska","Lika-Senj",NA,NA,0.002204,0.002229,0.002257,0.002293,0.002328,0.002363,0.00239,0.002424,0.002477
"Međimurska","Međimurje",NA,NA,0.000176,0.000193,0.000193,0.000193,0.000193,0.000194,0.000194,0.000194,0.000195
"Osječko-baranjska","Osijek-Baranja",NA,NA,3.2e-05,3.2e-05,0.00014,0.00014,0.000141,0.000142,0.000143,0.000144,0.000146
"Požeško-slavonska","Požega-Slavonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Primorsko-goranska","Primorje-Gorski kotar",NA,NA,0.000427,0.000427,0.000431,0.000431,0.000432,0.000433,0.000465,0.00047,0.000473
"Republika Hrvatska","Republic of Croatia",NA,NA,0.000268,0.000278,0.000289,0.00029,0.000293,0.000294,0.000303,0.000304,0.000312
"Sisačko-moslavačka","Sisak-Moslavina",NA,NA,0.000354,0.000357,0.000362,0.000367,0.000373,0.000378,0.000383,0.00039,0.000462
"Splitsko-dalmatinska","Split-Dalmatia",NA,NA,0.000163,0.000253,0.000253,0.000253,0.000273,0.000273,0.000288,0.000288,0.000289
"Šibensko-kninska","Šibenik-Knin",NA,NA,0.000385,0.000386,0.000386,0.00039,0.000394,4e-04,0.000404,0.000407,0.000412
"Varaždinska","Varaždin",NA,NA,0.000253,0.000254,0.000255,0.000255,0.000256,0.000257,0.000258,0.000259,0.000262
"Virovitičko-podravska","Virovitica-Podravina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vukovarsko-srijemska","Vukovar-Sirmium",NA,NA,0.000271,0.000272,0.000273,0.000276,0.000279,0.000282,0.000284,0.000288,0.000295
"Zadarska","Zadar",NA,NA,0.000446,0.000441,0.000439,0.000437,0.000435,0.000433,0.000431,0.000432,0.000435
"Zagrebačka","Zagreb",NA,NA,0.000371,0.000369,0.000406,0.000404,0.000403,0.000402,0.000401,0.000402,0.000427
