"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.004466,0.004506,0.004548,0.004601,0.004638,0.004679,0.00473,0.004598,0.004643,0.0047,0.004457
"Brodsko-posavska","Slavonski Brod-Posavina",0.002963,0.002969,0.002981,0.002952,0.002975,0.00299,0.003014,0.002852,0.002873,0.002901,0.002967
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.002182,0.002169,0.002155,0.002255,0.002347,0.002235,0.002393,0.002232,0.002242,0.002305,0.002306
"Grad Zagreb","City of Zagreb",0.000394,0.000392,0.000392,0.000401,0.000404,0.000402,0.000401,NA,NA,NA,NA
"Istarska","Istria",0.003475,0.003448,0.003421,0.003284,0.003272,0.003269,0.003336,0.0031,0.002993,0.002973,0.002983
"Karlovačka","Karlovac",0.004013,0.004049,0.004085,0.004424,0.00445,0.004502,0.004553,0.003961,0.00393,0.003996,0.004054
"Koprivničko-križevačka","Koprivnica-Križevci",0.003454,0.003472,0.00349,0.003411,0.003425,0.003444,0.003465,0.003178,0.003192,0.003211,0.003231
"Krapinsko-zagorska","Krapina-Zagorje",0.003397,0.003407,0.003426,0.003305,0.003322,0.003339,0.003354,0.003295,0.003109,0.003132,0.003157
"Ličko-senjska","Lika-Senj",0.009482,0.009578,0.009677,0.010859,0.010997,0.011173,0.011342,0.010312,0.010149,0.010294,0.010224
"Međimurska","Međimurje",0.002279,0.002281,0.002285,0.002339,0.002338,0.002345,0.002347,0.001955,0.00179,0.001794,0.001794
"Osječko-baranjska","Osijek-Baranja",0.00198,0.001992,0.002007,0.002148,0.002158,0.002174,0.002187,0.002144,0.002163,0.002183,0.002213
"Požeško-slavonska","Požega-Slavonia",0.002636,0.002654,0.002674,0.002915,0.002928,0.002974,0.003009,0.002622,0.002652,0.00268,0.002736
"Primorsko-goranska","Primorje-Gorski kotar",0.001981,0.001978,0.001977,0.002006,0.002008,0.002019,0.002024,0.00193,0.001931,0.001943,0.001948
"Republika Hrvatska","Republic of Croatia",0.002446,0.002446,0.002446,0.00253,0.002541,0.002546,0.002562,0.002299,0.002284,0.002272,0.002293
"Sisačko-moslavačka","Sisak-Moslavina",0.004412,0.004454,0.004503,0.004567,0.004625,0.004691,0.004763,0.004233,0.004292,0.004074,0.004167
"Splitsko-dalmatinska","Split-Dalmatia",0.001739,0.001728,0.001722,0.001881,0.001878,0.001878,0.001878,0.001825,0.001825,0.001797,0.00179
"Šibensko-kninska","Šibenik-Knin",0.004149,0.004135,0.004123,0.004216,0.00422,0.004263,0.004309,0.004108,0.004149,0.004198,0.004247
"Varaždinska","Varaždin",0.002408,0.00241,0.002416,0.002668,0.002677,0.002681,0.002691,0.002495,0.002551,0.002548,0.002572
"Virovitičko-podravska","Virovitica-Podravina",0.004003,0.004037,0.004075,0.004255,0.004288,0.004342,0.004384,0.00439,0.004432,0.004479,0.004528
"Vukovarsko-srijemska","Vukovar-Sirmium",0.002505,0.002517,0.002528,0.002605,0.002617,0.002644,0.002677,0.002461,0.002484,0.002514,0.002576
"Zadarska","Zadar",0.003046,0.00301,0.002974,0.003142,0.003123,0.003117,0.003102,0.003089,0.003077,0.003289,0.003326
"Zagrebačka","Zagreb",0.002592,0.002578,0.002555,0.002651,0.002704,0.002704,0.002702,0.002152,0.002126,0.001897,0.002142
