"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",NA,0.034633,0.03708,0.039069,0.040885,0.043674,0.046464,0.050567,0.051001,0.05173,0.052358,0.053547,0.054566,0.05561
"Brodsko-posavska","Slavonski Brod-Posavina",NA,0.026974,0.029603,0.03087,0.032092,0.033713,0.035716,0.038514,0.039924,0.040343,0.041409,0.042321,0.043281,0.043555
"Dubrovačko-neretvanska","Dubrovnik-Neretva",NA,0.040724,0.044711,0.048266,0.050155,0.053057,0.055899,0.059919,0.060405,0.060801,0.061696,0.062344,0.062694,0.063888
"Grad Zagreb","City of Zagreb",NA,0.008121,0.008681,0.009212,0.009635,0.010346,0.01106,0.011707,0.011859,0.01189,0.012005,0.012068,0.012186,0.012151
"Istarska","Istria",NA,0.026735,0.028128,0.029343,0.030627,0.031995,0.033331,0.035295,0.035703,0.03584,0.036197,0.036987,0.037263,0.037315
"Karlovačka","Karlovac",NA,0.034534,0.037068,0.040128,0.042265,0.044601,0.047574,0.052188,0.05502,0.055516,0.057154,0.058608,0.058733,0.059069
"Koprivničko-križevačka","Koprivnica-Križevci",NA,0.039605,0.042676,0.04521,0.047057,0.050403,0.052568,0.055788,0.058331,0.058937,0.059953,0.061151,0.062293,0.062478
"Krapinsko-zagorska","Krapina-Zagorje",NA,0.030951,0.033801,0.035,0.03661,0.038962,0.042408,0.046102,0.047199,0.047687,0.049076,0.049585,0.050078,0.050805
"Ličko-senjska","Lika-Senj",NA,0.092953,0.104511,0.098418,0.100491,0.106801,0.115993,0.125911,0.12904,0.132131,0.138016,0.136278,0.142128,0.141648
"Međimurska","Međimurje",NA,0.036051,0.038536,0.041246,0.041445,0.044454,0.046659,0.050823,0.051867,0.051585,0.052758,0.05354,0.053934,0.055117
"Osječko-baranjska","Osijek-Baranja",NA,0.014326,0.015391,0.016133,0.017079,0.017949,0.019513,0.021002,0.02155,0.021821,0.022316,0.023009,0.023442,0.023412
"Požeško-slavonska","Požega-Slavonia",NA,0.053903,0.057665,0.060072,0.062116,0.066119,0.070082,0.077021,0.080477,0.080589,0.084539,0.087709,0.086727,0.085757
"Primorsko-goranska","Primorje-Gorski kotar",NA,0.01788,0.018905,0.019992,0.020998,0.021963,0.023224,0.025071,0.025511,0.025471,0.025902,0.026305,0.026688,0.026813
"Republika Hrvatska","Republic of Croatia",NA,0.001216,0.001301,0.001374,0.001437,0.001525,0.001623,0.001742,0.001778,0.001787,0.001816,0.001843,0.001862,0.001876
"Sisačko-moslavačka","Sisak-Moslavina",NA,0.025698,0.027558,0.028817,0.030535,0.033176,0.03526,0.038403,0.040214,0.040279,0.041543,0.042349,0.042709,0.043409
"Splitsko-dalmatinska","Split-Dalmatia",NA,0.011425,0.012115,0.012646,0.013117,0.013782,0.014707,0.015607,0.015747,0.015846,0.015983,0.016212,0.016199,0.016284
"Šibensko-kninska","Šibenik-Knin",NA,0.044818,0.047064,0.049801,0.050635,0.053391,0.056785,0.062052,0.063129,0.06392,0.065975,0.065152,0.066867,0.06725
"Varaždinska","Varaždin",NA,0.024151,0.025948,0.027371,0.02862,0.030117,0.031678,0.034163,0.03436,0.034276,0.034881,0.03457,0.035073,0.035335
"Virovitičko-podravska","Virovitica-Podravina",NA,0.047135,0.051635,0.053571,0.055367,0.059428,0.062876,0.067916,0.069416,0.071123,0.073882,0.075662,0.077359,0.076629
"Vukovarsko-srijemska","Vukovar-Sirmium",NA,0.024272,0.02612,0.027406,0.028446,0.029782,0.031497,0.033911,0.034454,0.035214,0.036455,0.03698,0.037162,0.037436
"Zadarska","Zadar",NA,0.03214,0.034451,0.036068,0.037137,0.037558,0.039371,0.041964,0.042541,0.042394,0.043023,0.043035,0.043976,0.043141
"Zagrebačka","Zagreb",NA,0.016409,0.017538,0.018514,0.019256,0.020066,0.021093,0.022713,0.023137,0.022924,0.022211,0.023332,0.023078,0.024286
