"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.024006,0.025069,0.027061,0.028383,0.029779,0.031437,0.033176,0.036005,0.036447,0.037253,0.037991,0.038846,0.039552,0.04036
"Brodsko-posavska","Slavonski Brod-Posavina",0.019176,0.019598,0.021722,0.022456,0.023472,0.024473,0.02568,0.027623,0.028622,0.029137,0.030085,0.030811,0.031336,0.031509
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.029223,0.029868,0.032061,0.034167,0.035629,0.037376,0.038874,0.0416,0.042148,0.042742,0.043673,0.043944,0.044248,0.045082
"Grad Zagreb","City of Zagreb",0.005202,0.005437,0.005874,0.006198,0.006511,0.006884,0.00729,0.007713,0.007841,0.00792,0.008045,0.008027,0.008092,0.00808
"Istarska","Istria",0.017862,0.018702,0.019908,0.020652,0.02165,0.022447,0.023214,0.024589,0.024952,0.025256,0.025708,0.02605,0.026257,0.026239
"Karlovačka","Karlovac",0.023261,0.024686,0.026656,0.028706,0.030321,0.031758,0.033552,0.036752,0.03862,0.039394,0.04085,0.041757,0.041969,0.042263
"Koprivničko-križevačka","Koprivnica-Križevci",0.026543,0.028272,0.030778,0.032341,0.033937,0.035858,0.03714,0.039519,0.041428,0.041967,0.043189,0.044033,0.044741,0.044939
"Krapinsko-zagorska","Krapina-Zagorje",0.021514,0.022269,0.024718,0.025306,0.026647,0.02816,0.030235,0.032836,0.033584,0.03413,0.035456,0.035761,0.036098,0.036471
"Ličko-senjska","Lika-Senj",0.059168,0.067176,0.074521,0.071373,0.073345,0.077512,0.083338,0.090217,0.092587,0.095659,0.1004,0.099055,0.102524,0.102774
"Međimurska","Međimurje",0.024738,0.026099,0.028242,0.030001,0.030356,0.032113,0.033452,0.036335,0.037086,0.037338,0.038507,0.039124,0.039324,0.040235
"Osječko-baranjska","Osijek-Baranja",0.010037,0.010362,0.011154,0.011619,0.012316,0.012879,0.013857,0.014879,0.015295,0.015581,0.016064,0.016552,0.016867,0.016844
"Požeško-slavonska","Požega-Slavonia",0.037487,0.039266,0.042123,0.043933,0.045385,0.047934,0.050608,0.055529,0.057835,0.058526,0.061639,0.063913,0.063284,0.062754
"Primorsko-goranska","Primorje-Gorski kotar",0.012019,0.012562,0.013475,0.014111,0.014873,0.015446,0.016215,0.017445,0.017778,0.017902,0.018304,0.018503,0.018724,0.018849
"Republika Hrvatska","Republic of Croatia",0.000815,0.000851,0.000918,0.000962,0.00101,0.00106,0.001118,0.001198,0.001224,0.001241,0.001268,0.001282,0.001294,0.001305
"Sisačko-moslavačka","Sisak-Moslavina",0.017826,0.018683,0.020073,0.02087,0.022133,0.023744,0.025088,0.027115,0.028432,0.028757,0.029902,0.030334,0.030646,0.03123
"Splitsko-dalmatinska","Split-Dalmatia",0.00802,0.008087,0.008673,0.008986,0.009355,0.009736,0.010282,0.010894,0.010999,0.011189,0.011371,0.01148,0.011469,0.01157
"Šibensko-kninska","Šibenik-Knin",0.030123,0.032263,0.03406,0.035332,0.036502,0.038063,0.040097,0.043852,0.044561,0.045628,0.047418,0.046861,0.048057,0.048497
"Varaždinska","Varaždin",0.016682,0.017243,0.018675,0.019619,0.020628,0.02154,0.022444,0.024212,0.024439,0.024625,0.025163,0.024973,0.025391,0.025598
"Virovitičko-podravska","Virovitica-Podravina",0.032825,0.03432,0.038017,0.039236,0.040686,0.043336,0.04537,0.048936,0.050265,0.051672,0.053923,0.055261,0.056318,0.055975
"Vukovarsko-srijemska","Vukovar-Sirmium",0.017032,0.017948,0.019287,0.020076,0.020924,0.021641,0.022801,0.02448,0.024927,0.025559,0.026531,0.027052,0.027278,0.027525
"Zadarska","Zadar",0.022371,0.0232,0.025004,0.025857,0.026684,0.02695,0.028052,0.029789,0.030255,0.030323,0.03102,0.030815,0.03126,0.030788
"Zagrebačka","Zagreb",0.010989,0.011538,0.012455,0.013044,0.013623,0.014091,0.014676,0.015787,0.016015,0.016043,0.015567,0.016368,0.0162,0.016922
