"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.109381,0.119752,0.100813,0.091825,0.098104,0.099265,0.09624,0.08917,0.095428,0.109929,0.107034,0.107416,0.112775,0.118197
"Brodsko-posavska","Slavonski Brod-Posavina",0.115096,0.125233,0.111232,0.100509,0.102006,0.099486,0.094452,0.084273,0.087553,0.104979,0.112266,0.114587,0.122772,0.12592
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.096225,0.103015,0.089363,0.081377,0.077326,0.07179,0.071995,0.061112,0.061214,0.070435,0.072549,0.073518,0.079274,0.084124
"Grad Zagreb","City of Zagreb",0.065669,0.069942,0.057091,0.051156,0.052952,0.050282,0.043978,0.035509,0.036299,0.047336,0.052335,0.052794,0.059151,0.060423
"Istarska","Istria",0.064915,0.065634,0.041745,0.037965,0.038403,0.037543,0.036369,0.031043,0.037248,0.04664,0.048941,0.046211,0.052966,0.053765
"Karlovačka","Karlovac",0.118408,0.122888,0.111775,0.097583,0.103576,0.101473,0.095462,0.086483,0.088376,0.098442,0.093124,0.095065,0.097726,0.095741
"Koprivničko-križevačka","Koprivnica-Križevci",0.07172,0.08399,0.071043,0.068505,0.071875,0.066402,0.063097,0.053656,0.052843,0.066704,0.066563,0.072619,0.084288,0.084855
"Krapinsko-zagorska","Krapina-Zagorje",0.063629,0.068684,0.053905,0.042744,0.047219,0.044709,0.038982,0.030819,0.036749,0.051416,0.05748,0.062611,0.067833,0.067702
"Ličko-senjska","Lika-Senj",0.076396,0.088699,0.06745,0.061575,0.072705,0.070744,0.071251,0.061889,0.062866,0.071409,0.073555,0.06932,0.078417,0.086398
"Međimurska","Međimurje",0.069988,0.076439,0.067032,0.06601,0.065191,0.061953,0.055876,0.046243,0.050109,0.06346,0.06453,0.06843,0.072502,0.071687
"Osječko-baranjska","Osijek-Baranja",0.111987,0.121701,0.112614,0.107086,0.109063,0.103319,0.097162,0.088703,0.093169,0.111078,0.114021,0.117919,0.127001,0.134803
"Požeško-slavonska","Požega-Slavonia",0.090049,0.097739,0.081311,0.071799,0.073965,0.070936,0.068893,0.06278,0.068792,0.077234,0.082816,0.087748,0.097624,0.102252
"Primorsko-goranska","Primorje-Gorski kotar",0.084126,0.080776,0.065754,0.063849,0.064406,0.059163,0.055425,0.048217,0.051043,0.064536,0.067283,0.066333,0.071536,0.074126
"Republika Hrvatska","Republic of Croatia",0.090414,0.096545,0.082681,0.075556,0.076336,0.072211,0.067663,0.059283,0.062075,0.074185,0.077122,0.079643,0.086604,0.088917
"Sisačko-moslavačka","Sisak-Moslavina",0.103761,0.118342,0.10723,0.102133,0.10651,0.102037,0.094127,0.088647,0.096287,0.109349,0.110601,0.120145,0.12732,0.133167
"Splitsko-dalmatinska","Split-Dalmatia",0.11478,0.118504,0.105213,0.09645,0.093562,0.087533,0.085314,0.076391,0.076686,0.089668,0.094505,0.10194,0.110136,0.113187
"Šibensko-kninska","Šibenik-Knin",0.130409,0.140355,0.122982,0.109956,0.100044,0.088963,0.082291,0.068411,0.070572,0.077552,0.076958,0.081723,0.086287,0.089565
"Varaždinska","Varaždin",0.069092,0.072774,0.062489,0.060718,0.060676,0.055364,0.047861,0.04034,0.045199,0.056283,0.059555,0.061547,0.067773,0.062806
"Virovitičko-podravska","Virovitica-Podravina",0.107706,0.127353,0.119822,0.112642,0.115418,0.114762,0.109372,0.096564,0.100333,0.110705,0.118481,0.12948,0.133496,0.140978
"Vukovarsko-srijemska","Vukovar-Sirmium",0.122286,0.131316,0.11792,0.114489,0.11332,0.106719,0.102798,0.096097,0.09957,0.110385,0.112462,0.115388,0.127822,0.134639
"Zadarska","Zadar",0.107965,0.112553,0.095415,0.081495,0.077757,0.071235,0.070645,0.061807,0.064392,0.0712,0.069948,0.069931,0.073621,0.073964
"Zagrebačka","Zagreb",0.067012,0.073234,0.057441,0.045004,0.046359,0.043584,0.039579,0.032414,0.035625,0.049034,0.053017,0.054193,0.063697,0.064433
