"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.000223,0.000243,0.000214,0.000193,0.000207,0.000208,0.000201,0.000188,0.000205,0.000243,0.000241,0.000246,0.000258,0.000277
"Brodsko-posavska","Slavonski Brod-Posavina",0.000209,0.000221,0.000207,0.000184,0.00019,0.000182,0.00017,0.000153,0.000163,2e-04,0.000214,0.000221,0.000237,0.000247
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.000212,0.000223,0.000203,0.000177,0.000167,0.000153,0.000148,0.000126,0.000127,0.000146,0.000153,0.000156,0.000167,0.000176
"Grad Zagreb","City of Zagreb",1.7e-05,1.8e-05,1.5e-05,1.2e-05,1.3e-05,1.2e-05,1e-05,8e-06,8e-06,1.1e-05,1.2e-05,1.2e-05,1.4e-05,1.4e-05
"Istarska","Istria",7.6e-05,7.5e-05,5e-05,4.4e-05,4.3e-05,4.1e-05,3.9e-05,3.2e-05,4e-05,5.1e-05,5.5e-05,5.2e-05,6.1e-05,6.2e-05
"Karlovačka","Karlovac",0.000236,0.000237,0.000226,0.000193,2e-04,0.000194,0.00018,0.000164,0.000175,2e-04,0.000195,0.000202,0.000208,0.000206
"Koprivničko-križevačka","Koprivnica-Križevci",0.000152,0.000174,0.000158,0.000147,0.000156,0.000143,0.000137,0.000119,0.000122,0.00016,0.000162,0.000178,0.000209,0.000215
"Krapinsko-zagorska","Krapina-Zagorje",0.000139,0.000148,0.000121,9.8e-05,0.000109,0.000103,9e-05,7.2e-05,8.7e-05,0.000123,0.000137,0.00015,0.000162,0.000162
"Ličko-senjska","Lika-Senj",0.000501,0.000559,0.000401,0.000332,0.000412,0.000408,0.000411,0.000356,0.000362,0.000418,0.000439,0.000418,0.000465,0.000505
"Međimurska","Međimurje",0.000167,0.000174,0.000153,0.000148,0.000149,0.000139,0.000123,0.000102,0.000112,0.000146,0.000147,0.000158,0.000165,0.000165
"Osječko-baranjska","Osijek-Baranja",9.7e-05,0.000102,9.6e-05,8.8e-05,8.9e-05,8.3e-05,7.8e-05,7.1e-05,7.6e-05,9.2e-05,9.4e-05,9.7e-05,0.000107,0.000115
"Požeško-slavonska","Požega-Slavonia",0.000334,0.000355,0.000308,0.000261,0.000266,0.000267,0.000261,0.000241,0.00027,0.00031,0.000337,0.00036,0.000402,0.000419
"Primorsko-goranska","Primorje-Gorski kotar",6.7e-05,6.4e-05,5.3e-05,4.9e-05,4.9e-05,4.5e-05,4.1e-05,3.6e-05,3.9e-05,5e-05,5.3e-05,5.3e-05,5.8e-05,6.1e-05
"Republika Hrvatska","Republic of Croatia",5e-06,5e-06,5e-06,4e-06,4e-06,4e-06,4e-06,3e-06,4e-06,4e-06,4e-06,5e-06,5e-06,5e-06
"Sisačko-moslavačka","Sisak-Moslavina",0.00017,0.000186,0.000174,0.00016,0.000165,0.000158,0.000145,0.000139,0.000155,0.000176,0.00018,0.000196,0.000208,0.000221
"Splitsko-dalmatinska","Split-Dalmatia",6.9e-05,7e-05,6.2e-05,5.4e-05,5.3e-05,4.9e-05,4.7e-05,4.2e-05,4.3e-05,5e-05,5.3e-05,5.7e-05,6.1e-05,6.3e-05
"Šibensko-kninska","Šibenik-Knin",0.000352,0.000359,0.000326,0.000285,0.00026,0.000225,0.000211,0.000176,0.000185,0.000211,0.000214,0.000223,0.000233,0.000242
"Varaždinska","Varaždin",9.8e-05,0.000101,8.8e-05,8.4e-05,8.4e-05,7.6e-05,6.5e-05,5.5e-05,6.3e-05,8e-05,8.5e-05,8.8e-05,9.7e-05,9.1e-05
"Virovitičko-podravska","Virovitica-Podravina",0.000312,0.00036,0.000356,0.000331,0.000341,0.000342,0.000327,0.000296,0.000316,0.000356,0.000384,0.000422,0.000436,0.000464
"Vukovarsko-srijemska","Vukovar-Sirmium",0.000211,0.000215,2e-04,0.000183,0.00018,0.000169,0.000159,0.000149,0.000157,0.000176,0.00018,0.000186,0.000204,0.000219
"Zadarska","Zadar",0.000208,0.000211,0.000182,0.000148,0.000138,0.000127,0.000121,0.000106,0.000111,0.000125,0.000124,0.000124,0.000131,0.000131
"Zagrebačka","Zagreb",7.7e-05,8.2e-05,6.6e-05,5e-05,5e-05,4.6e-05,4.1e-05,3.4e-05,3.7e-05,5.1e-05,5.7e-05,5.8e-05,6.7e-05,6.9e-05
