"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.035698,0.036548,0.038542,0.040684,0.040973,0.042322,0.043055,0.043392,0.042152,0.037087,0.037816,0.035932,0.035406,0.034059
"Brodsko-posavska","Slavonski Brod-Posavina",0.049281,0.050932,0.053184,0.053871,0.054859,0.05764,0.059341,0.060629,0.056746,0.047463,0.043071,0.041525,0.040697,0.039369
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.048211,0.049441,0.051929,0.05361,0.055349,0.056293,0.056404,0.058018,0.061402,0.058729,0.057719,0.056688,0.056065,0.054522
"Grad Zagreb","City of Zagreb",0.05652,0.057722,0.05958,0.060672,0.060945,0.06146,0.060733,0.059664,0.056823,0.051333,0.047249,0.04467,0.042569,0.039479
"Istarska","Istria",0.077823,0.08252,0.087238,0.091134,0.093112,0.09573,0.097463,0.096754,0.093408,0.086276,0.080734,0.078654,0.07661,0.073588
"Karlovačka","Karlovac",0.044506,0.047552,0.050363,0.0542,0.055629,0.054833,0.055947,0.056115,0.054275,0.050476,0.047979,0.045875,0.044388,0.043697
"Koprivničko-križevačka","Koprivnica-Križevci",0.035605,0.036486,0.039051,0.04188,0.043199,0.045293,0.045249,0.0449,0.042456,0.038092,0.036552,0.034986,0.033644,0.031789
"Krapinsko-zagorska","Krapina-Zagorje",0.054692,0.058167,0.062254,0.06637,0.068269,0.068704,0.069039,0.069246,0.06719,0.060052,0.055128,0.053988,0.05182,0.051221
"Ličko-senjska","Lika-Senj",0.033541,0.038358,0.043679,0.047401,0.051398,0.054954,0.05653,0.061152,0.06124,0.054737,0.052429,0.05182,0.049064,0.046394
"Međimurska","Međimurje",0.048643,0.050813,0.053941,0.056931,0.056075,0.055664,0.056403,0.056071,0.053176,0.046245,0.042419,0.04085,0.038733,0.03693
"Osječko-baranjska","Osijek-Baranja",0.032162,0.035504,0.038552,0.041383,0.042174,0.043068,0.043561,0.044117,0.042186,0.037784,0.037361,0.036515,0.036033,0.034344
"Požeško-slavonska","Požega-Slavonia",0.034646,0.035767,0.03978,0.040445,0.042956,0.045317,0.046016,0.047306,0.045509,0.041051,0.03964,0.038277,0.037638,0.037511
"Primorsko-goranska","Primorje-Gorski kotar",0.062937,0.067094,0.070056,0.072349,0.073177,0.073533,0.072745,0.07271,0.072164,0.066825,0.063175,0.06063,0.060213,0.056584
"Republika Hrvatska","Republic of Croatia",0.048311,0.051166,0.054305,0.05684,0.058092,0.059384,0.059741,0.060013,0.058488,0.053025,0.049998,0.048054,0.046623,0.0448
"Sisačko-moslavačka","Sisak-Moslavina",0.029388,0.033855,0.037165,0.039497,0.039977,0.041302,0.042177,0.042411,0.042335,0.037302,0.035277,0.034443,0.033466,0.033359
"Splitsko-dalmatinska","Split-Dalmatia",0.052457,0.054236,0.057801,0.060427,0.061946,0.063982,0.064916,0.065479,0.066235,0.060839,0.057845,0.055179,0.053718,0.053571
"Šibensko-kninska","Šibenik-Knin",0.036086,0.043329,0.048323,0.05274,0.057589,0.059719,0.056839,0.058894,0.058065,0.053473,0.049582,0.048961,0.048564,0.047758
"Varaždinska","Varaždin",0.045453,0.048596,0.052276,0.055789,0.057286,0.058251,0.059646,0.059757,0.057192,0.051534,0.049798,0.047696,0.046459,0.045274
"Virovitičko-podravska","Virovitica-Podravina",0.034999,0.036618,0.039556,0.043348,0.045807,0.045535,0.046269,0.047697,0.047063,0.043772,0.042117,0.040265,0.040901,0.041321
"Vukovarsko-srijemska","Vukovar-Sirmium",0.036493,0.042373,0.045422,0.048129,0.049633,0.051898,0.052253,0.053468,0.051388,0.047149,0.043993,0.041322,0.039026,0.03701
"Zadarska","Zadar",0.049927,0.055448,0.061425,0.064484,0.066966,0.06898,0.070741,0.07096,0.070413,0.064069,0.060924,0.058957,0.057024,0.054718
"Zagrebačka","Zagreb",0.0487,0.051146,0.053763,0.056604,0.05752,0.059037,0.058673,0.059061,0.057016,0.050577,0.046629,0.044587,0.042297,0.039679
