"Županija","County.of","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.083184,0.022755,0.02406,0.103828,0.013905,0.025624,0.042541,0.066834
"Brodsko-posavska","Slavonski Brod-Posavina",0.027908,0.020942,0.044499,0.334372,0.008002,0.004591,0.014395,0.037117
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.07428,0.020105,0.028011,0.068637,0.054072,0.20881,0.204838,0.290438
"Grad Zagreb","City of Zagreb",1.063511,0.289135,0.59521,1.717327,0.323796,1.222649,2.595432,1.938545
"Istarska","Istria",0.470349,0.398199,0.2579,0.353573,0.46301,0.500315,0.290037,1.061461
"Karlovačka","Karlovac",0.050304,0.105651,0.129117,0.148698,0.038072,0.048827,0.040998,0.188454
"Koprivničko-križevačka","Koprivnica-Križevci",0.05994,0.109478,0.166626,0.176861,0.203838,0.095692,0.130154,0.118606
"Krapinsko-zagorska","Krapina-Zagorje",0.031831,0.041713,0.00694,0.059229,0.023312,0.030475,0.264413,0.25026
"Ličko-senjska","Lika-Senj",0.169821,0.055369,0.033946,0.027142,0.019583,0.017158,0.43608,0.240829
"Međimurska","Međimurje",0.634719,0.447434,0.401296,0.490786,0.485695,0.433312,0.249269,0.644018
"Osječko-baranjska","Osijek-Baranja",0.16985,0.100467,0.707687,0.176574,0.158926,0.869836,0.350844,0.660221
"Požeško-slavonska","Požega-Slavonia",0.053897,0.059217,0.023931,0.053886,0.085713,0.061398,0.066141,0.203917
"Primorsko-goranska","Primorje-Gorski kotar",2.78825,4.243737,2.970997,1.644309,0.617481,0.937968,0.685577,0.588805
"Republika Hrvatska","Republic of Croatia",0.537508,0.494778,0.519688,0.660939,0.262699,0.489442,0.68648,0.678889
"Sisačko-moslavačka","Sisak-Moslavina",0.734355,1.173872,2.067034,1.989378,1.767433,1.232136,0.684732,0.126412
"Splitsko-dalmatinska","Split-Dalmatia",0.154684,0.111515,0.096899,0.047481,0.056557,0.185696,0.261828,0.332424
"Šibensko-kninska","Šibenik-Knin",0.113295,0.052633,0.125256,0.131262,0.032687,0.049944,0.236525,0.116105
"Varaždinska","Varaždin",0.432458,0.344057,0.197599,0.377383,0.41324,0.204381,0.159097,0.211978
"Virovitičko-podravska","Virovitica-Podravina",0.173322,0.14698,0.085086,0.155741,0.106144,0.02793,0.048429,0.181173
"Vukovarsko-srijemska","Vukovar-Sirmium",0.263018,0.089895,0.120609,0.384764,0.045275,0.082322,0.117515,0.2535
"Zadarska","Zadar",0.003995,0.301958,0.085904,0.832967,0.030657,0.012897,0.008614,0.654941
"Zagrebačka","Zagreb",0.066811,0.072876,0.044361,0.023763,0.034459,0.040613,0.063768,0.354495
