"Županija","County.of","2010.","2011.","2012.","2013.","2014.","2015.","2016."
"Republika Hrvatska","Republic of Croatia",15137011,16281147,16215895.961,16527899.827,17129404.572,18482860.775,19686791.597
"Zagrebačka","Zagreb",933677,1246289,1224434.152,1332571.008,1490668.953,1714955.648,1899149.736
"Krapinsko-zagorska","Krapina-Zagorje",232061,249796,283685.374,294200.973,313996.07,322390.009,348176.267
"Sisačko-moslavačka","Sisak-Moslavina",321568,297158,286585.285,250949.582,253755.225,281763.448,238856.758
"Karlovačka","Karlovac",155985,171027,168069.146,207510.783,192513.463,193778.72,247376.647
"Varaždinska","Varaždin",447968,557604,529434.133,699834.376,800725.274,973024.421,960455.25
"Koprivničko-križevačka","Koprivnica-Križevci",159470,186724,174636.303,175002.483,199290.568,228415.34,249993.959
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",113037,117545,119831.36,126794.78,124988.728,142403.778,181038.825
"Primorsko-goranska","Primorje-Gorski kotar",761313,768004,705631.032,746495.146,885389.32,861067.994,880366.946
"Ličko-senjska","Lika-Senj",8509,13247,11952.281,9261.206,8873.505,10995.974,14290.566
"Virovitičko-podravska","Virovitica-Podravina",37954,75145,84106.677,48124.855,61706.798,66354.444,82602.084
"Požeško-slavonska","Požega-Slavonia",62486,64502,68670.533,68818.074,64780.519,79194.033,73686.53
"Brodsko-posavska","Slavonski Brod-Posavina",107933,178236,206846.384,151051.346,133829.937,167271.756,176912.423
"Zadarska","Zadar",140127,143943,142548.226,160026.879,179639.387,231240.354,225002.563
"Osječko-baranjska","Osijek-Baranja",361282,423206,401610.302,403657.476,395368.375,442495.191,518972.095
"Šibensko-kninska","Šibenik-Knin",215225,223680,254457.791,165031.979,134207.207,76853.365,61248.735
"Vukovarsko-srijemska","Vukovar-Sirmium",142755,179882,214777.306,272401.08,420899.788,397325.062,348718.697
"Splitsko-dalmatinska","Split-Dalmatia",749572,613974,674536.335,570206.074,602924.254,637888.159,662894.807
"Istarska","Istria",759291,732375,678497.383,678203.71,653884.923,749390.8,801704.94
"Dubrovačko-neretvanska","Dubrovnik-Neretva",54376,53435,70616.723,53860.186,46005.598,72104.738,73625.598
"Međimurska","Međimurje",262760,316428,309338.607,328439.034,381326.318,419849.465,453417.809
"Grad Zagreb","City of Zagreb",8910948,9491920,9523977.083,9688241.286,9221222.375,9589183.645,9847709.243
"Neraspoređeno","Unclassified",198713,177026,81653.545,97217.511,563407.987,824914.431,1340591.119
