"Županija","County.of","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",7592,14285,5953,7488,11767,6534,6812,6012,7692,9002,7488,9940,9860,12699,12877,15262,20858,29651
"Zagrebačka","Zagreb",143,564,266,420,511,434,417,278,377,328,224,180,312,400,420,787,1699,2276
"Krapinsko-zagorska","Krapina Zagorje",22,135,94,62,139,64,57,69,111,54,41,28,36,45,114,124,256,409
"Sisačko-moslavačka","Sisak Moslavina",237,559,372,459,667,419,538,702,738,1464,1172,1342,1094,1307,1217,1608,1317,1748
"Karlovačka","Karlovac",2439,348,219,342,381,279,305,331,422,458,402,786,373,541,601,700,762,901
"Varaždinska","Varaždin",48,196,136,142,165,108,97,74,177,101,83,77,64,98,115,290,511,800
"Koprivničko-križevačka","Koprivnica Križevci",41,169,85,92,128,87,65,45,66,74,69,57,77,83,78,115,271,374
"Bjelovarsko-bilogorska","Bjelovar Bilogora",70,543,195,231,215,163,176,214,236,285,187,228,302,449,303,367,441,621
"Primorsko-goranska","Primorje Gorski kotar",1848,1415,427,537,589,441,343,273,326,340,299,255,300,617,672,961,1435,2549
"Ličko-senjska","Lika Senj",18,346,177,102,174,107,178,243,317,387,392,581,400,434,498,371,491,513
"Virovitičko-podravska","Virovitica Podravina",55,545,334,378,298,220,666,209,246,279,224,673,252,228,285,236,443,804
"Požeško-slavonska","Požega Slavonia",69,193,164,162,183,159,198,194,212,253,216,303,291,414,589,239,404,1028
"Brodsko-posavska","Slavonski Brod Posavina",172,590,225,298,570,279,272,232,363,362,265,827,333,325,395,695,914,1571
"Zadarska","Zadar",164,577,188,280,398,272,284,258,330,404,504,477,368,533,546,718,1248,1542
"Osječko-baranjska","Osijek Baranja",178,574,472,500,539,474,620,607,863,1042,643,618,539,611,746,983,1505,2212
"Šibensko-kninska","Šibenik Knin",25,155,147,181,193,201,246,259,247,362,483,800,860,1016,1107,1004,778,929
"Vukovarsko-srijemska","Vukovar Sirmium",129,414,399,630,611,411,493,424,580,598,500,804,931,772,499,1019,1594,1967
"Splitsko-dalmatinska","Split Dalmatia",255,935,389,416,551,382,330,246,425,510,466,541,1041,1249,1303,1359,1948,2155
"Istarska","Istria",126,411,224,362,442,217,209,148,185,237,174,213,468,946,889,638,879,1280
"Dubrovačko-neretvanska","Dubrovnik Neretva",83,576,237,257,291,156,108,102,224,245,166,186,386,510,418,870,461,584
"Međimurska","Međimurje",15,117,121,134,170,128,78,60,112,85,66,57,68,122,95,174,380,342
"Grad Zagreb","City of Zagreb",1455,4923,1082,1503,4552,1533,1132,1044,1135,1134,912,907,1365,1999,1987,2004,3121,5046
