"Županija","County.of","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",36476,31305,33231,30818,33392,33808,32341,31819,32501,32418,29557,27798,25846,28514,27617,29959,33806,33418
"Zagrebačka","Zagreb",3028,2674,2929,2894,3120,3392,3372,3240,3553,3452,3289,3192,2937,3469,3177,3444,3401,3444
"Krapinsko-zagorska","Krapina Zagorje",688,536,704,645,798,728,648,656,751,762,632,579,644,726,663,746,818,816
"Sisačko-moslavačka","Sisak Moslavina",1561,1595,1773,1639,1685,1812,1570,1559,1627,1534,1339,1299,1198,1295,1355,1401,1602,1610
"Karlovačka","Karlovac",973,923,1099,920,1165,1016,869,949,907,956,807,742,782,732,694,838,947,934
"Varaždinska","Varaždin",691,583,667,590,690,739,709,686,635,644,585,597,559,625,635,702,935,865
"Koprivničko-križevačka","Koprivnica Križevci",736,645,657,640,716,755,660,693,720,669,542,552,521,616,587,586,868,860
"Bjelovarsko-bilogorska","Bjelovar Bilogora",1102,1118,1197,1104,1112,1151,1121,1045,1060,1097,973,872,934,1026,950,1034,1195,1246
"Primorsko-goranska","Primorje Gorski kotar",1832,1474,1638,1499,1655,1798,1701,1590,1612,1830,1763,1601,1395,1501,1600,1629,1914,2008
"Ličko-senjska","Lika Senj",660,651,669,576,638,572,510,590,481,553,469,501,377,470,407,444,576,555
"Virovitičko-podravska","Virovitica Podravina",874,756,866,766,846,734,811,779,802,850,706,574,555,565,655,665,823,895
"Požeško-slavonska","Požega Slavonia",1154,836,899,666,813,771,772,731,776,684,684,693,592,684,625,639,812,904
"Brodsko-posavska","Slavonski Brod Posavina",1814,1463,1491,1284,1451,1595,1500,1414,1475,1426,1344,1218,1184,1240,1159,1413,1586,1602
"Zadarska","Zadar",1239,1093,1200,1078,1211,1087,1081,960,1022,1134,1019,923,796,931,949,1059,1255,1259
"Osječko-baranjska","Osijek Baranja",1986,1669,1858,1730,1856,1707,1754,1806,1848,2038,1714,1587,1437,1537,1547,1771,2160,2246
"Šibensko-kninska","Šibenik Knin",1036,981,1062,953,1060,1057,1045,874,905,968,838,822,783,933,877,851,1004,1016
"Vukovarsko-srijemska","Vukovar Sirmium",2752,2204,2220,1928,2141,2255,1816,1822,1800,1714,1496,1480,1407,1504,1459,1681,2028,1910
"Splitsko-dalmatinska","Split Dalmatia",2487,2015,2035,1878,2135,2079,1951,2038,2249,2208,2121,2034,1843,1826,1915,2110,2331,2174
"Istarska","Istria",896,805,734,778,855,840,911,951,998,974,951,845,751,889,827,941,1103,1130
"Dubrovačko-neretvanska","Dubrovnik Neretva",665,632,704,648,736,853,702,758,765,803,683,692,679,794,712,850,900,904
"Međimurska","Međimurje",302,310,354,298,372,384,425,423,398,438,401,331,346,363,415,424,593,574
"Grad Zagreb","City of Zagreb",10000,8342,8475,8304,8337,8483,8413,8255,8117,7684,7201,6664,6126,6788,6409,6731,6955,6466
