"Županija","County.of","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",3962,3721,4419,4670,4496,4934,4985,4883,4651,4785,5025,5076,5058,5662,5659,5992,6570,6010
"Zagrebaèka","Zagreb",253,253,272,340,279,316,371,335,335,318,353,333,424,375,378,395,433,429
"Krapinsko-zagorska","Krapina Zagorje",43,53,74,55,74,128,120,90,110,82,109,111,134,145,143,143,163,135
"Sisaèko-moslavaèka","Sisak Moslavina",144,174,149,204,159,213,216,178,169,194,208,201,180,165,193,219,247,216
"Karlovaèka","Karlovac",93,77,89,93,104,101,102,114,116,119,133,118,100,129,151,149,155,180
"Varaždinska","Varaždin",168,134,200,175,164,163,151,192,160,186,189,189,206,199,221,224,189,224
"Koprivnièko-križevaèka","Koprivnica Križevci",128,132,113,134,131,179,169,157,124,131,151,166,177,184,168,120,164,153
"Bjelovarsko-bilogorska","Bjelovar Bilogora",131,123,123,169,141,164,163,145,134,153,167,169,133,163,164,197,163,154
"Primorsko-goranska","Primorje Gorski kotar",401,335,422,371,436,404,461,410,372,325,368,426,230,568,239,655,616,444
"Lièko-senjska","Lika Senj",27,28,27,28,35,40,38,41,34,45,48,38,29,27,32,49,65,38
"Virovitièko-podravska","Virovitica Podravina",77,65,83,101,74,82,99,71,82,110,96,117,114,93,119,121,127,122
"Požeško-slavonska","Požega Slavonia",78,79,64,67,74,72,70,60,80,69,68,87,87,95,115,97,100,88
"Brodsko-posavska","Slavonski Brod Posavina",175,156,184,174,164,207,176,172,160,179,158,191,183,180,205,242,221,186
"Zadarska","Zadar",103,100,97,106,113,100,117,146,120,143,154,152,186,184,191,196,271,222
"Osjeèko-baranjska","Osijek Baranja",330,359,477,401,392,443,477,448,358,418,459,462,451,501,548,527,521,511
"Šibensko-kninska","Šibenik Knin",59,81,79,76,71,95,77,86,80,81,91,76,102,107,121,122,153,86
"Vukovarsko-srijemska","Vukovar Sirmium",181,177,223,240,247,240,229,194,223,239,218,219,233,233,251,269,256,249
"Splitsko-dalmatinska","Split Dalmatia",259,280,305,390,309,413,291,404,468,423,397,397,338,362,415,372,523,559
"Istarska","Istria",215,230,257,216,260,253,248,258,213,260,310,319,280,314,303,362,288,279
"Dubrovaèko-neretvanska","Dubrovnik Neretva",71,83,60,98,72,81,86,96,97,94,101,140,88,98,79,107,114,120
"Meðimurska","Meðimurje",92,100,91,101,88,109,120,116,79,134,122,135,113,127,151,144,121,187
"Grad Zagreb","City of Zagreb",934,702,1030,1131,1109,1131,1204,1170,1137,1082,1125,1030,1270,1413,1472,1282,1680,1428
