"Županija","County.of","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",52311,51953,50246,49552,50569,52575,49756,51790,50378,52367,52151,52414,52096,51019,51710,50386,50839,54205
"Zagrebaèka","Zagreb",3410,3487,3331,3341,3456,3551,3466,3569,3419,3509,3485,3500,3478,3342,3515,3505,3412,3692
"Krapinsko-zagorska","Krapina Zagorje",2104,2084,2006,2051,2039,2126,1973,1905,1916,1929,2004,1987,1916,1867,1898,1882,1868,1844
"Sisaèko-moslavaèka","Sisak Moslavina",2358,2448,2479,2441,2536,2620,2589,2651,2550,2702,2629,2615,2601,2567,2385,2453,2475,2619
"Karlovaèka","Karlovac",2032,2029,2075,2064,2003,2143,2087,2149,1984,2065,2041,2060,1992,2016,1956,1849,2001,2027
"Varaždinska","Varaždin",2486,2383,2371,2266,2329,2492,2245,2199,2125,2316,2354,2280,2294,2187,2251,2154,2094,2366
"Koprivnièko-križevaèka","Koprivnica Križevci",1803,1797,1754,1706,1724,1708,1738,1694,1702,1709,1751,1721,1673,1607,1575,1456,1573,1626
"Bjelovarsko-bilogorska","Bjelovar Bilogora",2006,1990,1857,1818,1872,1958,1843,1866,1799,1866,1821,1892,1814,1729,1772,1725,1648,1817
"Primorsko-goranska","Primorje Gorski kotar",3567,3536,3392,3310,3417,3585,3241,3432,3335,3509,3446,3475,3537,3513,3632,3440,3530,3784
"Lièko-senjska","Lika Senj",858,839,819,853,838,863,790,857,850,869,919,824,823,808,893,842,899,919
"Virovitièko-podravska","Virovitica Podravina",1323,1335,1255,1226,1238,1273,1218,1268,1202,1264,1273,1244,1245,1246,1184,1172,1145,1133
"Požeško-slavonska","Požega Slavonia",1063,1050,1004,993,992,1006,1024,987,1055,1089,1057,1105,1087,1046,1014,1008,986,1076
"Brodsko-posavska","Slavonski Brod Posavina",1972,1993,1919,1952,2090,2056,1990,1997,1962,2047,2067,2022,2039,1958,2035,1917,1957,2125
"Zadarska","Zadar",1607,1559,1541,1482,1611,1701,1594,1714,1641,1794,1784,1867,1751,1704,1889,1787,1933,2072
"Osjeèko-baranjska","Osijek Baranja",4081,4088,3800,3713,3781,4030,3724,3976,3924,4134,3970,3997,4063,3914,4096,3825,3945,4108
"Šibensko-kninska","Šibenik Knin",1357,1353,1334,1241,1386,1481,1416,1495,1476,1445,1467,1491,1534,1399,1448,1452,1466,1594
"Vukovarsko-srijemska","Vukovar Sirmium",2166,2313,2261,2136,2250,2249,2180,2333,2242,2293,2340,2350,2334,2269,2325,2261,2270,2400
"Splitsko-dalmatinska","Split Dalmatia",4550,4346,4206,4375,4194,4570,4215,4536,4316,4488,4720,4690,4589,4691,4651,4590,4646,5152
"Istarska","Istria",2167,2210,2089,2124,2116,2228,2112,2210,2154,2241,2109,2303,2332,2222,2302,2167,2226,2414
"Dubrovaèko-neretvanska","Dubrovnik Neretva",1323,1234,1233,1183,1225,1283,1211,1256,1216,1238,1323,1239,1294,1284,1371,1314,1238,1342
"Meðimurska","Meðimurje",1351,1333,1287,1237,1311,1272,1210,1254,1296,1229,1272,1281,1235,1254,1189,1227,1168,1274
"Grad Zagreb","City of Zagreb",8727,8546,8233,8040,8161,8380,7890,8442,8214,8631,8319,8471,8465,8396,8329,8360,8359,8821
