"Županija","County.of","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",47068,45179,43746,40993,40094,39668,40307,42492,41446,41910,43753,44577,43361,41197,41771,39939,39566,37503
"Zagrebaèka","Zagreb",3133,3002,3111,2852,2892,3010,3056,3174,3188,3247,3397,3407,3320,3275,3267,3077,2930,2712
"Krapinsko zagorska","Krapina Zagorje",1519,1417,1354,1227,1296,1216,1224,1228,1204,1206,1285,1282,1265,1179,1190,1152,1153,1037
"Sisaèko moslavaèka","Sisak Moslavina",1946,1819,1688,1567,1498,1516,1575,1631,1523,1506,1611,1646,1546,1486,1543,1337,1403,1271
"Karlovaèka","Karlovac",1126,1178,1155,1114,1032,1078,1023,1131,1119,1159,1162,1118,1131,1019,1051,1048,1011,952
"Varaždinska","Varaždin",1984,1930,1853,1790,1688,1683,1725,1834,1764,1721,1727,1780,1733,1594,1643,1519,1459,1455
"Koprivnièko križevaèka","Koprivnica Križevci",1352,1263,1208,1200,1168,1104,1099,1239,1127,1157,1232,1190,1173,1108,1092,1113,1059,1010
"Bjelovarsko bilogorska","Bjelovar Bilogora",1437,1366,1227,1173,1167,1129,1132,1249,1184,1174,1199,1211,1250,1073,1132,1092,1040,975
"Primorsko goranska","Primorje Gorski kotar",2565,2419,2399,2269,2251,2360,2355,2367,2351,2384,2529,2659,2524,2499,2504,2422,2370,2344
"Lièko senjska","Lika Senj",539,489,442,436,418,434,405,458,390,380,417,435,405,361,400,396,377,386
"Virovitièko podravska","Virovitica Podravina",1104,1040,925,867,867,843,846,910,816,848,860,867,860,816,794,790,737,693
"Požeško slavonska","Požega Slavonia",1062,1019,877,852,842,822,796,833,808,815,876,830,786,691,736,703,692,636
"Brodsko posavska","Slavonski Brod Posavina",2261,2011,1959,1839,1733,1683,1607,1766,1695,1689,1729,1800,1551,1615,1563,1512,1412,1314
"Zadarska","Zadar",1788,1739,1695,1636,1549,1509,1543,1791,1672,1676,1784,1828,1776,1676,1766,1688,1635,1568
"Osjeèko baranjska","Osijek Baranja",3514,3488,3280,3108,2998,2794,2804,3061,2928,2869,2991,3116,2856,2835,2919,2786,2685,2551
"Šibensko kninska","Šibenik Knin",1175,1098,1093,961,961,936,890,954,905,914,997,1008,998,895,918,890,916,819
"Vukovarsko srijemska","Vukovar Sirmium",2323,2279,2130,2084,1946,1901,1971,2052,1950,1942,1994,1948,1813,1698,1772,1593,1651,1438
"Splitsko dalmatinska","Split Dalmatia",5440,5293,5204,4805,4741,4593,4962,4970,4906,4883,4910,4941,4957,4614,4726,4313,4312,4110
"Istarska","Istria",1675,1659,1709,1572,1603,1551,1692,1772,1793,1918,1960,2012,1906,1827,1832,1801,1813,1701
"Dubrovaèko neretvanska","Dubrovnik Neretva",1587,1392,1359,1282,1187,1123,1264,1251,1340,1308,1462,1381,1433,1272,1324,1252,1285,1283
"Meðimurska","Meðimurje",1314,1346,1345,1346,1238,1249,1178,1236,1220,1214,1286,1326,1286,1253,1205,1201,1174,1209
"Grad Zagreb","City of Zagreb",8224,7932,7733,7013,7019,7134,7160,7585,7563,7900,8345,8792,8792,8411,8394,8254,8452,8039
