"Županija","County.of","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",44192,18625,23432,16927,8598,11921,11571,8218,7286,5620,7053,-1472,-4875,-4165,-3918,-4884,-10220,-17945
"Zagrebačka","Zagreb",7490,4625,4257,3439,3124,3342,2708,2641,2235,2100,1841,1300,894,865,714,405,-322,-1366
"Krapinsko-zagorska","Krapina Zagorje",267,131,51,48,-124,67,21,123,-55,-44,43,47,-50,-120,-169,-152,-248,-271
"Sisačko-moslavačka","Sisak Moslavina",2893,991,1033,174,-219,-296,-305,-638,-712,-1155,-951,-1528,-1328,-1551,-1529,-1947,-1749,-2186
"Karlovačka","Karlovac",2095,587,259,-28,-328,-66,-21,-204,-347,-258,-222,-694,-517,-586,-504,-678,-830,-664
"Varaždinska","Varaždin",581,164,160,47,-63,-40,-65,2,-35,139,134,56,-27,66,-124,-245,-564,-544
"Koprivničko-križevačka","Koprivnica Križevci",758,320,274,66,-50,-85,-27,-76,-169,-22,33,-96,-107,-145,-85,-148,-556,-621
"Bjelovarsko-bilogorska","Bjelovar Bilogora",1393,-146,36,-162,-232,-290,-388,-425,-428,-523,-271,-362,-645,-771,-574,-715,-747,-1115
"Primorsko-goranska","Primorje Gorski kotar",581,624,1152,1134,911,1038,896,993,946,752,653,307,232,249,368,245,38,-1153
"Ličko-senjska","Lika Senj",525,-212,-53,97,23,162,84,-51,-80,-167,-98,-510,-303,-297,-335,-83,-304,-404
"Virovitičko-podravska","Virovitica Podravina",1149,48,176,-157,-140,-193,-649,-294,-439,-411,-217,-730,-439,-326,-447,-443,-706,-1172
"Požeško-slavonska","Požega Slavonia",645,82,285,150,-204,-312,-241,-322,-377,-352,-341,-621,-507,-685,-810,-417,-700,-1243
"Brodsko-posavska","Slavonski Brod Posavina",3063,1106,1210,480,-166,-320,-264,-162,-337,-183,-194,-988,-700,-689,-699,-1289,-1608,-2254
"Zadarska","Zadar",2608,1231,1460,1609,1522,1639,1779,1938,2070,1628,1456,749,669,742,727,361,-369,-618
"Osječko-baranjska","Osijek Baranja",2600,1205,918,340,15,26,-421,-623,-851,-1053,-307,-565,-624,-554,-766,-1207,-1770,-2634
"Šibensko-kninska","Šibenik Knin",2816,1388,1240,902,708,641,704,714,922,426,482,-344,-753,-900,-857,-529,-228,-658
"Vukovarsko-srijemska","Vukovar Sirmium",933,119,432,-281,-849,-954,-789,-718,-703,-191,-247,-1010,-1392,-1239,-871,-1624,-2579,-2712
"Splitsko-dalmatinska","Split Dalmatia",3419,2295,4110,4249,2299,2243,3051,1846,1140,721,860,168,-430,32,-169,456,-483,-346
"Istarska","Istria",2790,1636,2080,1476,1589,1765,1468,1439,1436,1357,1388,697,85,-89,214,650,783,390
"Dubrovačko-neretvanska","Dubrovnik Neretva",1532,541,993,712,333,264,545,503,541,518,733,497,-212,-158,10,-160,114,-84
"Međimurska","Međimurje",218,141,104,79,7,23,-55,-71,-130,-123,-107,-11,-88,-148,-164,-235,-432,-422
"Grad Zagreb","City of Zagreb",6054,1627,3194,2580,-108,2748,3076,1114,2169,2461,2385,2166,1367,2139,2152,2871,3040,2132
