"Policijska.uprava","Police.departments","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",26153,24271,21773,23136,25092,22395,21923,18333,18065,16010,15274,14222,15024
"Zagrebačka","Zagreb2)",5641,5565,4728,5091,5386,4655,4945,4044,4132,3790,3570,3466,3431
"Krapinsko-zagorska","Krapina-Zagorje",987,736,664,743,689,605,546,504,450,429,337,296,356
"Sisačko-moslavačka","Sisak-Moslavina",1111,958,1101,1145,1281,1108,951,774,791,732,643,580,576
"Karlovačka","Karlovac",934,828,677,775,966,739,706,615,528,509,455,457,491
"Varaždinska","Varaždin",722,552,579,600,659,658,627,530,497,436,507,403,496
"Koprivničko-križevačka","Koprivnica-Križevci",685,665,631,611,679,636,565,374,423,364,372,354,384
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",722,600,573,654,607,494,572,468,459,364,419,371,424
"Primorsko-goranska","Primorje-Gorski kotar",1794,1628,1416,1601,1561,1501,1603,1294,1310,1130,1081,1013,929
"Ličko-senjska","Lika-Senj",679,574,398,391,434,421,432,354,374,391,351,277,374
"Virovitičko-podravska","Virovitica-Podravina",506,504,456,430,481,429,455,390,388,319,312,216,260
"Požeško-slavonska","Požega-Slavonia",519,394,417,443,431,372,378,378,346,243,263,234,234
"Brodsko-posavska","Slavonski Brod-Posavina",1131,1023,882,1019,1143,1035,1020,741,777,667,644,607,702
"Zadarska","Zadar",1310,1116,1080,1042,1255,1115,1109,1030,929,826,811,722,759
"Osječko-baranjska","Osijek-Baranja",1596,1568,1380,1678,1800,1589,1552,1217,1120,1096,1051,883,898
"Šibensko-kninska","Šibenik-Knin",767,800,739,769,764,699,606,530,531,484,448,497,467
"Vukovarsko-srijemska","Vukovar-Sirmium",1000,1018,617,695,1076,997,920,821,846,781,731,725,793
"Splitsko-dalmatinska","Split-Dalmatia",2889,2781,2648,2633,2819,2610,2425,2119,2015,1578,1558,1437,1596
"Istarska","Istria",1791,1815,1541,1593,1696,1464,1439,1209,1162,1046,954,918,967
"Dubrovačko-neretvanska","Dubrovnik-Neretva",832,735,853,797,855,790,667,636,615,527,489,454,590
"Međimurska","Međimurje",537,411,393,426,510,478,405,305,372,298,278,312,297
