"Policijska.uprava","Police.departments","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",701,608,597,614,619,664,548,426,418,393,368,308,348
"Zagrebaèka","Zagreb2)",98,98,114,103,115,113,94,88,76,67,63,47,44
"Krapinsko-zagorska","Krapina-Zagorje",24,18,14,18,18,20,20,15,11,11,18,11,9
"Sisaèko-moslavaèka","Sisak-Moslavina",41,24,26,25,26,35,25,14,15,13,20,20,15
"Karlovaèka","Karlovac",34,26,20,25,28,26,21,15,21,21,11,18,20
"Varaždinska","Varaždin",35,19,12,27,14,32,15,16,13,10,16,12,10
"Koprivnièko-križevaèka","Koprivnica-Križevci",15,25,19,17,11,15,17,9,10,10,6,7,13
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",22,18,33,23,20,20,18,19,18,12,13,12,14
"Primorsko-goranska","Primorje-Gorski kotar",46,48,43,46,55,36,38,35,34,26,25,28,17
"Lièko-senjska","Lika-Senj",33,23,11,14,22,33,16,16,15,31,16,8,12
"Virovitièko-podravska","Virovitica-Podravina",19,14,22,17,10,25,18,15,12,10,10,10,8
"Požeško-slavonska","Požega-Slavonia",7,9,5,12,10,12,9,10,6,10,8,4,4
"Brodsko-posavska","Slavonski Brod-Posavina",37,22,21,27,24,48,25,18,29,18,15,9,9
"Zadarska","Zadar",25,31,32,40,29,25,20,21,21,19,8,18,22
"Osjeèko-baranjska","Osijek-Baranja",70,38,41,45,51,38,41,28,25,27,30,13,35
"Šibensko-kninska","Šibenik-Knin",26,31,23,22,19,28,21,11,18,23,12,17,18
"Vukovarsko-srijemska","Vukovar-Sirmium",27,23,21,26,31,33,29,18,17,15,22,12,20
"Splitsko-dalmatinska","Split-Dalmatia",59,69,64,42,60,56,48,26,32,25,33,27,34
"Istarska","Istria",38,38,45,40,41,32,36,27,18,27,15,19,24
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",25,19,20,25,22,26,21,16,18,12,18,9,14
"Meðimurska","Meðimurje",20,15,11,20,13,11,16,9,9,6,9,7,6
