"Policijska.uprava","Police.departments","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",17959,16600,15149,16155,17481,15698,15237,12870,12843,11418,10897,10323,10721
"Zagrebaèka","Zagreb1)",3937,3758,3346,3658,3821,3359,3491,2880,2994,2753,2598,2544,2507
"Krapinsko-zagorska","Krapina-Zagorje",624,485,453,473,459,397,373,316,308,293,248,219,242
"Sisaèko-moslavaèka","Sisak-Moslavina",765,656,754,784,884,756,666,560,569,484,441,392,380
"Karlovaèka","Karlovac",594,535,459,508,581,517,481,388,374,336,306,311,344
"Varaždinska","Varaždin",526,417,410,455,499,458,451,400,366,356,384,320,365
"Koprivnièko-križevaèka","Koprivnica-Križevci",465,476,423,435,462,442,384,286,314,277,283,271,263
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",509,419,410,440,419,346,394,308,324,281,277,270,307
"Primorsko-goranska","Primorje-Gorski kotar",1315,1167,1070,1194,1181,1186,1204,981,991,892,841,799,747
"Lièko-senjska","Lika-Senj",408,338,252,269,272,267,286,227,246,239,210,203,252
"Virovitièko-podravska","Virovitica-Podravina",358,336,297,302,315,291,297,261,279,220,209,161,187
"Požeško-slavonska","Požega-Slavonia",347,265,256,281,304,265,263,233,233,160,166,158,160
"Brodsko-posavska","Slavonski Brod-Posavina",724,669,592,652,738,648,636,510,499,457,419,414,427
"Zadarska","Zadar",898,786,744,707,877,788,753,715,639,568,591,504,541
"Osjeèko-baranjska","Osijek-Baranja",1042,1069,899,1114,1120,1045,1018,833,768,720,718,601,595
"Šibensko-kninska","Šibenik-Knin",516,533,496,516,558,497,419,387,371,350,304,363,344
"Vukovarsko-srijemska","Vukovar-Sirmium",653,643,405,475,696,631,594,508,525,456,437,473,495
"Splitsko-dalmatinska","Split-Dalmatia",1996,1958,1902,1859,2064,1819,1745,1543,1475,1207,1154,1087,1183
"Istarska","Istria",1312,1260,1057,1131,1221,1070,1010,857,867,765,717,674,722
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",566,527,613,572,630,561,482,442,429,384,373,334,416
"Meðimurska","Meðimurje",404,303,311,330,380,355,290,235,272,220,221,225,244
