"Policijska.uprava","Police.departments","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",18592,17140,15679,16706,18029,16283,15730,13272,13228,11773,11225,10607,11038
"Zagrebacka","Zagreb1)",4028,3844,3450,3754,3920,3458,3573,2963,3065,2814,2653,2588,2548
"Krapinsko-zagorska","Krapina-Zagorje",645,502,466,491,475,416,392,329,318,304,264,230,250
"Sisaèko-moslavèka","Sisak-Moslavina",799,678,776,807,908,786,689,574,581,496,457,408,393
"Karlovaèka","Karlovac",626,560,478,531,606,540,500,402,390,354,316,327,362
"Varaždinska","Varaždin",557,435,421,481,513,484,466,415,377,365,398,331,375
"Koprivnièko-križevaèka","Koprivnica-Križevci",479,497,439,451,472,455,400,294,323,287,287,278,272
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",530,435,439,460,438,364,411,327,340,292,290,281,321
"Primorsko-goranska","Primorje-Gorski kotar",1353,1210,1105,1231,1229,1221,1241,1016,1024,915,866,824,763
"Lièko-senjska","Lika-Senj",436,353,263,283,290,283,300,240,261,259,221,210,263
"Virovitièko-podravska","Virovitica-Podravina",376,346,312,318,324,314,315,276,291,230,218,171,194
"Požeško-slavonska","Požega-Slavonia",353,273,261,291,314,277,270,242,237,169,174,162,164
"Brodsko-posavska","Slavonski Brod-Posavina",757,690,610,677,761,689,656,527,525,474,432,423,436
"Zadarska","Zadar",919,816,772,739,903,812,773,734,658,587,599,521,562
"Osjeèko-baranjska","Osijek-Baranja",1107,1102,939,1155,1164,1081,1055,860,792,747,745,613,628
"Šibensko-kninska","Šibenik-Knin",537,558,517,535,576,517,436,398,387,370,315,380,358
"Vukovarsko-srijemska","Vukovar-Sirmium",680,665,425,499,720,661,618,524,540,469,456,482,513
"Splitsko-dalmatinska","Split-Dalmatia",2051,2020,1958,1899,2119,1874,1787,1569,1507,1232,1184,1112,1214
"Istarska","Istria",1347,1294,1094,1162,1257,1101,1043,882,884,790,730,693,742
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",590,545,632,595,647,584,500,456,447,393,390,341,430
"Meðimurska","Meðimurje",422,317,322,347,393,366,305,244,281,226,230,232,250
