"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",75476,82992,87907,92429,100150,107753,114315,110812,92847,74967,74645,65439,67500,66146,66491
"Zagrebaèka","Zagreb",5514,6209,7092,4822,8940,9758,8990,9367,9783,7443,8624,8072,8259,6853,6714
"Krapinsko-zagorska","Krapina-Zagorje",2371,1871,2911,2919,2505,2981,3287,3019,1919,2028,1624,1611,1845,1817,2230
"Sisaèko-moslavaèka","Sisak-Moslavina",1717,2414,2097,2426,2608,2427,1751,2400,1812,1469,1685,1524,1451,1439,1627
"Karlovaèka","Karlovac",3671,3814,3847,3640,2409,3100,2775,2796,1855,2025,2588,2048,2370,1812,1962
"Varaždinska","Varaždin",3815,5134,6324,6056,5199,6107,6356,5193,5510,4985,4466,4751,4243,4177,3906
"Koprivnièko-križevaèka","Koprivnica-Križevci",2320,1974,1831,2014,2628,1876,2464,2458,1977,1409,1792,1866,1768,1353,1727
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",3225,2863,3880,2944,3623,2932,3798,2536,2414,2381,2321,1800,1370,1462,1773
"Primorsko-goranska","Primorje-Gorski kotar",4506,4978,4499,7106,6334,7871,6180,6237,6242,6102,5183,5027,5398,4188,4810
"Lièko-senjska","Lika-Senj",713,1004,1168,1211,477,2476,792,1521,589,635,667,567,568,581,807
"Virovitièko-podravska","Virovitica-Podravina",906,1421,969,1195,930,1378,1334,834,1126,870,1025,974,1026,519,875
"Požeško-slavonska","Požega-Slavonia",2002,2759,1952,1815,1122,1417,1124,1593,1340,844,964,855,1036,1416,1149
"Brodsko-posavska","Slavonski Brod-Posavina",1858,2525,2456,2971,3259,2633,3158,3872,2645,2022,2499,2037,2791,2434,2312
"Zadarska","Zadar",1570,1413,1855,2434,1830,2202,2484,1907,2121,1779,1397,1365,1491,972,1194
"Osjeèko-baranjska","Osijek-Baranja",6464,6350,5420,7427,7272,7336,6864,6548,6648,6514,6187,5058,6091,6771,6528
"Šibensko-kninska","Šibenik-Knin",756,1152,1263,1436,1320,1169,1101,702,822,1280,677,589,800,1049,773
"Vukovarsko-srijemska","Vukovar-Sirmium",2460,2397,2720,2985,2546,2884,2656,2584,3331,2829,2447,1520,1451,1505,1516
"Splitsko-dalmatinska","Split-Dalmatia",5744,6222,7581,7262,7686,7997,7338,6719,6081,5761,5619,4887,3260,3293,3243
"Istarska","Istria",4768,4486,6097,6748,6628,5899,7620,6685,5705,4806,5427,4074,4802,4755,3854
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",1079,1076,1226,1660,1575,1111,1023,1281,846,1130,741,717,719,712,719
"Meðimurska","Meðimurje",2097,2161,2218,2948,2748,2588,3350,2557,2054,2154,2247,1877,2178,1929,2526
"Grad Zagreb","City o Zagreb",17920,20772,20501,20408,28512,31611,39875,40003,28027,16501,16465,14220,14584,17108,16246
