"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",501,509,513,517,518,518,520,472,474,473,472
"Zagrebaèka","Zagreb",709,616,620,620,634,631,634,520,526,502,535
"Krapinsko-zagorska","Krapina-Zagorje",758,758,772,771,772,781,781,765,784,790,794
"Sisaèko-moslavèka","Sisak-Moslavina",463,461,461,430,430,430,430,401,401,393,396
"Karlovaèka","Karlovac",449,462,462,471,471,471,471,413,415,418,417
"Varaždinska","Varaždin",909,924,949,948,948,947,957,906,929,938,938
"Koprivnièko-križevaèka","Koprivnica-Križevci",672,666,666,644,644,644,644,618,622,622,599
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",564,563,563,553,553,553,553,504,504,504,447
"Primorsko-goranska","Primorje-Gorski kotar",417,432,436,447,446,447,447,427,430,430,430
"Lièko-senjska","Lika-Senj",355,378,379,380,380,380,379,339,337,337,337
"Virovitièko-podravska","Virovitica-Podravina",451,450,455,435,435,416,421,423,423,423,423
"Požeško-slavonska","Požega-Slavonia",397,397,397,401,401,409,409,378,378,379,380
"Brodsko-posavska","Slavonski Brod-Posavina",455,455,462,457,458,458,458,445,445,445,447
"Zadarska","Zadar",463,482,488,507,507,512,516,492,492,490,490
"Osjeèko-baranjska","Osijek-Baranja",389,388,397,412,421,420,420,396,396,397,397
"Šibensko-kninska","Šibenik-Knin",403,419,423,434,432,433,432,382,383,382,382
"Vukovarsko-srijemska","Vukovar-Sirmium",413,412,415,413,412,414,415,386,386,387,387
"Splitsko-dalmatinska","Split-Dalmatia",546,552,562,588,586,584,587,573,577,580,579
"Istarska","Istria",650,667,667,663,664,664,668,627,627,626,625
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",548,548,551,566,578,573,585,556,568,581,580
"Meðimurska","Meðimurje",756,754,763,874,873,879,878,775,776,798,795
"Grad Zagreb","City of Zagreb",1172,1167,1171,1208,1211,1212,1211,112,112,107,111
