"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",28344,28788,29039,29248,29343,29333,29419,26690,26814,26778,26706
"Zagrebaèka","Zagreb",1885,1886,1899,1896,1941,1930,1941,1592,1609,1536,1638
"Krapinsko-zagorska","Krapina-Zagorje",932,932,949,948,949,960,960,940,964,970,976
"Sisaèko-moslavèka","Sisak-Moslavina",2059,2059,2060,1919,1919,1919,1920,1792,1792,1756,1767
"Karlovaèka","Karlovac",1625,1676,1676,1707,1708,1709,1707,1498,1505,1515,1513
"Varaždinska","Varaždin",1145,1166,1198,1196,1197,1195,1207,1143,1172,1183,1184
"Koprivnièko-križevaèka","Koprivnica-Križevci",1165,1165,1165,1126,1126,1126,1126,1081,1088,1087,1047
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",1487,1487,1487,1460,1460,1460,1460,1331,1331,1331,1181
"Primorsko-goranska","Primorje-Gorski kotar",1497,1549,1565,1603,1599,1605,1605,1531,1542,1543,1544
"Lièko-senjska","Lika-Senj",1899,2021,2031,2033,2035,2032,2030,1816,1802,1805,1806
"Virovitièko-podravska","Virovitica-Podravina",911,911,920,881,881,842,852,857,857,856,855
"Požeško-slavonska","Požega-Slavonia",723,723,723,731,731,746,746,689,689,690,693
"Brodsko-posavska","Slavonski Brod-Posavina",923,924,937,928,930,929,930,902,902,904,907
"Zadarska","Zadar",1685,1757,1780,1847,1849,1868,1880,1792,1793,1786,1787
"Osjeèko-baranjska","Osijek-Baranja",1614,1614,1650,1711,1748,1746,1746,1644,1646,1651,1648
"Šibensko-kninska","Šibenik-Knin",1208,1251,1263,1294,1289,1293,1290,1140,1144,1141,1141
"Vukovarsko-srijemska","Vukovar-Sirmium",1011,1011,1019,1015,1012,1016,1017,948,948,949,949
"Splitsko-dalmatinska","Split-Dalmatia",2468,2507,2551,2668,2659,2652,2665,2603,2619,2632,2627
"Istarska","Istria",1829,1875,1877,1866,1868,1867,1879,1764,1763,1760,1758
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",976,976,982,1007,1029,1021,1042,990,1011,1034,1034
"Meðimurska","Meðimurje",552,550,556,637,637,640,640,565,565,581,579
"Grad Zagreb","City of Zagreb",750,748,751,775,776,777,776,72,72,69,71
