"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",7425,7869,6963,6810,6813,6812,6843,6581,6711,6723,6757
"Zagrebačka","Zagreb",379,379,277,237,239,239,243,240,245,253,255
"Krapinsko-zagorska","Krapina-Zagorje",228,228,208,225,225,239,239,234,275,277,281
"Sisačko-moslavačka","Sisak-Moslavina",475,476,412,385,385,385,386,385,385,385,385
"Karlovačka","Karlovac",407,458,375,353,353,355,353,352,382,382,383
"Varaždinska","Varaždin",223,245,231,209,210,207,210,201,198,201,201
"Koprivničko-križevačka","Koprivnica-Križevci",212,212,212,212,212,212,212,212,216,216,216
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",284,284,284,288,288,288,287,254,254,254,255
"Primorsko-goranska","Primorje-Gorski kotar",579,631,520,521,517,521,520,510,511,507,515
"Ličko-senjska","Lika-Senj",573,695,587,555,557,559,557,526,526,526,540
"Virovitičko-podravska","Virovitica-Podravina",185,185,195,181,181,181,190,172,172,171,171
"Požeško-slavonska","Požega-Slavonia",227,227,227,218,219,219,219,219,219,219,219
"Brodsko-posavska","Slavonski Brod-Posavina",233,233,124,133,133,132,133,136,136,136,138
"Zadarska","Zadar",589,661,610,591,593,586,598,510,511,511,509
"Osječko-baranjska","Osijek-Baranja",470,470,496,481,486,482,482,467,467,466,466
"Šibensko-kninska","Šibenik-Knin",350,393,362,367,363,366,363,325,325,325,325
"Vukovarsko-srijemska","Vukovar-Sirmium",305,305,263,256,253,257,258,256,256,256,256
"Splitsko-dalmatinska","Split-Dalmatia",761,799,770,757,749,743,745,747,756,774,776
"Istarska","Istria",386,432,308,329,331,330,332,331,354,354,356
"Dubrovačko-neretvanska","Dubrovnik-Neretva",397,397,403,394,403,395,398,386,386,378,378
"Međimurska","Međimurje",93,91,77,90,89,90,89,90,110,109,109
"Grad Zagreb","City of Zagreb",69,68,24,28,28,28,28,28,28,25,25
