"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",10375,10375,10375,10335,10347,10342,10355,9046,9094,9137,8998
"Zagrebaèka","Zagreb",708,708,708,710,721,706,711,539,558,551,571
"Krapinsko-zagorska","Krapina-Zagorje",241,241,241,242,241,238,238,233,243,248,250
"Sisaèko-moslavaèka","Sisak-Moslavina",769,768,769,652,652,652,653,626,626,640,640
"Karlovaèka","Karlovac",672,672,672,684,687,686,686,560,546,553,553
"Varaždinska","Varaždin",493,492,493,469,469,470,480,460,484,496,496
"Koprivnièko-križevaèka","Koprivnica-Križevci",542,542,542,514,514,514,514,504,508,507,468
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",640,640,640,607,607,607,607,534,533,533,419
"Primorsko-goranska","Primorje-Gorski kotar",330,330,330,358,357,357,358,323,324,327,323
"Lièko-senjska","Lika-Senj",808,808,808,785,785,780,780,658,658,661,661
"Virovitièko-podravska","Virovitica-Podravina",368,368,368,329,329,290,290,317,317,317,319
"Požeško-slavonska","Požega-Slavonia",280,280,280,279,279,294,293,268,268,270,273
"Brodsko-posavska","Slavonski Brod-Posavina",207,208,207,195,196,196,195,195,195,197,198
"Zadarska","Zadar",602,602,602,655,655,680,680,680,680,637,639
"Osjeèko-baranjska","Osijek-Baranja",520,520,520,555,555,555,554,486,486,491,488
"Šibensko-kninska","Šibenik-Knin",398,398,398,414,413,414,414,329,334,329,329
"Vukovarsko-srijemska","Vukovar-Sirmium",240,240,240,230,230,230,230,205,205,207,207
"Splitsko-dalmatinska","Split-Dalmatia",927,928,927,942,941,941,941,902,902,910,909
"Istarska","Istria",737,737,737,729,729,730,727,663,661,661,655
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",319,319,319,339,339,352,351,331,333,354,355
"Meðimurska","Meðimurje",199,199,199,260,260,262,263,232,232,248,247
"Grad Zagreb","City of Zagreb",375,375,375,387,388,388,388,NA,NA,NA,NA
