"Županija","County.of","1994.","1995.","1996.","1997.","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015.","2016."
"Republika Hrvatska","Republic of Croatia",1108903,1113481,1249429,1371512,1337940,1307331,1282035,1315540,1375858,1469388,1500402,1528184,1726045,1855715,1845702,1599652,1493374,1529003,1465934,1485361,1505455,1660144,1785625
"Zagrebačka","Zagreb",11403,9753,9070,11861,9845,9432,8990,9669,9302,10038,11492,13634,16513,17861,19718,20837,18028,18155,18706,22884,21348,25243,23922
"Krapinsko-zagorska","Krapina-Zagorje",27714,30690,29103,35112,30470,31388,29788,26794,34516,33536,31272,28948,42506,48235,50506,43570,41929,45821,42107,44777,50772,55840,66979
"Sisačko-moslavačka","Sisak-Moslavina",11294,10115,11573,14080,10607,8992,10655,11935,14389,16601,16322,16679,16262,20136,19056,18504,14839,14582,14486,15058,15692,15968,16933
"Karlovačka","Karlovac",1600,1955,4066,5247,10270,16870,17489,20592,23517,25201,27564,28628,28948,29876,31520,25336,25091,16830,19242,16697,14823,18401,21661
"Varaždinska","Varaždin",27215,25444,29105,29247,28139,24644,25306,28127,27966,30934,29195,30719,32193,28358,28460,22760,20666,20892,22400,23273,24247,26350,27774
"Koprivničko-križevačka","Koprivnica-Križevci",10986,8718,8493,7874,8382,7749,9274,7838,7562,8301,7274,6893,9820,11905,11518,10178,7718,8984,10651,10797,10721,10349,10966
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",11341,8205,6361,6184,7843,7460,6780,6280,7229,7462,6900,7592,9940,10569,10781,8976,8080,10016,10419,10987,11520,14420,14346
"Primorsko-goranska","Primorje-Gorski kotar",349834,370640,375568,382471,349031,358111,335868,336711,338798,370829,357410,356365,422301,397819,384451,328693,307668,300339,290285,278481,271167,302714,319492
"Ličko-senjska","Lika-Senj",29838,32014,30490,31902,28312,20575,26732,25312,32369,35036,37896,38294,39625,49265,38893,40302,34615,33196,31593,28507,29747,33274,35932
"Virovitičko-podravska","Virovitica-Podravina",4948,3158,2149,2935,2695,2029,3317,3799,2887,3605,4729,4959,9982,11747,11569,12140,10545,10550,9103,10685,9459,7958,9116
"Požeško-slavonska","Požega-Slavonia",11424,9127,8125,2387,2854,2685,3146,3729,3233,4481,4343,5612,5103,6581,6339,7775,6773,7472,6412,7581,8096,8043,8726
"Brodsko-posavska","Slavonski Brod-Posavina",5903,5764,5832,5933,7235,7395,6685,7204,8086,10867,9680,9838,10814,11953,12464,10530,8984,9719,9627,11070,11035,10335,11268
"Zadarska","Zadar",16912,25354,69763,94860,102080,100563,112190,120404,122661,135538,149339,161630,177786,199975,197174,171615,159709,160113,158198,137672,142598,157386,165964
"Osječko-baranjska","Osijek-Baranja",34491,28008,27733,40987,43037,34378,35095,37775,38271,41839,41002,47783,59162,65118,69765,58870,52465,56573,52005,51252,49632,51737,57697
"Šibensko-kninska","Šibenik-Knin",6982,12840,28214,49508,49240,52826,58420,67366,82127,91376,90713,102383,111553,132498,137149,107787,99901,106646,96406,109856,109987,123506,121087
"Vukovarsko-srijemska","Vukovar-Sirmium",8303,5566,6752,9425,10581,12136,12917,14854,16289,16393,17589,21929,22915,26827,27988,25437,27553,25398,21019,25655,29309,36575,53318
"Splitsko-dalmatinska","Split-Dalmatia",107048,108332,153232,169086,173924,182201,169765,169301,181095,187113,196704,205618,214639,247989,235765,213475,199811,206095,191988,196312,196581,217536,232571
"Istarska","Istria",206761,207936,173758,177541,178862,158162,146065,154584,156891,160995,187974,166610,189013,198635,203910,167287,160632,175300,166161,169846,174289,189711,222421
"Dubrovačko-neretvanska","Dubrovnik-Neretva",45752,46018,87469,109655,108295,103718,106554,104235,96352,103626,98539,102425,109175,119198,111249,99134,83693,96411,93297,93286,97829,105587,109231
"Međimurska","Međimurje",4644,4815,4719,4662,3897,3279,3209,3642,2906,3569,4023,7776,14730,19809,24342,21776,27422,26009,25001,30748,28955,30573,23926
"Grad Zagreb","City of Zagreb",174510,159029,177854,180555,172341,162738,153790,155389,169412,172048,170442,163869,183065,201361,213085,184670,177252,179902,176828,189937,197648,218638,232295
