"Županija","County.of","1994.","1995.","1996.","1997.","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015.","2016."
"Republika Hrvatska","Republic of Croatia",2292758,1324492,2649424,3834186,4111536,3443232,5337649,6544217,6944345,7408590,7911874,8466886,8658876,9306691,9415105,9334822,9110742,9926674,10369226,10948366,11622961,12683179,13808532
"Zagrebačka","Zagreb",5547,4015,5616,6748,6481,4938,6483,8306,8890,11426,15141,16218,18206,14515,15413,16105,16541,16212,20058,24848,32493,40410,51605
"Krapinsko-zagorska","Krapina-Zagorje",6198,4566,8904,6765,6457,5276,6211,6253,7321,8108,7983,7488,9859,12962,14639,12927,12852,14300,20730,30395,34595,39911,57606
"Sisačko-moslavačka","Sisak-Moslavina",2130,2556,3923,3340,6818,4171,4662,6173,6650,7151,8612,8459,10443,13028,12562,10769,12152,11987,9677,12166,11824,13246,12646
"Karlovačka","Karlovac",1300,1108,2797,12010,29533,24196,66379,87271,105884,124591,131223,137580,144010,131082,133363,135941,138663,148620,167275,179274,193053,226599,257304
"Varaždinska","Varaždin",9700,7180,8545,9734,8805,7778,8746,11352,13636,12502,13293,16090,19152,20629,18238,15852,17852,17663,20817,19112,21527,23264,24234
"Koprivničko-križevačka","Koprivnica-Križevci",2359,2123,2695,4009,2318,2323,2414,2410,3006,3708,3416,4621,5732,6452,6524,5414,4375,4547,4593,5015,6043,7544,7898
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",4672,2655,2529,2543,2446,2214,2135,2550,2362,2482,3000,3519,3538,4100,3995,3743,3510,3871,3964,4061,4556,5916,6144
"Primorsko-goranska","Primorje-Gorski kotar",729960,368667,754330,1052152,1086347,868217,1314980,1517206,1584129,1626630,1667187,1720091,1727684,1849969,1829610,1876934,1843450,2059875,2063119,2101553,2148697,2258012,2365944
"Ličko-senjska","Lika-Senj",23428,15113,48300,80891,92177,64418,129076,150677,185041,208840,241026,261766,272541,310370,326816,346418,369345,392479,435526,464657,493110,541462,585197
"Virovitičko-podravska","Virovitica-Podravina",1118,714,640,659,563,553,482,693,790,697,785,1112,1491,2668,2799,2255,2446,3075,3104,3047,3433,3350,3673
"Požeško-slavonska","Požega-Slavonia",2611,1618,2178,883,966,831,892,1175,1265,1276,1455,1718,1629,1775,2026,1855,2241,2257,2389,2254,1794,2241,2928
"Brodsko-posavska","Slavonski Brod-Posavina",1450,1163,3978,4789,5228,3761,4039,4642,5866,6472,7804,8439,10378,10804,12383,12588,9115,8807,10516,12658,13260,13656,15301
"Zadarska","Zadar",7886,5184,66815,178610,202257,165228,338910,491717,531594,605538,693951,769879,799609,872684,904996,877404,811383,862351,915994,949116,1044310,1132476,1196242
"Osječko-baranjska","Osijek-Baranja",6369,4151,8126,11309,10199,8541,10227,12108,13556,13062,12508,14868,17151,19606,19621,19512,19284,21124,22368,23925,24394,27851,31363
"Šibensko-kninska","Šibenik-Knin",7762,3703,36129,105498,119662,91596,202949,438933,496951,548338,559964,648457,640528,687814,685730,638745,534713,543413,560965,606993,636190,673529,696668
"Vukovarsko-srijemska","Vukovar-Sirmium",1879,1150,2880,2818,4164,4349,5007,5804,6197,5175,7061,9385,8779,11528,11777,8391,9029,11284,12789,15493,14400,14991,16500
"Splitsko-dalmatinska","Split-Dalmatia",84736,55116,184784,390000,479093,407530,725130,881605,996047,1049457,1170246,1299648,1334618,1483050,1510546,1444470,1437845,1571605,1642888,1841665,2016322,2256002,2504733
"Istarska","Istria",1212746,685081,1216886,1581455,1620719,1418554,1934294,2223217,2198040,2275804,2327727,2338407,2386077,2521314,2525708,2587982,2467286,2720386,2818881,2810817,2884937,3180194,3540753
"Dubrovačko-neretvanska","Dubrovnik-Neretva",27345,18016,70297,172160,219729,178271,362496,459350,500863,593334,698256,806949,819429,859204,875602,858095,898926,950415,1029123,1147968,1248452,1337516,1489536
"Međimurska","Međimurje",3607,3258,3650,3379,3473,2975,3544,3644,3186,3736,3842,6454,7230,9100,10677,10575,10880,11360,13912,14431,19317,25869,21954
"Grad Zagreb","City of Zagreb",149955,137355,215422,204434,204101,177512,208593,229131,273071,300263,337394,385738,420792,464037,492080,448847,488854,551043,590538,678918,770254,859140,920303
