"Županija","County.of","1994.","1995.","1996.","1997.","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",4420930,4369968,4909796,5617221,5285563,5214948,5098522,5020677,4981392,5311991,5280962,5434431,5985002,6430862,6477972,5799030,5424058,5602970,5221326,5138485,5160376,5742635
"Zagrebačka","Zagreb",22109,21945,13583,46795,36707,15975,14880,17807,18688,22352,26225,31873,35520,39158,38002,39517,33506,37738,34525,42400,38555,45847
"Krapinsko-zagorska","Krapina-Zagorje",102296,89396,87472,108220,92316,89036,96011,95034,111721,104388,94033,95037,123104,142013,153357,127663,118108,121866,115581,113090,134015,133649
"Sisačko-moslavačka","Sisak-Moslavina",65912,61975,56223,55609,39015,37061,38983,48823,56804,52562,68076,71386,60253,71916,75955,77629,61934,59822,58969,54584,51945,50352
"Karlovačka","Karlovac",5296,4572,10663,12663,23115,48721,48997,55829,63417,67912,76478,71852,68707,74768,78673,61381,66439,40373,43364,39662,31619,39276
"Varaždinska","Varaždin",80176,68264,83226,104779,89195,84312,95548,90096,97998,122654,116549,123109,122309,107456,103001,88470,81321,84998,75089,70376,72888,74964
"Koprivničko-križevačka","Koprivnica-Križevci",28687,23060,23521,21574,30620,33206,24904,21817,21756,23087,15455,15382,21654,23585,20207,17352,13035,15644,20482,18782,17941,16624
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",22478,16171,10305,10490,19434,23396,23393,17604,18317,20633,16544,18682,26166,24550,26688,22251,16936,22623,23450,24297,26900,48984
"Primorsko-goranska","Primorje-Gorski kotar",1573448,1537880,1440541,1567108,1432654,1511327,1396059,1360002,1286223,1344262,1228200,1275062,1419079,1421378,1459145,1313177,1193855,1200314,1126350,1108359,1048849,1187129
"Ličko-senjska","Lika-Senj",151316,200330,175189,98517,96374,76368,89729,94179,129959,127390,130647,126296,132166,142646,129491,128927,123857,112264,107396,108057,104419,112743
"Virovitičko-podravska","Virovitica-Podravina",8502,5872,4886,8360,4614,4519,15036,11085,9060,12566,12379,14146,26169,29169,31614,34324,28712,26134,22209,25520,22890,20601
"Požeško-slavonska","Požega-Slavonia",23014,20369,18887,3933,4841,5307,5385,5498,5233,8490,8597,9522,9767,12612,12697,16302,14427,18718,13948,17364,19900,19234
"Brodsko-posavska","Slavonski Brod-Posavina",10436,13120,12101,9573,14872,14933,17445,17596,17817,28337,22389,22142,23508,25710,23866,21346,17039,19960,18716,24092,21059,21637
"Zadarska","Zadar",74885,99770,390484,612654,620215,587872,691637,670887,646664,743064,807392,841193,913899,1058591,1038183,960056,911489,897165,834921,700517,726744,815585
"Osječko-baranjska","Osijek-Baranja",83163,65584,70955,118119,99415,76801,83499,83221,86050,87190,85202,113063,125098,137252,151414,139741,118283,127704,122156,114908,100147,103181
"Šibensko-kninska","Šibenik-Knin",47058,69672,161298,257035,253141,260595,293946,312094,354418,393502,375389,422111,455735,532213,565864,492087,471277,508729,471601,526244,515249,584666
"Vukovarsko-srijemska","Vukovar-Sirmium",25836,20640,29597,66840,35839,39513,32493,40415,40778,38495,32383,41770,53879,65754,65176,58597,50983,45546,41954,48115,59262,68493
"Splitsko-dalmatinska","Split-Dalmatia",564043,496947,730913,820391,791876,844864,786764,759611,729577,736032,724492,804837,873731,983184,897164,833314,805387,859886,774305,773754,793638,895319
"Istarska","Istria",959722,1020057,781405,833192,849293,736140,642590,683948,658118,699113,821134,686276,767645,736216,787612,668541,656313,717532,656538,614668,616781,661409
"Dubrovačko-neretvanska","Dubrovnik-Neretva",260462,246088,508749,571625,476715,467872,460768,391566,362556,376684,331424,361078,399580,430739,417850,358611,296227,331466,322040,342606,370210,402094
"Međimurska","Međimurje",9898,13721,18311,14788,11632,8617,12111,12999,10003,12836,11380,17210,33187,49378,55471,47728,60374,55418,55926,66909,60650,65109
"Grad Zagreb","City of Zagreb",302193,274535,281487,274956,263680,248513,228344,230566,256235,290442,276594,272404,293846,322574,346542,292016,284556,299070,281806,304181,326715,375739
