"Županija","County.of","1994.","1995.","1996.","1997.","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",19977000,12885359,21455422,30314147,31287499,26563845,38405930,43404354,44692456,46635139,47797287,51420948,53006946,56005492,57103494,56299647,56416379,60354275,62743463,64818115,66483948,71605315
"Zagrebaèka","Zagreb",31451,29054,22587,58554,47772,25437,25901,32471,35519,41904,53115,59577,69764,67332,69545,69809,62198,66502,67703,83382,93143,111629
"Krapinsko-zagorska","Krapina-Zagorje",130761,103960,117104,132677,110504,102012,112157,111915,129873,130561,114463,113082,146504,173423,186709,159056,145411,153046,161811,177587,210253,215831
"Sisaèko-moslavaèka","Sisak-Moslavina",72435,67782,65690,61976,49858,45094,47587,60916,69745,68358,86229,86894,80025,96833,101072,100995,87385,87317,82303,84498,76232,82198
"Karlovaèka","Karlovac",7972,8093,16006,29613,64809,82509,142338,178270,213969,250529,275013,279551,289151,272977,278808,269419,282083,269291,303522,324039,331126,395348
"Varaždinska","Varaždin",100195,83121,99697,126058,106225,100327,111747,110827,124155,148158,141790,152468,153845,143928,137548,121017,116601,118597,115008,111549,117008,129882
"Koprivnièko-križevaèka","Koprivnica-Križevci",32977,27624,30091,36274,35708,39290,30064,27297,27889,31681,22741,23876,30947,35396,32519,28126,20075,25351,29037,28337,31568,28017
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",30338,20699,14696,14859,24769,27466,27352,23287,22924,25121,22861,26092,33794,33304,36337,31835,23981,30468,31924,32565,36614,62864
"Primorsko-goranska","Primorje-Gorski kotar",6295610,3880769,6248644,8188079,8108680,6850521,9208281,10143298,10212995,10241600,10146868,10501921,10741754,11114744,11263659,11161233,10938291,11741692,11974337,12348195,12212423,13070148
"Lièko-senjska","Lika-Senj",288043,300149,492608,479663,570331,426745,686026,770486,867553,935354,1052650,1120109,1184299,1315280,1409793,1519841,1618941,1697107,1824036,1949651,2030496,2198348
"Virovitièko-podravska","Virovitica-Podravina",10348,7250,6324,9421,5590,5458,15819,12298,10199,13930,14125,16472,28971,34294,38171,39219,34323,32917,29262,32406,31626,28909
"Požeško-slavonska","Požega-Slavonia",27967,24393,23311,5838,7083,7064,6768,7877,8108,10851,11239,12730,14188,15746,16720,19623,18786,23627,19299,22376,24733,24356
"Brodsko-posavska","Slavonski Brod-Posavina",13740,16364,23632,16822,23682,21039,25245,24804,26001,37492,34229,34001,37649,40414,42231,38901,31951,33127,35585,43545,40668,42889
"Zadarska","Zadar",115905,119185,768878,1782143,1948196,1660516,2910915,3434798,3779272,4306698,4540904,5214975,5447660,6008672,6237669,6117731,6223824,6481067,6783072,6747858,7184150,7816872
"Osjeèko-baranjska","Osijek-Baranja",96784,75390,87956,146734,121047,93463,103920,109521,116584,115537,110939,143774,163363,176856,188926,187422,159261,173892,168122,169952,150466,158226
"Šibensko-kninska","Šibenik-Knin",102624,88213,399067,1008464,1083656,891551,1704459,2297213,2536807,2846857,2755352,3458089,3749385,3920068,3978112,3799217,3783823,3975122,4139536,4513814,4552929,4822542
"Vukovarsko-srijemska","Vukovar-Sirmium",29525,23460,34110,71836,43412,47187,40225,49425,52439,47339,43517,55536,66941,82703,85395,78033,68383,62394,60538,75606,83159,94519
"Splitsko-dalmatinska","Split-Dalmatia",1137392,765398,1849904,3514331,3961782,3406053,5494268,6075612,6478955,6656142,7018491,8028642,8345964,9246960,9325458,8988416,9364032,10250215,10517880,11467965,12134612,13288805
"Istarska","Istria",10213003,6217213,9509821,12300882,12488254,10628107,14284770,16135451,15942279,16213896,16532510,16649944,16968695,17613132,17965984,18130006,17731881,19095401,19877368,19445130,19545303,20966561
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",471290,331620,889115,1650875,1839016,1505462,2781568,3128798,3260121,3656995,3944584,4478495,4385321,4414009,4452625,4324498,4538026,4775161,5188091,5618286,5883802,6135891
"Meðimurska","Meðimurje",18501,20471,26068,20772,18329,14613,18556,19726,16169,21127,19312,30577,50177,66249,73296,67313,81526,78856,89360,99182,111217,127190
"Grad Zagreb","City of Zagreb",750139,675151,730113,658276,628796,583931,627964,650064,760900,835009,856355,934143,1018549,1133172,1182917,1047937,1085597,1183125,1245669,1442192,1602420,1804290
