"Županija","County.of","2010.","2011.","2012.","2013.","2014.","2015.","2016."
"Republika Hrvatska","Republic of Croatia",15137011,16281147,16215895961,16527899827,17129404572,18482860775,19686791597
"Zagrebačka","Zagreb",933677,1246289,1224434152,1332571008,1490668953,1714955648,1899149736
"Krapinsko-Zagorska","Krapina-Zagorje",232061,249796,283685374,294200973,313996070,322390009,348176267
"Sisačko-Moslavačka","Sisak-Moslavina",321568,297158,286585285,250949582,253755225,281763448,238856758
"Karlovačka","Karlovac",155985,171027,168069146,207510783,192513463,193778720,247376647
"Varaždinska","Varaždin",447968,557604,529434133,699834376,800725274,973024421,960455250
"Koprivničko-Križevačka","Koprivnica-Križevci",159470,186724,174636303,175002483,199290568,228415340,249993959
"Bjelovarsko-Bilogorska","Bjelovar-Bilogora",113037,117545,119831360,126794780,124988728,142403778,181038825
"Primorsko-Goranska","Primorje-Gorski kotar",761313,768004,705631032,746495146,885389320,861067994,880366946
"Ličko-Senjska","Lika-Senj",8509,13247,11952281,9261206,8873505,10995974,14290566
"Virovitičko-Podravska","Virovitica-Podravina",37954,75145,84106677,48124855,61706798,66354444,82602084
"Požeško-Slavonska","Požega-Slavonia",62486,64502,68670533,68818074,64780519,79194033,73686530
"Brodsko-Posavska","Slavonski Brod-Posavina",107933,178236,206846384,151051346,133829937,167271756,176912423
"Zadarska","Zadar",140127,143943,142548226,160026879,179639387,231240354,225002563
"Osječko-Baranjska","Osijek-Baranja",361282,423206,401610302,403657476,395368375,442495191,518972095
"Šibensko-Kninska","Šibenik-Knin",215225,223680,254457791,165031979,134207207,76853365,61248735
"Vukovarsko-Srijemska","Vukovar-Sirmium",142755,179882,214777306,272401080,420899788,397325062,348718697
"Splitsko-Dalmatinska","Split-Dalmatia",749572,613974,674536335,570206074,602924254,637888159,662894807
"Istarska","Istria",759291,732375,678497383,678203710,653884923,749390800,801704940
"Dubrovačko-Neretvanska","Dubrovnik-Neretva",54376,53435,70616723,53860186,46005598,72104738,73625598
"Međimurska","Međimurje",262760,316428,309338607,328439034,381326318,419849465,453417809
"Grad Zagreb","City of Zagreb",8910948,9491920,9523977083,9688241286,9221222375,9589183645,9847709243
"Neraspoređeno","Unclassified",198713,177026,81653545,97217511,563407987,824914431,1340591119
