"Županija","County.of","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015.","2016."
"Republika Hrvatska","Republic of Croatia",65572780,76425531,83880110,94893108,100008106,110520226,125248775,138159436,150354032,111751098,110296840,121036155,121899361.485,125051937.74,130673195.571,140747762964,148282053232
"Zagrebačka","Zagreb",3276852,3954108,5280287,6275158,6691235,7116942,8179686,9395728,9972351,7264922,6803388,9266416,9188765.123,10053826.249,11383648.262,13061388498,14304685836
"Krapinsko-zagorska","Krapina-Zagorje",977930,1209112,1427939,1651173,1560479,1530618,1926886,2171065,2321202,1672015,1690969,1856667,2104199.542,2176359.709,2396092.452,2455872360,2622934642
"Sisačko-moslavačka","Sisak-Moslavina",1172577,1563355,1918759,2697162,3000693,2549155,2581551,2650908,3344171,1907213,2343598,2208635,2153803.822,1899067.472,1935848.914,2145804194,1799086581
"Karlovačka","Karlovac",1089268,1341255,916910,1116054,1012220,1169988,1248223,1421472,1337338,1130077,1135158,1271403,1263418.706,1570489.938,1467738.599,1474764616,1862983769
"Varaždinska","Varaždin",2399273,2970774,3144011,3410735,3782907,3626176,3839361,4022049,4042470,3120977,3264891,4146181,3980158.477,5291808.992,6109002.535,7410373582,7236091736
"Koprivničko-križevačka","Koprivnica-Križevci",902736,947736,1085286,1283209,1126347,1139679,1225364,1296723,1383749,1285840,1161869,1388704,1312444.815,1324530.415,1520801.006,1739758205,1883313164
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",476255,587309,789437,858517,828717,838929,845537,948007,1014210,1050973,823740,873822,899878.38,958987.587,953599.049,1084648971,1363232828
"Primorsko-goranska","Primorje-Gorski kotar",3739718,4464950,3732971,4265459,4460318,4694496,5275146,5917424,7523697,4917808,5544770,5708891,5308669.839,5650685.788,6752208.333,6558713663,6630332810
"Ličko-senjska","Lika-Senj",15088,15546,46668,52603,57036,28772,38644,61463,54509,38275,62109,98413,91465.344,70950.542,67652.549,83752691,107495508
"Virovitičko-podravska","Virovitica-Podravina",268693,270254,293042,335167,379044,414680,504890,574672,542967,355358,276419,557681,632556.158,364556.737,470682.082,504823830,621136868
"Požeško-slavonska","Požega-Slavonia",224348,260306,343109,327556,406671,364156,452690,509356,424980,379370,455487,479762,516314.861,520701.712,494180.111,602974631,555163484
"Brodsko-posavska","Slavonski Brod-Posavina",536899,563734,653688,696540,701817,637761,828494,1024538,1098614,884221,786841,1326433,1555455.719,1144219.068,1020953.641,1273619943,1331799822
"Zadarska","Zadar",484062,750546,1052610,1158117,1069304,1165441,1242552,1359025,1359366,966187,1020567,1069586,1071583.21,1209472.329,1370129.938,1760554098,1695062248
"Osječko-baranjska","Osijek-Baranja",1377464,2354795,1941536,2053163,2023807,2585398,2824446,2979019,3162207,2419239,2633288,3147134,3028553.087,3053472.889,3016813.394,3368003345,3908898483
"Šibensko-kninska","Šibenik-Knin",531939,864188,694854,642912,980046,1235791,1485647,1487271,1534809,977692,1572350,1661571,1913352.547,1249165.685,1023787.572,584886250,461347181
"Vukovarsko-srijemska","Vukovar-Sirmium",351810,422500,536290,663331,657508,828212,1245350,1234078,1426797,1416972,1040356,1337070,1626812.63,2105896.681,3211494.997,3027812664,2629964712
"Splitsko-dalmatinska","Split-Dalmatia",3028663,4081440,4748791,6057623,6019993,6013845,7116958,8059747,8449704,5148923,5470646,4561588,5104513.931,4351125.771,4598772.765,4859103976,4993984057
"Istarska","Istria",3677513,4788826,4663492,5174252,5644584,6456560,6606094,7729331,7743368,5862151,5530013,5446357,5125557.947,5150998.073,4988492.722,5707295522,6039993435
"Dubrovačko-neretvanska","Dubrovnik-Neretva",380736,448135,513615,506559,523208,710147,787593,903930,790546,469067,396070,397241,529991.315,407340.876,350980.256,547852982,554373324
"Međimurska","Međimurje",1260099,1455975,1474109,1641737,1651054,1598576,1866421,2209605,2323613,1827241,1914927,2352180,2325687.264,2484506.524,2909156.267,3198255061,3415742203
"Grad Zagreb","City of Zagreb",35899440,39319578,46157346,51499021,55056918,63405500,72603987,79546550,88037728,66975961,64922092,70564672,71552304.42,73278313.125,70332197.978,73014414626,74169709558
"Neraspoređeno","Unclassified",3501417,3791109,2465362,2527061,2374200,2409403,2523255,2657473,2465633,1680617,1447290,1315749,613874.348,735461.578,4298962.149,6283089256,10094720983
