"Županija","County.of","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Republika Hrvatska","Republic of Croatia",116263,107172,85783,77161,71725,61297,56081,50762,45925,41888,38953,36278,32882,31203,29564,26336,23223
"Zagrebačka","Zagreb",13352,12419,9881,8910,8402,7351,6239,5403,4613,4178,3772,3395,3003,2775,2510,2100,1819
"Krapinsko-zagorska","Krapina-Zagorje",7212,6724,5529,4772,4443,3992,2704,2001,1644,1346,1153,1007,864,749,639,484,398
"Sisačko-moslavačka","Sisak-Moslavina",4874,4460,3413,3100,2948,2359,2298,2158,1979,1811,1654,1557,1372,1307,1281,1161,993
"Karlovačka","Karlovac",2968,2931,1885,1794,1782,1615,1489,1296,1168,1004,963,907,793,701,615,516,425
"Varaždinska","Varaždin",9686,9169,8035,7399,7056,5689,4657,3831,3357,2843,2617,2395,2137,1912,1706,1443,1176
"Koprivničko-križevačka","Koprivnica-Križevci",15372,14615,10828,9792,9199,6423,7187,6709,6325,5896,5555,5157,4690,4481,4175,3774,3304
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",10486,9793,8016,7524,6980,6180,5930,5478,5124,4709,4358,4058,3664,3558,3358,3016,2642
"Primorsko-goranska","Primorje-Gorski kotar",1104,987,826,676,576,499,422,375,334,291,255,230,208,195,222,211,211
"Ličko-senjska","Lika-Senj",2716,1546,1682,1297,972,907,818,683,586,499,473,460,405,399,361,301,261
"Virovitičko-podravska","Virovitica-Podravina",6494,6237,6169,5630,5062,4622,4256,4120,3686,3198,3060,2953,2804,2694,2621,2395,2099
"Požeško-slavonska","Požega-Slavonia",2959,2591,1975,1712,1584,1294,1282,1182,1087,975,918,848,783,746,716,651,583
"Brodsko-posavska","Slavonski Brod-Posavina",6301,5611,3918,3394,2997,2370,2196,2023,1853,1691,1554,1479,1340,1334,1216,1081,940
"Zadarska","Zadar",2069,2091,1292,1174,1103,985,966,852,741,645,556,464,397,360,399,372,371
"Osječko-baranjska","Osijek-Baranja",7163,6638,4907,4092,3816,3483,3360,3272,3140,3101,2984,2916,2772,2770,2696,2421,2136
"Šibensko-kninska","Šibenik-Knin",719,701,455,444,408,355,320,287,254,260,243,213,204,185,222,194,175
"Vukovarsko-srijemska","Vukovar-Sirmium",3831,3569,3244,2914,2748,2578,2733,2892,2726,2785,2799,2815,2605,2590,2481,2233,1919
"Splitsko-dalmatinska","Split-Dalmatia",5780,5218,3893,3502,3228,2942,2485,2071,1767,1569,1357,1172,1037,933,911,827,815
"Istarska","Istria",3369,3038,2556,2370,2190,2014,1792,1557,1352,1241,1137,1043,971,886,922,864,827
"Dubrovačko-neretvanska","Dubrovnik-Neretva",2575,2271,1670,1530,1430,1315,1212,1089,998,932,858,671,579,538,525,490,461
"Međimurska","Međimurje",4573,4231,3501,3238,3045,2795,2506,2402,2250,2075,1935,1848,1633,1503,1413,1262,1141
"Grad Zagreb","City of Zagreb",2660,2332,2108,1897,1756,1529,1229,1081,941,839,752,690,621,587,575,540,527
