"Županija","County.of","1994.","1995.","1996.","1997.","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Republika Hrvatska","Republic of Croatia",NA,NA,NA,NA,NA,NA,NA,NA,5233,5599,5916,6192,6575,6995,7507,7655,7677,7772,7863,7926,7951
"Zagrebaèka","Zagreb",NA,NA,NA,NA,NA,NA,NA,NA,4912,5307,5652,5928,6220,6587,7136,7300,7266,7054,7425,7358,7734
"Krapinsko-zagorska","Krapina-Zagorje",NA,NA,NA,NA,NA,NA,NA,NA,4285,4652,4791,4990,5295,5731,6193,6323,6356,6511,6532,6555,6603
"Sisaèko-moslavaèka","Sisak-Moslavina",NA,NA,NA,NA,NA,NA,NA,NA,4839,5158,5359,5640,6071,6382,6879,7113,7023,7134,7173,7134,7118
"Karlovaèka","Karlovac",NA,NA,NA,NA,NA,NA,NA,NA,4804,5116,5498,5750,6015,6358,6924,7233,7214,7344,7443,7382,7332
"Varaždinska","Varaždin",NA,NA,NA,NA,NA,NA,NA,NA,4349,4652,4887,5099,5362,5626,6056,6071,6048,6131,6055,6118,6129
"Koprivnièko-križevaèka","Koprivnica-Križevci",NA,NA,NA,NA,NA,NA,NA,NA,4788,5133,5403,5599,5967,6191,6543,6812,6845,6920,7023,7123,7103
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",NA,NA,NA,NA,NA,NA,NA,NA,4465,4741,4958,5154,5457,5752,6209,6213,6246,6254,6323,6382,6425
"Primorsko-goranska","Primorje-Gorski kotar",NA,NA,NA,NA,NA,NA,NA,NA,5302,5602,5925,6232,6528,6908,7463,7584,7558,7667,7768,7865,7878
"Lièko-senjska","Lika-Senj",NA,NA,NA,NA,NA,NA,NA,NA,5135,5764,5444,5490,5776,6209,6667,6747,6800,6997,6806,7016,6894
"Virovitièko-podravska","Virovitica-Podravina",NA,NA,NA,NA,NA,NA,NA,NA,4307,4698,4821,4952,5270,5524,5922,6006,6077,6252,6342,6423,6296
"Požeško-slavonska","Požega-Slavonia",NA,NA,NA,NA,NA,NA,NA,NA,4482,4775,4943,5090,5381,5661,6182,6405,6341,6575,6723,6574,6431
"Brodsko-posavska","Slavonski Brod-Posavina",NA,NA,NA,NA,NA,NA,NA,NA,4436,4857,5045,5231,5484,5787,6224,6415,6437,6553,6648,6750,6711
"Zadarska","Zadar",NA,NA,NA,NA,NA,NA,NA,NA,5026,5456,5765,6022,6164,6539,7038,7178,7182,7323,7357,7546,7397
"Osjeèko-baranjska","Osijek-Baranja",NA,NA,NA,NA,NA,NA,NA,NA,4561,4885,5101,5382,5622,6068,6493,6632,6686,6796,6966,7055,6983
"Šibensko-kninska","Šibenik-Knin",NA,NA,NA,NA,NA,NA,NA,NA,4937,5197,5507,5614,5939,6336,6918,7031,7048,7196,7010,7124,7097
"Vukovarsko-srijemska","Vukovar-Sirmium",NA,NA,NA,NA,NA,NA,NA,NA,4602,4920,5126,5291,5513,5806,6235,6307,6379,6524,6567,6538,6493
"Splitsko-dalmatinska","Split-Dalmatia",NA,NA,NA,NA,NA,NA,NA,NA,5014,5350,5625,5885,6220,6660,7087,7161,7207,7267,7373,7366,7403
"Istarska","Istria",NA,NA,NA,NA,NA,NA,NA,NA,5315,5629,5915,6223,6551,6879,7329,7442,7477,7530,7683,7743,7769
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",NA,NA,NA,NA,NA,NA,NA,NA,4798,5284,5717,5977,6361,6744,7281,7388,7454,7555,7627,7661,7817
"Meðimurska","Meðimurje",NA,NA,NA,NA,NA,NA,NA,NA,4115,4395,4702,4728,5068,5310,5781,5902,5873,6001,6080,6117,6237
"Grad Zagreb","City of Zagreb",NA,NA,NA,NA,NA,NA,NA,NA,6271,6708,7136,7486,8053,8635,9168,9315,9376,9489,9571,9694,9702
