"Županija","County.of","1994.","1995.","1996.","1997.","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Republika Hrvatska","Republic of Croatia",1302,1831,2043,2356,2667,2999,3291,3506,3659,3949,4143,4352,4569,4817,5161,5271,5329,5429,5469,5507,5529
"Zagrebaèka","Zagreb",1347,1983,2041,2271,2543,2762,3018,3261,3454,3769,3982,4194,4368,4583,4960,5053,5085,4944,5209,5165,5389
"Krapinsko-zagorska","Krapina-Zagorje",1227,1642,1777,2027,2341,2683,2910,2997,3083,3402,3464,3632,3827,4086,4411,4499,4549,4704,4711,4725,4740
"Sisaèko-moslavaèka","Sisak-Moslavina",1318,1797,2037,2383,2648,2957,3301,3378,3518,3757,3881,4088,4345,4541,4857,5029,5014,5135,5138,5119,5121
"Karlovaèka","Karlovac",1270,1776,2030,2280,2517,2809,3099,3265,3434,3679,3933,4125,4283,4484,4876,5077,5119,5249,5303,5275,5246
"Varaždinska","Varaždin",1272,1727,1871,2086,2385,2681,2888,3014,3105,3348,3503,3675,3835,3986,4292,4318,4345,4423,4374,4429,4440
"Koprivnièko-križevaèka","Koprivnica-Križevci",1320,1850,1902,2138,2502,2750,3023,3225,3418,3702,3865,4038,4245,4374,4635,4838,4874,4985,5057,5116,5109
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",1200,1776,1926,2143,2402,2719,2975,3117,3232,3460,3602,3754,3928,4107,4421,4440,4498,4538,4587,4626,4663
"Primorsko-goranska","Primorje-Gorski kotar",1369,1895,2088,2392,2682,3050,3301,3564,3725,3993,4182,4414,4591,4823,5193,5285,5312,5418,5464,5518,5538
"Lièko-senjska","Lika-Senj",1198,1755,1864,2123,2462,2685,3092,3297,3711,4110,3948,4007,4192,4461,4777,4841,4923,5090,4947,5061,5002
"Virovitièko-podravska","Virovitica-Podravina",1207,1729,1914,2188,2451,2673,2932,3019,3136,3459,3531,3639,3843,3986,4267,4349,4415,4563,4632,4676,4599
"Požeško-slavonska","Požega-Slavonia",1187,1671,1810,2118,2426,2746,3037,3128,3265,3488,3615,3719,3901,4088,4457,4603,4605,4794,4899,4797,4706
"Brodsko-posavska","Slavonski Brod-Posavina",1171,1579,1802,2146,2438,2781,3047,3158,3223,3564,3670,3826,3981,4161,4464,4599,4649,4761,4840,4887,4855
"Zadarska","Zadar",1309,1899,2112,2359,2697,2990,3236,3461,3628,3960,4133,4327,4423,4659,4996,5105,5137,5280,5268,5364,5279
"Osjeèko-baranjska","Osijek-Baranja",1159,1700,1868,2199,2488,2756,3032,3198,3299,3540,3674,3881,4034,4309,4600,4707,4774,4892,5011,5076,5024
"Šibensko-kninska","Šibenik-Knin",1203,1660,1965,2266,2586,2931,3282,3314,3554,3761,3907,4047,4234,4474,4889,4963,5031,5172,5042,5120,5118
"Vukovarsko-srijemska","Vukovar-Sirmium",1200,1664,1985,2052,2452,2815,3182,3245,3403,3633,3755,3892,4006,4203,4501,4563,4630,4748,4804,4799,4774
"Splitsko-dalmatinska","Split-Dalmatia",1180,1755,2009,2317,2647,3000,3267,3491,3549,3830,3997,4197,4394,4656,4947,5002,5089,5170,5221,5215,5260
"Istarska","Istria",1453,1887,2017,2316,2628,2842,3154,3533,3718,3984,4163,4399,4596,4791,5106,5201,5269,5348,5411,5456,5463
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",1109,1638,1925,2293,2635,2971,3179,3429,3519,3789,4047,4246,4481,4690,5055,5155,5240,5348,5376,5407,5516
"Meðimurska","Meðimurje",1320,1700,1790,2012,2270,2431,2741,2821,2979,3221,3420,3463,3661,3807,4133,4220,4251,4380,4443,4460,4553
"Grad Zagreb","City of Zagreb",1408,NA,2255,2640,2974,3383,3711,4011,4198,4539,4801,5059,5358,5691,6040,6159,6245,6359,6366,6437,6451
