"Županija","County.of","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Republika Hrvatska","Republic of Croatia",1005510,993205,983233,976350,983736,1012254,1095643,1099497,1144466,1195655,1238576,1216930,1166807,1150307,1148525,1122885,1109461
"Zagrebaèka","Zagreb",41204,41376,43333,43249,44092,46428,53166,55291,58604,60908,63596,63867,60700,59035,58897,58765,58648
"Krapinsko-zagorska","Krapina-Zagorje",26011,25553,25155,24365,24460,24568,25971,25531,26475,27627,28433,27250,25975,26135,25759,25611,25754
"Sisaèko-moslavèka","Sisak-Moslavina",33998,34528,34634,32658,32098,32190,35330,35509,36454,38180,38668,36076,35028,35107,33909,33091,31958
"Karlovaèka","Karlovac",27187,26292,26006,25590,26412,25439,28237,28856,30186,31631,32749,30871,29085,28940,28452,28524,28605
"Varaždinska","Varaždin",42603,41895,41295,42052,43208,44927,46566,47076,48870,51185,52904,50866,49192,48832,49366,48523,49148
"Koprivnièko-križevaèka","Koprivnica-Križevci",25340,25181,25046,24424,24477,25242,26292,25792,26739,27427,27915,26972,24710,24738,24301,23050,22901
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",24579,23922,23396,22798,22182,23045,24797,24332,24984,25911,26776,25713,23899,23561,23445,23305,22406
"Primorsko-goranska","Primorje-Gorski kotar",84282,82617,81784,81899,82495,84019,88543,89273,91718,95403,96210,94110,90326,88090,87612,85145,83122
"Lièko-senjska","Lika-Senj",8889,8326,8331,7823,7870,9794,11723,10177,9957,10000,10406,10412,10176,9951,10187,10253,10378
"Virovitièko-podravska","Virovitica-Podravina",17071,16896,16031,15744,15294,14568,15744,15303,15637,16594,17021,16066,15084,14532,13804,13724,13343
"Požeško-slavonska","Požega-Slavonia",15197,15069,14993,14841,14841,15050,17038,16998,16054,16105,16252,15532,14791,14276,13998,13381,13358
"Brodsko-posavska","Slavonski Brod-Posavina",26489,25956,24172,24479,24746,24501,27158,26152,27257,28802,30075,29022,26849,26589,26167,25230,24634
"Zadarska","Zadar",27375,27129,26615,26348,25895,26626,30610,32034,32250,34126,35705,34936,33785,33997,34118,33286,33821
"Osjeèko-baranjska","Osijek-Baranja",66916,67311,66939,65778,65741,66209,71583,71612,75108,77922,80580,78235,72384,72887,72395,67695,64712
"Šibensko-kninska","Šibenik-Knin",19264,19052,18873,18248,18408,18468,20317,20788,22820,23246,24499,23549,22076,22035,22340,22439,22337
"Vukovarsko-srijemska","Vukovar-Sirmium",25958,26255,25417,24869,25292,25617,29428,29599,31025,33176,34053,33156,31692,31869,31892,31160,29763
"Splitsko-dalmatinska","Split-Dalmatia",94347,92880,89732,89439,89923,94753,104732,105078,108049,110882,115410,113608,109873,108792,107593,103887,103025
"Istarska","Istria",54997,55222,54376,55302,56067,56120,59198,60283,62914,65487,68013,64037,62279,60551,61221,59264,59203
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",28458,28126,26890,26809,26732,26112,28679,29266,30619,32018,33276,32504,31733,30856,30801,30312,30546
"Meðimurska","Meðimurje",26426,26214,26189,25088,26468,27189,28193,27458,28944,30568,31927,31210,29406,30104,29379,30175,29880
"Grad Zagreb","City of Zagreb",288919,283405,284026,284547,287035,301389,322338,323089,339802,358457,374108,378938,367764,359430,362889,356065,351919
