"Županija","County.of","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",1152673,1009807,2174666,2427888,2383292,2607240,3789655,3588713.958
"Zagrebaèka","Zagreb",43922,36440,40898,47903,44943,42982,165713,24569.017
"Krapinsko-zagorska","Krapina-Zagorje",3402,4733,4622,19404,61208,6278,104963,10720.248
"Sisaèko-moslavèka","Sisak-Moslavina",1789,5240,4086,5024,7477,13042,7368,1400.795
"Karlovaèka","Karlovac",3925,3161,3992,5728,7473,5086,6134,371.949
"Varaždinska","Varaždin",155884,92347,131331,41732,183566,226703,20479,15415.06
"Koprivnièko-križevaèka","Koprivnica-Križevci",2634,2912,2112,2422,2483,2439,3816,3745.28
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",8822,13335,24030,33477,8275,26209,10164,1821.68
"Primorsko-goranska","Primorje-Gorski kotar",145233,130359,89210,114964,102254,321654,265052,28986.723
"Lièko-senjska","Lika-Senj",486,26,24,82,1537,1200,1342,NA
"Virovitièko-podravska","Virovitica-Podravina",997,1757,1746,1689,2190,10380,11003,NA
"Požeško-slavonska","Požega-Slavonia",2282,NA,NA,NA,60,NA,NA,27.388
"Brodsko-posavska","Slavonski Brod-Posavina",1294,1367,1390,3507,4163,7518,3349,3918.303
"Zadarska","Zadar",NA,13462,7460,79983,53671,17082,25136,2844.248
"Osjeèko-baranjska","Osijek-Baranja",16518,12171,24955,69681,66779,54098,51057,5990.455
"Šibensko-kninska","Šibenik-Knin",12272,1376,9494,4831,16436,19520,8809,95.541
"Vukovarsko-srijemska","Vukovar-Sirmium",3506,2922,2570,4212,2720,4106,2512,18396.172
"Splitsko-dalmatinska","Split-Dalmatia",90940,31878,101834,111512,102217,100909,106741,28287.813
"Istarska","Istria",78882,92183,94436,102713,42655,120951,69918,1683.267
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",35056,28763,32325,36473,38001,39387,40609,NA
"Meðimurska","Meðimurje",37684,30129,46504,48170,66220,67376,64443,528.195
"Grad Zagreb","City of Zagreb",507145,505246,1551647,1694381,1568964,1520320,2821047,3439911.824
