"Županija","County.of","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",1363296,1489397,1447335,1921335,2284170,1592072,2716340,3919734.219
"Zagrebačka","Zagreb",41969,51279,50180,43072,59104,71268,60821,97127.383
"Krapinsko-zagorska","Krapina-Zagorje",13991,14793,14311,54832,14829,10449,49705,48501.025
"Sisačko-moslavačka","Sisak-Moslavina",60855,91386,69023,88059,84531,85181,111522,195783.613
"Karlovačka","Karlovac",16384,32872,28032,27501,33947,29162,52730,45989.524
"Varaždinska","Varaždin",41210,47805,45440,43798,58167,67087,127381,46753.034
"Koprivničko-križevačka","Koprivnica-Križevci",35934,34068,40284,42847,36929,29319,33677,35781.955
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",10915,20026,24044,34659,15681,28760,14934,27964.724
"Primorsko-goranska","Primorje-Gorski kotar",211913,233950,209386,219259,245459,233244,199772,325535.866
"Ličko-senjska","Lika-Senj",2065,1224,793,1645,3946,2098,142565,20902.357
"Virovitičko-podravska","Virovitica-Podravina",12582,9822,9367,11989,11570,13278,10848,48680.005
"Požeško-slavonska","Požega-Slavonia",13206,10394,8749,31033,12644,13518,10529,13603.316
"Brodsko-posavska","Slavonski Brod-Posavina",8728,6177,6123,6151,5963,7569,10989,16492.07
"Zadarska","Zadar",7692,14300,13774,50891,29389,14988,23235,55771.981
"Osječko-baranjska","Osijek-Baranja",52260,65656,57156,58875,56229,51263,81929,77653.254
"Šibensko-kninska","Šibenik-Knin",15931,11035,12177,14899,15929,21295,14744,26743.914
"Vukovarsko-srijemska","Vukovar-Sirmium",21797,11900,9667,14822,10684,12462,12878,123006.752
"Splitsko-dalmatinska","Split-Dalmatia",88251,63564,89408,88523,90167,83704,83422,128763.549
"Istarska","Istria",118216,133974,135383,173953,173952,220597,196312,129479.872
"Dubrovačko-neretvanska","Dubrovnik-Neretva",37324,34751,36547,39868,40285,40870,40462,41113.773
"Međimurska","Međimurje",26023,20246,26602,28647,29310,27136,30290,21011.214
"Grad Zagreb","City of Zagreb",526050,580175,560889,846012,1255455,528824,1407595,2393075.038
